"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"result.1",-0.560744167921563,0.942469582608301,0.572042609733822,3.96595520326701,-0.625273758891485,0.935949259496668,0.610146308570616,0,1
"result.2",-0.520298559282427,0.94906328264503,0.551011940987152,19.6361517695391,-0.567511822488484,0.943833528665928,0.548930643552651,0,2
"result.4",-0.576516107458117,0.943539730202449,0.549364506504313,5.80666000958153,-0.541182900237159,0.946192558308974,0.537893435476852,0,4
"result.5",-0.410609260203835,0.958811202678961,0.497183944886543,4.94172864190109,-0.462428970383398,0.95281820903003,0.515086407396883,0,5
"result.6",-0.549797386510988,0.945548711689642,0.537155018391766,2.87233433844048,-0.569404300795783,0.943555127624587,0.49425030872798,0,6
"result.7",-0.600438523536797,0.942484032531591,0.524765512529805,3.02300075784563,-0.45862174546128,0.954722542501528,0.459658209568913,0,7
"result.9",-0.506942496132928,0.950923970783425,0.476602413357471,4.21520287322438,-0.566467001158173,0.944145623343601,0.492230506346856,0,9
"result.10",-0.38718386205396,0.960513066219684,0.524168390392491,3.38363836478047,-0.444724647661346,0.956449643496834,0.501993446318513,0,10
"result.11",-0.441123627164921,0.955182515861503,0.523298940165704,5.02304462891358,-0.495447015961216,0.950422306953812,0.55512486655313,0,11
"result.12",-0.49010500020643,0.95163114939927,0.464472142896104,17.7080139528936,-0.558583807105256,0.944254542356473,0.52154434573935,0,12
"result.13",-0.601042017069106,0.941756125398668,0.617163825839226,2.75253065840955,-0.612569389901795,0.939411442227695,0.553767778244601,0,13
"result.14",-0.362210705288199,0.963952873594742,0.523524442801431,3.02277309374719,-0.29704294845806,0.970256558284276,0.450146770669329,0,14
"result.15",-0.582029749335059,0.944569592812238,0.515620173458652,3.35670581265191,-0.529723576969375,0.948086420375437,0.465123197088022,0,15
"result.16",-0.548368299639694,0.944138137013161,0.529268885592275,8.25946670116592,-0.478722058890069,0.951367381549484,0.505193630193347,0,16
"result.17",-0.65926423128075,0.935500969345719,0.47865752775202,4.39186105064244,-0.658204339388279,0.936330703440668,0.487306307231636,0,17
"result.18",-0.523538182703472,0.946805115881447,0.549383994613767,3.68898817271098,-0.437325204014539,0.955607389522218,0.512296217777515,0,18
"result.19",-0.175734601427133,0.983731975526075,0.386395064750586,12.3930365503971,-0.26318872949533,0.9741923343158,0.432156607305832,0,19
"result.20",-0.544142119027865,0.947428454885138,0.540581723905082,3.41439703954009,-0.509478127968749,0.949031656779636,0.521520485545692,0,20
"result.21",-0.616467636218952,0.940965877959474,0.514075821437196,5.77314600866695,-0.487360741015161,0.952026862335457,0.491057703966044,0,21
"result.22",-0.500759060509982,0.949960145488815,0.488457402996207,3.60854182070298,-0.486410026160985,0.951213728929521,0.50500118294392,0,22
"result.23",-0.706935550085855,0.930839022462021,0.60106159728455,24.1407737648216,-0.646851905683669,0.936314019162425,0.576932249494428,0,23
"result.24",-0.664287180723226,0.934442832649572,0.57863238223004,5.63035445965924,-0.708026618970549,0.92909212595195,0.57100189981895,0,24
"result.25",-0.773742827783492,0.924557944703431,0.556336421524261,7.12247672455919,-0.716573115477487,0.930444885239303,0.540777075309548,0,25
"result.27",-0.45816951923882,0.952223592068478,0.480892832554214,14.4398298029257,-0.558578790625933,0.94322305410222,0.542556070545081,0,27
"result.28",-0.537555185338449,0.94673870827121,0.491034042639625,6.32715855609099,-0.511068546789894,0.949585716774948,0.488598305250366,0,28
"result.29",-0.696028203661033,0.930484048346615,0.547701311797449,3.80474983315765,-0.602474117275166,0.94000703738056,0.535101286742791,0,29
"result.30",-0.426837191817124,0.958264378207631,0.469512262550133,10.7617289291214,-0.467399769333133,0.953825551567466,0.46340451507068,0,30
"result.31",-0.549251967334131,0.943744506075214,0.486660577163088,5.81722423881029,-0.583635724731849,0.941404373698835,0.492580289918371,0,31
"result.32",-0.492134928753332,0.951917616755659,0.505853159077995,13.8338784837578,-0.47679192758411,0.951528573811635,0.524348712231419,0,32
"result.33",-0.453323858303924,0.953795529665134,0.524282217579337,4.40212781113535,-0.503503887658271,0.949287467521738,0.552326786014821,0,33
"result.34",-0.632225689325859,0.939520371047811,0.504063332213285,4.10228696025964,-0.609647040959204,0.941019881683264,0.523406101834592,0,34
"result.35",-0.44020100270042,0.955675384449045,0.491113259573997,3.28018276297401,-0.529207946832005,0.947153844060191,0.491733280048955,0,35
"result.36",-0.474832798726014,0.952245339872084,0.532554010349957,3.82082557874981,-0.550322363123769,0.945845186362784,0.485276662326834,0,36
"result.37",-0.510855309952521,0.949626762795432,0.476724479329168,16.9056254247613,-0.561122230143857,0.944620753206741,0.5079923955395,0,37
