"","V1","V2","V3","V4","V5"
"result.33",-0.386709788700256,0.959359401276327,0.148040048609465,5.191995388119,33
"result.34",-6.40940285520958,0.336697810029784,0.613226607586903,6.2192477242625,34
"result.35",-0.40551062941003,0.958002057395094,0.176866087495138,2.35047311396967,35
"result.36",-1.15903773878119,0.879858998968639,0.351860306069713,2.34685341691508,36
"result.37",-0.0943169226072469,0.990098975077903,0.0757701000040939,2.83666556893668,37
"result.38",-0.448470516744162,0.953249672191589,0.197097431759999,2.16407304715976,38
"result.39",-0.429851161343318,0.95510517172066,0.169433785679114,3.58638142437853,39
"result.40",-1.04296648059997,0.891716523390711,0.278883437418437,2.34860558055388,40
"result.41",-0.482206584896132,0.950024886254026,0.218848139986444,2.10000427773046,41
"result.43",-0.163173996464007,0.982891896074761,0.0961996642419426,4.44116726309265,43
"result.44",-0.0974293778263012,0.990095238965032,0.069490353434182,16.8530662430067,44
"result.45",-0.535379328319706,0.944150938271253,0.165776399898733,9.114640758099,45
"result.46",-1.00716228565813,0.895527476040299,0.339657327664895,2.21475288847054,46
"result.47",-0.741926339703584,0.922969048752888,0.233192315995229,2.20809506784402,47
"result.48",-0.0997036863633786,0.98937469441833,0.0859874236602145,5.0682876983618,48
"result.49",-0.200289648316287,0.978838936180633,0.12523878099033,2.49658144985015,49
"result.50",-0.464381786298851,0.951380009222417,0.211002911226036,2.15060016013814,50
"result.51",-0.123124032917654,0.987229717167321,0.104526053427331,2.10000067274809,51
"result.52",-0.0928699949491662,0.990098892470334,0.0980301543692916,2.20969367211151,52
"result.53",-0.281625238171919,0.970972883689773,0.124598429968144,2.27656041596622,53
"result.55",-0.301833358932175,0.96809920016057,0.119594863862158,11.0742072233084,55
"result.56",-0.176758963556329,0.981470631820195,0.0925512547849371,17.7459946706152,56
"result.57",-0.0958012835202338,0.990098986637097,0.0593712241457481,8.90751065853827,57
"result.58",-0.128928016608427,0.986544421658575,0.0738593844318017,12.0537116017821,58
"result.59",-7.33132053328537,0.244194543898172,0.625513862252251,11.3132178292422,59
"result.60",-0.152461004466869,0.983830328788561,0.102872706393806,5.24581075684204,60
"result.61",-0.171895023381497,0.981997863491809,0.102762012384128,2.65187347707809,61
"result.62",-0.3213580898015,0.966526640907729,0.155106022899932,2.12889325629529,62
"result.63",-0.129515520948085,0.986138109219451,0.0817957109044253,17.0416548174136,63
"result.64",-0.463565098685006,0.95162524796244,0.190400033794572,2.48923033456314,64
"result.65",-0.166888046334474,0.982516818712593,0.0895496477569064,4.75674239247632,65
"result.67",-0.19784780398287,0.979293398296033,0.0979950159019385,2.57674713603039,67
"result.69",-0.108502162000504,0.988619923795845,0.0763124821572808,17.7422450703691,69
"result.70",-0.0984671015203145,0.990098846676821,0.0685155458743534,5.68581772807805,70
"result.71",-0.0968805460139545,0.989955821244893,0.0886190437373417,2.46233684922738,71
"result.72",-0.603352138248125,0.937199347227141,0.253929803046302,2.1741070883362,72
"result.73",-0.140422359941998,0.98528215748716,0.0796402520412924,15.8278214660732,73
"result.74",-0.313436699446254,0.967224575394356,0.171301223042568,2.31412189195453,74
"result.75",-1.038851806844,0.89203599870448,0.310246785105788,2.11555091427198,75
"result.76",-0.155967760512827,0.983724453359247,0.100436360710953,2.31199856671933,76
"result.77",-0.112327015215609,0.988259444291255,0.0748138791962468,6.05130270191533,77
"result.78",-0.0955214592181582,0.990098892276127,0.0628453816959267,10.4960314376866,78
"result.79",-0.663915339779236,0.931078305515093,0.185233022639964,2.30772526661315,79
"result.80",-0.207719099674014,0.978222914726062,0.104964293288382,5.43722249302735,80
"result.81",-0.108828583185703,0.988466217954207,0.0787194277791294,5.85899560218623,81
"result.82",-0.157084836293587,0.983752458195046,0.0972451877208836,3.02132428411275,82
"result.84",-0.168477560305007,0.982291960846472,0.130633600376867,2.2705880058437,84
"result.85",-0.155304009687806,0.983687365379209,0.138657310737214,2.20273450381743,85
"result.86",-0.100165468164908,0.989418300841881,0.0737782029512595,4.95540166251624,86
"result.88",-0.12260646034707,0.987240663321262,0.0775403293579961,24.2006079781981,88
"result.89",-0.20192470385639,0.978990856310375,0.136428626893341,2.35135184004925,89
"result.90",-0.370196130645021,0.961521176666269,0.148125657938725,3.27410182745066,90
"result.91",-0.248463733905202,0.97404998727718,0.159758108471848,2.11240513313885,91
"result.92",-0.391803781176543,0.959296446253637,0.172459232170483,2.22601132172929,92
"result.93",-0.458963683965897,0.952310878564306,0.190458027042966,2.21421560473386,93
"result.94",-0.37002132311856,0.961360185006559,0.147661504784137,2.49078586904447,94
"result.95",-1.24411663344115,0.870688155258167,0.329115076804559,2.28762575867106,95
"result.96",-0.6508026152813,0.932596690890193,0.246695451475167,2.26547872508587,96
"result.97",-0.511727480786217,0.94673882669318,0.197715281531377,2.25272770577129,97
"result.98",-0.350859795065876,0.963271102127221,0.154654957448668,2.99871568273254,98
"result.99",-0.422698837462617,0.956025750157974,0.200999291218402,2.10000120299029,99
"result.100",-0.174568883617804,0.981643391353572,0.0998214003870204,4.46283075076781,100
"result.101",-0.739135315568021,0.922852861324845,0.235581648579067,2.26162871811699,101
"result.103",-0.738525967828526,0.923247528903564,0.229912841390243,2.44741159782204,103
"result.104",-0.169979486170334,0.981892253791475,0.107371798048551,2.64784890283747,104
"result.105",-0.67055434383874,0.93025399130123,0.223275304969042,2.34665695933352,105
"result.106",-0.195457002005946,0.979701657701715,0.142921316509988,2.12019654512295,106
"result.107",-0.145056295940964,0.984986925796606,0.0909640772013449,6.24058522511502,107
"result.108",-0.0946565065639831,0.990097324314221,0.0601341361871962,18.6985010093598,108
"result.109",-0.113063233476076,0.988197171159464,0.0848649132766105,4.00557108099734,109
"result.110",-0.0923920964137202,0.990099001039677,0.111522127179493,2.10000478819719,110
"result.111",-0.130296252966447,0.986290589667466,0.0841710442660254,15.7680145885719,111
"result.112",-0.328863012702448,0.965829804753686,0.126210300085192,2.22028394814522,112
"result.113",-0.103057591275264,0.989042251657375,0.0906614972267315,2.58267687653813,113
"result.115",-0.0932106118846899,0.990098989758673,0.0692411930830775,2.76673664503166,115
"result.116",-0.187794675891303,0.979909340596136,0.098737187896277,5.66159343418789,116
"result.117",-0.157584574365571,0.983529994273748,0.118686729633658,2.28465855168742,117
"result.118",-0.801389104165667,0.916900909884844,0.296522580149408,2.3246635374231,118
"result.119",-1.04719309222881,0.891005428739558,0.244483219999483,2.56830610235061,119
"result.120",-8.2201141118248,0.15084264814532,0.655013894202389,11.291432574625,120
"result.121",-0.0970487375296642,0.989998343361806,0.0611702674174028,5.17717762565151,121
"result.122",-0.0990727708171434,0.98946038848231,0.0760765873378035,8.36114991154011,122
"result.123",-0.0924515482078167,0.990099002545052,0.0546510465655245,6.41344813696238,123
"result.124",-0.736620011264569,0.923123686029308,0.210353159289574,2.39521644775398,124
"result.125",-0.678244123093063,0.929219912965114,0.236470006430854,2.10000091017392,125
"result.126",-0.0965151254033456,0.989874677760852,0.0773739367425879,2.44559028760884,126
"result.127",-1.12164633460022,0.883115663072132,0.326019052091079,2.29044666519661,127
"result.128",-0.251673992938666,0.973583225605374,0.110482955578938,15.3962412548465,128
"result.129",-0.114319659524645,0.987938692747916,0.0727771889228821,6.60119386100886,129
"result.130",-0.121700780619436,0.987374645713337,0.113928615207678,2.32340519538647,130
"result.131",-0.111700668349171,0.98861378440122,0.107409947902729,2.30572373938495,131
"result.132",-0.0953752611034665,0.990098995504835,0.0517882017999875,10.7693414924259,132
"result.134",-0.108423081481495,0.988909246439157,0.101335978556399,2.19268520318285,134
"result.135",-0.902516787543065,0.90597449996632,0.231796956783339,2.68324474844741,135
"result.136",-1.31051448973271,0.863937931014389,0.30723902672753,2.49637748694759,136
"result.137",-0.42883493932631,0.955308235524225,0.158622851035156,2.50096431086039,137
"result.138",-0.27635239736047,0.970908471665406,0.174851007182483,2.34287124899314,138
"result.140",-0.0922078072869067,0.990099001586001,0.0812620217902846,2.14220846234064,140
"result.141",-0.135919450442617,0.98582853217763,0.110496310396693,2.27900519863543,141
"result.142",-0.0937184984928699,0.990098991067983,0.0581233737650074,4.96188087350369,142
"result.145",-0.124246399263713,0.987085699675373,0.0760069865559214,2.70594363419379,145
"result.146",-0.616532526761685,0.935712666675507,0.234128113959017,2.37246662751716,146
"result.147",-0.161770882969151,0.983211135843608,0.137562305670613,2.1875980226273,147
"result.148",-5.40245629080875,0.441599968407431,0.546867316055694,6.09914837304353,148
"result.149",-5.57441357870544,0.423575479525621,0.548127119147907,9.45306987207609,149
"result.150",-1.06597378821983,0.889676311898766,0.326943782875929,2.10000310941735,150
"result.151",-0.096804624969509,0.990098103700012,0.0617714125229497,17.8063146254384,151
"result.152",-0.938421928266078,0.902226895513199,0.215372857556418,2.54874226759937,152
"result.154",-0.363884333860956,0.962140356252633,0.149458721970773,2.56232669592326,154
"result.155",-0.110918232375118,0.988233415177494,0.0823813584259402,5.26322318910077,155
"result.156",-0.101793348264089,0.989371025720662,0.0780127860128859,6.54811940300749,156
"result.157",-0.284915397959497,0.970639216677387,0.169484798862301,2.1140733888877,157
"result.158",-0.169996900271798,0.982300994630153,0.105089433653044,2.36842607128441,158
"result.159",-0.160125557526131,0.983113755575737,0.102565180432862,6.95859109884566,159
"result.162",-0.434869866991316,0.954739769228274,0.15621465517698,2.31868083698196,162
"result.164",-0.312059685880673,0.967521054885314,0.148794630429879,2.3384308642425,164
"result.165",-0.196160580044274,0.979339749261874,0.117366247892654,4.80673219047262,165
"result.166",-0.142278599170827,0.985056750179477,0.0894206747918126,3.25746948790368,166
"result.167",-0.171070357948687,0.982125418845924,0.100000777345914,2.37799778023136,167
"result.168",-0.141817790079361,0.984859941826274,0.09202225655358,6.41694813165392,168
"result.169",-0.103712210602552,0.989178015582129,0.109120676860977,2.12337164545693,169
"result.170",-0.108518254150425,0.988795444466742,0.103464285794603,2.18452739321219,170
"result.171",-0.093977773654064,0.990098971255329,0.0599034623689269,20.9476644129015,171
"result.172",-0.132870674549775,0.986173753662032,0.14032784325773,2.130154868656,172
"result.173",-0.329789161126428,0.965001281443456,0.120575560990858,4.05486925035707,173
"result.175",-1.21064348904482,0.87374343519121,0.261741232476057,6.23536046704311,175
"result.178",-0.491612198337557,0.948708905100449,0.180480673440983,2.55762238190865,178
"result.179",-0.186126592511992,0.980645700965699,0.100505103753683,5.55944740373938,179
"result.180",-1.22905031718776,0.87306696163208,0.314089347331732,2.39560500176168,180
"result.181",-0.244115502498709,0.974369282484969,0.125326776916613,5.62398778927361,181
"result.182",-0.133592792796451,0.985921160874066,0.0795485427026346,4.72386790851124,182
"result.183",-0.373770918228538,0.960999164328779,0.183360526851263,2.21609764972553,183
"result.184",-0.117200992765278,0.987814192771491,0.0670298404813465,5.50745971559771,184
"result.185",-0.0999003781724343,0.989649888547821,0.0779502786452829,5.18891949260638,185
"result.186",-0.130954779460519,0.986255923683612,0.0876076954327583,2.6190758766435,186
"result.187",-0.182939249322276,0.980866248696349,0.162194541942154,2.10000151412923,187
"result.188",-0.135732304430816,0.985753276742973,0.0860818591089305,10.2612050888545,188
"result.189",-0.151559711056232,0.984194239601584,0.105873636955019,2.36392200388797,189
"result.190",-0.0961302139386908,0.99009651735733,0.0749769380521462,3.23075431700059,190
"result.191",-0.094471057441178,0.990098969132293,0.0556150686406376,18.5444103425078,191
"result.192",-0.0940825187172109,0.990098986947519,0.0573386059135748,14.9870034489901,192
"result.194",-0.45709258459992,0.952454306077426,0.200968974686885,2.70434104678363,194
"result.195",-0.257455793083751,0.973060941728239,0.191550678551226,2.10001022703876,195
"result.196",-0.0974136768015887,0.990095524317032,0.07282219256926,2.87872303477061,196
"result.197",-0.324646530563918,0.966009476009741,0.129591451859262,4.41300481256822,197
"result.198",-0.0954634975115622,0.990098988029975,0.061082983464651,4.38194559105705,198
"result.199",-0.334096311009978,0.965105432236019,0.163254328204248,2.24076167111898,199
"result.200",-0.352250162740049,0.963384345695538,0.161220174268397,2.35534884197253,200
