"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"result.24",-0.827614925365723,0.917876667774065,0.448102916126722,15.2858493709497,-0.81082516978414,0.918992942200595,0.427621904207136,0,24
"result.25",-0.773545716867945,0.923981006709469,0.399243533668698,5.15797885288488,-0.722662362910076,0.929274772130682,0.387747856958345,0,25
"result.26",-0.517315626490961,0.948517222031822,0.362759526812503,2.70022580584528,-0.469454903812427,0.953578220116103,0.313076020443001,0,26
"result.27",-0.350628810653825,0.963739325853008,0.287542982389527,11.9430427852465,-0.566349331045803,0.94263199388897,0.386727823738927,0,27
"result.28",-0.537088666860256,0.946737523134733,0.353357229849354,7.25878236196074,-0.485578162363991,0.951958020388539,0.335640176559516,0,28
"result.29",-0.738009404427655,0.926316542146875,0.411926729032679,3.16655617091673,-0.639932070607346,0.936190894507327,0.385605103629756,0,29
"result.30",-0.370436344705497,0.963459787603751,0.307887070188523,13.2948522492188,-0.467610483859444,0.953694491880169,0.3250573647875,0,30
"result.31",-0.491502733568007,0.949821857523728,0.333225891257143,4.43265816990106,-0.595402338532828,0.94028475857207,0.351173934428247,0,31
"result.32",-0.458175980485723,0.955017698562403,0.329839428452628,11.9068006318839,-0.504778859336858,0.948930414979245,0.369319250713125,0,32
"result.33",-0.519091627369086,0.9475123505679,0.402479283110054,3.32086535579808,-0.55056658511499,0.944845501507958,0.407283987749879,0,33
"result.34",-0.69242474796719,0.93277704621666,0.374032483866685,8.39268599132005,-0.648694825439848,0.936695879554671,0.382228501569307,0,34
"result.35",-0.451722208444415,0.953981357222227,0.34032098050912,6.77114231827383,-0.530120241813902,0.947047653178173,0.351114389966175,0,35
"result.36",-0.492089878433654,0.950555884311702,0.351945800795269,10.2243247571993,-0.573293300775935,0.943262274025547,0.345051402038702,0,36
"result.37",-0.58966028311353,0.941347828075693,0.354710610728489,13.8481513384742,-0.603486798417617,0.940149960298426,0.369234573934042,0,37
"result.38",-0.64353154744973,0.934945141926836,0.404513338954869,10.1288947001608,-0.61823124305342,0.938202254835882,0.404224224395925,0,38
"result.39",-0.671882880777852,0.933701830916226,0.434214266932828,3.52793255469455,-0.654223162656937,0.934839926246982,0.421252914223007,0,39
"result.40",-0.901218421796722,0.910085956569725,0.39913585265448,3.15424799519868,-0.58007923330711,0.942163851416422,0.338256660660533,0,40
"result.41",-0.500586289425853,0.950562498639399,0.398707866078767,3.4304595351526,-0.47179708354245,0.953554877924005,0.370053204085398,0,41
"result.42",-0.86072840001635,0.91466258370315,0.449587248943334,14.3202412237035,-0.743698011324971,0.925879628990136,0.414797989644784,0,42
"result.43",-0.501760384382003,0.950715800726717,0.372015960962467,2.82599822925289,-0.746361852334905,0.925540023158886,0.413626849713835,0,43
"result.44",-0.767654698001855,0.92181977609571,0.380979290580429,7.02823749373829,-0.770419159742086,0.92247567902042,0.373554750395942,0,44
