"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"result.1",-0.784201070229405,0.917957024213281,0.219626295106827,-0.0932904455355255,0.990098977372958,0.058862481793475,10.4825772055276,-0.264924374928148,0.97183986007514,0.151859808519718,129
"result.4",-0.0952120623371978,0.990099001912151,0.0546035862066969,-0.10092442737765,0.989416865332888,0.0669295438595311,8.55264691170248,-0.269709799350593,0.971342232915425,0.153449579298895,132
"result.6",-0.0984302375579797,0.990098444704533,0.068380576930791,-0.101131399753231,0.98926263955437,0.0794029285789221,2.30019271600487,-0.26496475516572,0.971833782601637,0.151972718705866,134
"result.7",-0.124062381962696,0.986919780151866,0.0880812358863443,-0.0998788326201653,0.989442918239444,0.0831700487244148,2.61123152843853,-0.261781311821935,0.972165748973551,0.150999335459966,135
"result.8",-0.0959936956600117,0.989777960196756,0.0757910359100263,-0.0930115541602327,0.990087621566596,0.0698926852446454,6.9842829608621,-0.278654637066082,0.970385316487169,0.155231097964286,136
"result.9",-8.23552510859727,0.150202850503902,0.655874304678791,-0.199846879551922,0.979079773508723,0.136373137818706,2.17183512350849,-0.266314461100411,0.971703396633707,0.152320971908045,137
"result.12",-0.0967584783829199,0.990098443577136,0.0667640540863287,-0.0967627978599647,0.989985870303712,0.078173054970409,2.88820248690283,-0.276641167157079,0.970607983312208,0.155349825142718,140
"result.14",-0.0940410377867234,0.990099001583286,0.0607022852914128,-0.099895067414667,0.989499024027827,0.0701192897637601,2.86786673113698,-0.264284072604799,0.971912584737629,0.151223967987101,142
"result.17",-0.110390548593494,0.988379081234388,0.0725281509820821,-0.11666849473308,0.987704571364092,0.0820338414706365,7.46017502594049,-0.273013549392865,0.970977267053383,0.154241241378177,145
"result.19",-0.0950992227629722,0.990098955695344,0.0697186791345323,-0.112641334154054,0.988166785637878,0.0923794999845718,2.47548563376132,-0.268341654911241,0.971491383905735,0.152751154479002,147
"result.20",0,0,0,-0.0936444118092637,0.990098923392236,0.0607552941915181,8.45880271549148,-0.276856101163449,0.970581829520503,0.155225534556045,148
"result.21",-0.0962348754674539,0.989936872212508,0.0638780545879009,-0.0999151245887465,0.989476149729094,0.0665811155511432,8.34412873677602,-0.273298621260088,0.970959016673498,0.154259607165748,149
