"","95%","95%",""
"result.1",0.015204572843474,0.0141444947925796,1
"result.2",0.0150904617753817,0.0138117991874888,2
"result.3",0.0148211894450405,0.0139831984627791,3
"result.4",0.0147355685856958,0.0137142525975164,4
"result.5",0.0145247858991826,0.0144296221374862,5
"result.6",0.0144859560628801,0.0139021742137887,6
"result.7",0.0148130188329048,0.0140329585759588,7
"result.8",0.0169722490423433,0.0158879066399704,8
"result.9",0.0157052088173274,0.0132682619013642,9
"result.10",0.0160834250446015,0.0143782089118996,10
"result.11",0.0156080450783667,0.0142401272749069,11
"result.12",0.0171506279075873,0.0157170444050152,12
"result.13",0.016198095010364,0.0147085917315891,13
"result.14",0.0159459348017194,0.0156516615052626,14
"result.15",0.0158180055296595,0.0156825557548184,15
"result.16",0.015734506376801,0.0166402768778716,16
"result.17",0.0155391292664924,0.0146339011917134,17
"result.18",0.0154075413228055,0.0147270462229995,18
"result.19",0.0152932817504584,0.0150689779373658,19
"result.20",0.0152510408469271,0.0147008727489268,20
"result.21",0.0150870287874073,0.0138246484694229,21
"result.22",0.0158728059877737,0.0146692849380239,22
"result.23",0.0152394960698937,0.0151334919504874,23
"result.24",0.0152344501147281,0.0135815098310501,24
"result.25",0.0150485391246481,0.015045746857566,25
"result.26",0.0150811440074325,0.0141800143206732,26
"result.27",0.0152091605973339,0.014385534175434,27
"result.28",0.015644941372239,0.0141101006133119,28
"result.29",0.0153257901833107,0.0155146387067579,29
"result.30",0.0150291437766135,0.0147866531877186,30
"result.31",0.0149327762179101,0.0138036690339595,31
"result.32",0.0148436445235804,0.0138641127299485,32
"result.33",0.0152030122395204,0.0147183156150452,33
"result.34",0.0147754917794059,0.0143841836691828,34
"result.35",0.0148729882126037,0.0145485075543862,35
"result.36",0.0146374015757024,0.0150030258396541,36
"result.37",0.0150382596491486,0.0139223918411452,37
"result.38",0.0146607893398314,0.0151224241070911,38
"result.39",0.0145018289757047,0.0130371664252475,39
"result.40",0.0145930388881613,0.0128268432157551,40
"result.41",0.0145491337507509,0.0136102716107853,41
"result.42",0.0142806426363554,0.0134831454589536,42
"result.43",0.0145179280970846,0.0135549730560472,43
"result.44",0.0144823137196668,0.0136541762825813,44
"result.45",0.0142654146967191,0.0138782455232917,45
"result.46",0.0147831343604421,0.0142414141725283,46
"result.47",0.0142391660599892,0.0135203104763091,47
"result.48",0.0149671368220529,0.0128386346933091,48
"result.49",0.0145244841003555,0.0140567640101078,49
"result.50",0.0144028163664797,0.0135965796924907,50
"result.51",0.0142949836118536,0.0128576847582324,51
"result.52",0.0147695343231823,0.0135114995199015,52
"result.53",0.0143550923078655,0.0140541649375667,53
"result.54",0.0141864334097405,0.0139316475612246,54
"result.55",0.0140911760784221,0.014105172180868,55
"result.56",0.013953019999279,0.0127268745830406,56
"result.57",0.0142103697099221,0.0142080644836614,57
"result.58",0.0141426475372562,0.0137201014391836,58
"result.59",0.0139053862716945,0.0132902009570446,59
"result.60",0.0137956217729562,0.0130342598454832,60
"result.61",0.013848562925389,0.0130733384643679,61
"result.62",0.0138253250920125,0.0129961532315001,62
"result.63",0.0136508487963444,0.0134654180198505,63
"result.64",0.0135472088821142,0.0127206876365356,64
"result.65",0.0134408332943995,0.0131529005999957,65
"result.66",0.0136434793854721,0.0124055046373921,66
"result.67",0.0133926045012553,0.0125148624593895,67
"result.68",0.0132978605681091,0.0120823615751392,68
"result.69",0.0132240083363399,0.0134211342256642,69
"result.70",0.0130487401235678,0.0119955941264698,70
"result.71",0.0128565526520549,0.0115266605718286,71
"result.72",0.0128063620775608,0.0127145010685688,72
"result.73",0.012668937294837,0.0128569243560457,73
"result.74",0.0130523876593754,0.0128732281828635,74
"result.75",0.0126520442326488,0.0120644704613596,75
"result.76",0.012546732384447,0.0122326565723122,76
"result.77",0.0123738171386355,0.0115312559751863,77
"result.78",0.012782414325157,0.0116802961699965,78
"result.79",0.0124265333646165,0.0123655554458172,79
"result.80",0.0128551988825027,0.0131257196445307,80
"result.81",0.0143160621468657,0.0120898334469044,81
"result.82",0.013658738457434,0.0122934677960283,82
"result.83",0.0144124876275197,0.0128194977131419,83
"result.84",0.0141178592329845,0.0139892809820306,84
"result.85",0.0138483737937915,0.0132811714404653,85
"result.86",0.014805724474111,0.0129831841765898,86
"result.87",0.0145580285138591,0.0137301900588078,87
"result.88",0.014175688091412,0.0138803995085073,88
"result.89",0.014987415075599,0.013762711989153,89
"result.90",0.01432116074705,0.0145246617537584,90
"result.91",0.0142030365968544,0.0136652135802179,91
"result.92",0.0142299445960761,0.0139094024507025,92
"result.93",0.0141734255980313,0.0129050799781336,93
"result.94",0.0139462744029375,0.0133084602196138,94
"result.95",0.0137404273876545,0.0125427775909768,95
"result.96",0.013837943841379,0.0127257035462949,96
"result.97",0.0138588725297231,0.0138359761675056,97
"result.98",0.0138590673246166,0.013117850158349,98
"result.99",0.0141771141736826,0.0135255839201879,99
"result.100",0.0137173357345665,0.0148043100169667,100
"result.101",0.013575929873111,0.0140786296160991,101
"result.102",0.0134983897685421,0.0135067047792412,102
"result.103",0.0133441945001922,0.0134936086066218,103
"result.104",0.0133924667918463,0.0121073742268434,104
"result.105",0.0133220271969672,0.0119522701937053,105
"result.106",0.0130641979788957,0.0129959323573207,106
"result.107",0.0133366030803767,0.0115004359316661,107
"result.108",0.013437554113713,0.0135270656362052,108
"result.109",0.0133291300908125,0.0128274518219215,109
"result.110",0.0134718242261948,0.0124113008064069,110
"result.111",0.0131007291329743,0.0122876364619148,111
"result.112",0.0133062113308663,0.0120617225394448,112
"result.113",0.0130315853280887,0.0127277916801647,113
"result.114",0.0131418292043659,0.0114912724888395,114
"result.115",0.0128629837817506,0.012228059168419,115
"result.116",0.0134129365370201,0.0118217358700216,116
"result.117",0.013058153321462,0.0124138238412154,117
"result.118",0.0129754470209812,0.01296214344983,118
"result.119",0.0130779734798937,0.0117732494181503,119
"result.120",0.0128904432569592,0.0127462297355798,120
"result.121",0.0129032277710213,0.0120100179494176,121
"result.122",0.012677768310392,0.0123097430992234,122
"result.123",0.0125339342545024,0.0115947939669195,123
"result.124",0.0128388698559069,0.0116795795359894,124
"result.125",0.0128269022867451,0.0124527028321129,125
"result.126",0.012619207066951,0.0118227531076813,126
"result.127",0.0125451013493025,0.0129222557011566,127
"result.128",0.0124617549554508,0.0124113496953654,128
"result.129",0.0123082307682623,0.0121912097989089,129
"result.130",0.0133080215465599,0.0116987254016597,130
"result.131",0.0128126464073337,0.0133709778187239,131
"result.132",0.012886135453161,0.0114206794324027,132
"result.133",0.0126425678306686,0.0122291528865698,133
"result.134",0.0125016757515054,0.0119125302438009,134
"result.135",0.0122932440786994,0.0124478542621549,135
"result.136",0.0121750730856532,0.0111832601730726,136
"result.137",0.0120211553584172,0.0107491329673088,137
"result.138",0.0129678668486961,0.0112942969593393,138
"result.139",0.0123315576521586,0.0126630005887507,139
"result.140",0.0130368457728565,0.0115763177686391,140
"result.141",0.0125279839012446,0.012273883850558,141
"result.142",0.0125354987883258,0.0119640714807238,142
"result.143",0.0130880800129533,0.0112151975155782,143
"result.144",0.0126120724420724,0.0122798068192849,144
"result.145",0.0130321915546705,0.0113688537150327,145
"result.146",0.0126414369903812,0.0122169586281083,146
"result.147",0.0126087401723355,0.0124909529184034,147
"result.148",0.0127344388617771,0.01135745460111,148
"result.149",0.0124986659865196,0.0121065325589891,149
"result.150",0.0123389126030048,0.0120444571587078,150
"result.151",0.012308018769538,0.0108876462442911,151
"result.152",0.0122141778055934,0.0118746175737076,152
"result.153",0.0119548103147665,0.0112034702539001,153
"result.154",0.0121712693970136,0.0110506787698106,154
"result.155",0.0120222006918489,0.01068635056798,155
"result.156",0.0118122875751135,0.0112128446533392,156
"result.157",0.0117016351027554,0.0113237378145116,157
"result.158",0.0128686477391493,0.0115564804035335,158
"result.159",0.0128658732164483,0.0111826943768863,159
"result.160",0.0125341849504407,0.0118756856410344,160
"result.161",0.012278838535062,0.0114627609316588,161
"result.162",0.0121477962568606,0.0105368615436677,162
"result.163",0.0120424409537511,0.0110698223659906,163
"result.164",0.0120522013010827,0.0112598320122329,164
"result.165",0.0119041496445098,0.0110971765531737,165
"result.166",0.0118727001600477,0.0104566086679044,166
"result.167",0.0117308735274136,0.0115640650628235,167
"result.168",0.0116196613129916,0.0118599467524673,168
"result.169",0.0114997416155228,0.0109269624286396,169
"result.170",0.0113323684048918,0.0108654110287373,170
"result.171",0.0114202254591781,0.0104863313132605,171
"result.172",0.0112474786998216,0.0108541420743846,172
"result.173",0.0111335522253999,0.0111713962549252,173
"result.174",0.0113615743608148,0.0106300225834654,174
"result.175",0.0110781767867511,0.0113285348745016,175
"result.176",0.0114270554018694,0.010033541199117,176
"result.177",0.0117217641870793,0.0111269034719902,177
"result.178",0.0112745240111064,0.0113046840123968,178
"result.179",0.0113115841216506,0.010521416285892,179
"result.180",0.0111335412308228,0.0101592906431217,180
"result.181",0.0110251252182192,0.0104276964818784,181
"result.182",0.0109371152553534,0.010183777178068,182
"result.183",0.0109690407226602,0.0105206505665269,183
"result.184",0.0109491161035938,0.0103197824581499,184
"result.185",0.0107162856249728,0.0096851293460588,185
"result.186",0.010612698730315,0.0102806386655665,186
"result.187",0.0107993331023122,0.0103118038379708,187
"result.188",0.0106982277640178,0.00984354466913618,188
"result.189",0.011021386214833,0.0103703351539999,189
"result.190",0.0106609179621533,0.0111486759892693,190
"result.191",0.0117246564294551,0.0104556023510616,191
"result.192",0.012109964450218,0.0111453916664847,192
"result.193",0.0114361758985929,0.011164285511508,193
"result.194",0.0113034135373296,0.0107619617153389,194
"result.195",0.011516543145277,0.0105625705048038,195
"result.196",0.0112114014851226,0.0110200733553424,196
"result.197",0.0120232535659858,0.0103295098849124,197
"result.198",0.0114855401444062,0.0106604375266239,198
"result.199",0.0113775218709939,0.0104220152302414,199
"result.200",0.0118814694578843,0.0103078868639213,200
"result.201",0.0116865389552333,0.0115516913620357,201
"result.202",0.0114169622411063,0.0105993714165415,202
"result.203",0.0113344753040388,0.0105945388392968,203
"result.204",0.0112558162915871,0.0114309144821471,204
"result.205",0.0123393803341177,0.0103097753016171,205
"result.206",0.0121225830027488,0.0106037166089648,206
"result.207",0.0117154775432023,0.0114090062296831,207
"result.208",0.0120203895463446,0.0114728925712359,208
"result.209",0.0121937968482341,0.0109054527176531,209
"result.210",0.0128194248700718,0.0118346768529379,210
"result.211",0.0131252660277125,0.0122035408135858,211
"result.212",0.0126202819682137,0.011373545442746,212
"result.213",0.0124769988119592,0.0125705262968556,213
"result.214",0.0123317969359348,0.0111798533654763,214
"result.215",0.0123261435434665,0.0107836290259067,215
"result.216",0.0124914313237861,0.0110537218027798,216
"result.217",0.0122008832720662,0.0119442902213758,217
"result.218",0.0120473896456892,0.0112107256546974,218
"result.219",0.0119369522259868,0.0110094937227687,219
"result.220",0.0119126025394054,0.0115542956704643,220
"result.221",0.0122795480014726,0.0106649770383766,221
"result.222",0.0118766262545453,0.0101768046238169,222
"result.223",0.0118306631317089,0.0114063830284898,223
"result.224",0.0116050270266107,0.0103095002232865,224
"result.225",0.0118405452123725,0.0106613989848095,225
"result.226",0.0121646027359697,0.0107988095166181,226
"result.227",0.0120394127012015,0.0109010097916871,227
"result.228",0.0121076543058189,0.0121790829776875,228
"result.229",0.0118481730606554,0.0116470767915385,229
"result.230",0.0116798564487404,0.0113644070381807,230
"result.231",0.0115916972833698,0.0111245564752892,231
"result.232",0.0113432929499872,0.0102096473067811,232
"result.233",0.0117964410068268,0.0113112543569893,233
"result.234",0.0114118654283468,0.0111108155922946,234
"result.235",0.0112833016431216,0.00999744752366956,235
"result.236",0.0112612068495704,0.0108069440972259,236
"result.237",0.0111864848973834,0.0108729422290626,237
"result.238",0.0115199092145868,0.0115921161020524,238
"result.239",0.0112165759228104,0.0109681395539353,239
"result.240",0.0114238980171179,0.0105361359389698,240
"result.241",0.0111727369606078,0.0104333076319606,241
"result.242",0.0112600348034564,0.0101306574930098,242
"result.243",0.0111528467947397,0.0104055056066082,243
"result.244",0.0109353269303412,0.010799190836016,244
"result.245",0.0108418701800327,0.00982657154130501,245
"result.246",0.0107468350521198,0.0106854801818446,246
"result.247",0.0106510840916183,0.00990328720307115,247
"result.248",0.0105607170056754,0.00964312955062071,248
"result.249",0.0105907342145645,0.00936717465673313,249
"result.250",0.010784470375583,0.0100020387768499,250
"result.251",0.0106112170197348,0.0101251486228712,251
"result.252",0.0104866658711486,0.00999662373223705,252
"result.253",0.0103464678276273,0.0101397327121064,253
"result.254",0.0102314187235618,0.0100955557048223,254
"result.255",0.0101322949648357,0.00952836711972079,255
"result.256",0.01000278614164,0.00899095686436215,256
"result.257",0.0099486588585727,0.00914152970931284,257
"result.258",0.0104305931396411,0.0096725807639811,258
"result.259",0.0112584969567869,0.0095042397089467,259
"result.260",0.0105558593917822,0.0109940572621551,260
"result.261",0.0104361319453293,0.00976505672538757,261
"result.262",0.0103512462717916,0.0103414104899324,262
"result.263",0.0102246979600015,0.00947239444218986,263
"result.264",0.0101049619483743,0.00883506485379841,264
"result.265",0.0100074874649283,0.00941735130192819,265
"result.266",0.00983002584793051,0.00908501364520634,266
"result.267",0.0101461973149699,0.00934742382830947,267
"result.268",0.00984891846537448,0.00976748517803874,268
"result.269",0.00971414102613863,0.00866748991742774,269
"result.270",0.00959508853102404,0.00916967891453874,270
"result.271",0.010141811988706,0.00937199982874777,271
"result.272",0.00987766915219707,0.00935303480619167,272
"result.273",0.00986752889274538,0.00915131052698663,273
"result.274",0.00968347079692048,0.0094898813444068,274
"result.275",0.00972224484046862,0.0089043544104577,275
"result.276",0.00986790444622775,0.00872295297333352,276
"result.277",0.00969077374521042,0.00909358883290824,277
"result.278",0.00952981388173766,0.00941687972360264,278
"result.279",0.00948165278253881,0.00915308205122278,279
"result.280",0.00943013690495547,0.00969543786438719,280
"result.281",0.0095487492673622,0.00953797525522345,281
"result.282",0.00929702403989047,0.00842413720483887,282
"result.283",0.00982867756550837,0.00930113715389447,283
"result.284",0.00947103265227303,0.00849853950206406,284
"result.285",0.00948682002183168,0.00799059066919103,285
"result.286",0.00928721520325968,0.00871724152991403,286
"result.287",0.00919661959015682,0.00826259893721458,287
"result.288",0.00967801265892022,0.00901222785445358,288
"result.289",0.00931307298570161,0.00907146733186562,289
"result.290",0.0100231141835884,0.00817562313785868,290
"result.291",0.00977031516442252,0.0102064629345107,291
"result.292",0.00954721564104859,0.00939051717814013,292
"result.293",0.00954077591539445,0.00918195078027428,293
"result.294",0.009642495702381,0.00945021838219367,294
"result.295",0.00942580334464688,0.00903343814314266,295
"result.296",0.00940915622952337,0.00902796700011372,296
"result.297",0.00967010323510297,0.00863058871634433,297
"result.298",0.0130163319041748,0.00961412419266894,298
"result.299",0.0111789561578331,0.0100048123664998,299
"result.300",0.0110704557950849,0.00976528292074548,300
"result.301",0.0111939674825667,0.0109238550518387,301
"result.302",0.0109854461067016,0.0096366514278668,302
"result.303",0.0107831926266129,0.00962619191891368,303
"result.304",0.0119024682825112,0.010311906870358,304
"result.305",0.0112558602028692,0.0111821698103563,305
"result.306",0.0111209065928962,0.0103872883497308,306
"result.307",0.0110171005667234,0.0105377402747496,307
"result.308",0.0121662372497904,0.0107817966253983,308
"result.309",0.0114842578770047,0.0105159019037618,309
"result.310",0.0114473945045061,0.0109594249250192,310
"result.311",0.0113054461081901,0.0101367103059322,311
"result.312",0.0132558171244881,0.0113809382632491,312
"result.313",0.0121293427390646,0.0116519474306188,313
"result.314",0.0120659222534036,0.0118610266527642,314
"result.315",0.0120419889217131,0.0111372252225455,315
"result.316",0.0123492581050693,0.0111882204787367,316
"result.317",0.0120335297558987,0.0117316377330762,317
"result.318",0.011936711822836,0.0122285455892635,318
"result.319",0.0119903115573214,0.0113816307495433,319
"result.320",0.0121857424579918,0.0116151149145106,320
"result.321",0.0119364525888962,0.0099477656968382,321
"result.322",0.0118161236518164,0.010732203294485,322
"result.323",0.0116254272436161,0.0105185357946078,323
"result.324",0.0114802284433597,0.0111927186670422,324
"result.325",0.0115794055662146,0.010371692598329,325
"result.326",0.0116381775895496,0.0106755237069627,326
"result.327",0.0117301916412587,0.0104342549306892,327
"result.328",0.0115148592538361,0.0112220818051722,328
"result.329",0.011369872895432,0.0117116356028398,329
"result.330",0.011309452407821,0.0107832148860674,330
"result.331",0.0133989189804102,0.0117238312569458,331
"result.332",0.0121871601372402,0.0113071805782425,332
"result.333",0.0120580193750619,0.0115162437888452,333
"result.334",0.01200044281968,0.0112932491386445,334
