"","omega","","",""
"result.188",0.0196500045853958,0.0186213572090779,0.0188655382166942,188
"result.189",0.0286135225799413,0.0199453282944759,0.0202127399305638,189
"result.190",0.0315088077063408,0.0284589606817534,0.0288838975011103,190
"result.191",0.0282664417499595,0.0310598333439245,0.0315352641377231,191
"result.192",0.0258513880032499,0.0280489287399703,0.028465996294095,192
"result.193",0.0279889179362525,0.0257702025292517,0.0261440186775346,193
"result.194",0.0249491111100274,0.027778007990527,0.0281898902272459,194
"result.195",0.0233604841537117,0.0249276863205452,0.0252857270092264,195
"result.196",0.0214055879332091,0.0234364819118369,0.0237669043502606,196
"result.197",0.0275190154644828,0.021587653833798,0.0218844052253147,197
"result.198",0.0245989780826293,0.0273441431215034,0.027747745118667,198
"result.199",0.0237827822038558,0.0245991147052607,0.0249510361668186,199
"result.200",0.0213690953408468,0.0238344191866773,0.0241721727968169,200
"result.201",0.0198814101571109,0.0215358629355862,0.0218316806597656,201
"result.202",0.0180101924891503,0.0201130202573054,0.0203834017668285,202
"result.203",0.020649691273658,0.0183652861047321,0.018605019921516,203
"result.204",0.0188475308530275,0.0208483653469145,0.0211318404169489,204
"result.205",0.0286473780684968,0.0191479415957261,0.0194013151830958,205
"result.206",0.0303351202877819,0.0284531460968296,0.0288779711448157,206
"result.207",0.0272491140834684,0.0299986856818251,0.0304533970467915,207
"result.208",0.0244869456970435,0.0271156739966543,0.0275149275915609,208
"result.209",0.0253622105749273,0.0244951866170382,0.0248451764736544,209
"result.210",0.0227868753519198,0.0253220303453148,0.0256874397965916,210
"result.211",0.0278762001509841,0.0228801688254876,0.0232003912269292,211
"result.212",0.0254195155428442,0.027697687183597,0.0281080342947106,212
"result.213",0.0230412275117968,0.0253907738069401,0.025757470526564,213
"result.214",0.0210348656877014,0.0231426705736553,0.0234676987900357,214
"result.215",0.0201304248660528,0.0212028423578872,0.0214926693721864,215
"result.216",0.0196855665198908,0.0203558583852796,0.0206305512805258,216
"result.217",0.0203963394034472,0.0199187246162964,0.0201856656497839,217
"result.218",0.0303531346423107,0.0206477612356721,0.020927653106618,218
"result.219",0.0364393327928786,0.0300750384648509,0.0305312353199625,219
"result.220",0.0389458096622178,0.0357723959083316,0.0363416619188044,220
"result.221",0.0349071570988638,0.0380288173943129,0.0386439845722677,221
"result.222",0.0385282347931425,0.0343170049510135,0.0348569881884728,222
"result.223",0.0364176050934919,0.0376698282764423,0.0382776531788451,223
"result.224",0.0324611354729174,0.0357082638520509,0.0362762340548315,224
"result.225",0.0300030161967671,0.0319956967101191,0.0324895305983617,225
"result.226",0.0280466446710831,0.029694130987771,0.0301429254105372,226
"result.227",0.0289612882422009,0.0278721372738815,0.028285819823175,227
"result.228",0.0259126121700782,0.0287644067122059,0.0291952221689584,228
"result.229",0.0243162591922984,0.0258234166653821,0.0261982332320301,229
"result.230",0.0250421470057931,0.0244248187041549,0.0247735017821995,230
"result.231",0.0238243686245739,0.0250755432358218,0.025436343671565,231
"result.232",0.0232533504252996,0.0239192718972348,0.0242585924603063,232
"result.233",0.0210713073313278,0.0233762917775451,0.0237056078583393,233
"result.234",0.0255553692666751,0.0213339013539482,0.0216260833223103,234
"result.235",0.0230165225241717,0.0255507770492542,0.0259204730399674,235
"result.236",0.0224601493050074,0.0230961048707954,0.0234202796345997,236
"result.237",0.0202657229394156,0.0225862309380247,0.0229010873965123,237
"result.238",0.02060885183283,0.0205341365424303,0.0208120025601986,238
"result.239",0.0192952542747771,0.0208344636475246,0.021117690136002,239
"result.240",0.0231031243856642,0.0195660692674764,0.0198267865725299,240
"result.241",0.0208286873218306,0.0231939162113903,0.0235198841200983,241
"result.242",0.0190394346485237,0.0209981936460153,0.0212843503794531,242
"result.243",0.0174066649467323,0.0193403109477046,0.0195970583549681,243
"result.244",0.0176861693416793,0.0177656857391995,0.0179950667546009,244
"result.245",0.0164672450467511,0.0180318599296712,0.0182658261811994,245
"result.246",0.0174757113184393,0.0168522860857436,0.0170660645132088,246
"result.247",0.0170106708874909,0.0178294506755563,0.0180599285816001,247
"result.248",0.0167679585753498,0.017376769385983,0.0175994816666147,248
"result.249",0.0154022814537627,0.0171440677451571,0.0173628077469274,249
"result.250",0.0156813968293528,0.0158406756996428,0.0160374229784495,250
"result.251",0.0168406572288831,0.0161232902160364,0.0163247682796523,251
"result.252",0.0165050154300709,0.0172346689086069,0.0174549538916366,252
"result.253",0.0164814878837801,0.0168941897284114,0.017108679375319,253
"result.254",0.0152685690953141,0.0169008182696544,0.0171154204620123,254
"result.255",0.0190366197389284,0.0157441505569622,0.0159392870138433,255
"result.256",0.0175629625012173,0.0193485337371087,0.0196054255416769,256
"result.257",0.0160805106076448,0.0179328203551918,0.0181650785188836,257
"result.258",0.0162698361402781,0.0164865982561011,0.016694189099475,258
"result.259",0.0153046147466577,0.0166796389477852,0.016890491819062,259
"result.260",0.0216384223767119,0.0157793431144526,0.0159750665746472,260
"result.261",0.0208966932255649,0.0218154959353214,0.0221163611157991,261
"result.262",0.0189081937228796,0.0211192654157699,0.0214075924841737,262
"result.263",0.0171749008877877,0.0192014740936699,0.0194557857153868,263
"result.264",0.0171809368646458,0.0175287691261801,0.0177540833301251,264
"result.265",0.0173731942537467,0.0175446162261963,0.0177702020270871,265
"result.266",0.0196055419480766,0.0177360926037053,0.0179649648893232,266
"result.267",0.0179250048314144,0.0199097759403841,0.0201765587117038,267
"result.268",0.0164478924053406,0.0182764735186325,0.0185146685022843,268
"result.269",0.0230396580944579,0.0168643962274828,0.0170783801511973,269
"result.270",0.0261934901896108,0.0231775765265567,0.0235032447611374,270
"result.271",0.0271745817385219,0.0262301114142147,0.0266125893163505,271
"result.272",0.0249802628512979,0.0271367777729736,0.027536432684748,272
"result.273",0.0230119689664299,0.0250508682628166,0.0254112078788964,273
"result.274",0.0224636241197326,0.0231730013753477,0.0234985857093406,274
"result.275",0.0206473159938451,0.0226562418046328,0.0229723748506601,275
"result.276",0.0242076588508694,0.0209078553663673,0.0211923946503774,276
"result.277",0.0221163264714688,0.024310067373456,0.0246566213175683,277
"result.278",0.0200170122927451,0.022302033565218,0.0226117175554847,278
"result.279",0.0181218135956374,0.020278743974707,0.020552066410751,279
"result.280",0.0166397382053023,0.0184837046750133,0.0187254931727452,280
"result.281",0.0152539220940131,0.0170175640199872,0.017234150257103,281
"result.282",0.0178748173102778,0.0157297674548786,0.0159246641024211,282
"result.283",0.0164699671132093,0.0182289168867769,0.0184662886313518,283
"result.284",0.0154794226487198,0.0168756963902652,0.0170898720994828,284
"result.285",0.0142920183368558,0.0159035934522862,0.0161013920714979,285
"result.286",0.0133800536012158,0.0147405208503315,0.0149190623463866,286
"result.287",0.0145318063706023,0.0138866959991688,0.0140513501154871,287
"result.288",0.0134565912045038,0.0149767910670633,0.0151592135607714,288
"result.289",0.0161166760453516,0.0139607625686651,0.0141266126283668,289
"result.290",0.0152929993213799,0.0165081565592331,0.0167161112177538,290
"result.291",0.0150789311716156,0.0157124394794934,0.0159070472929344,291
"result.292",0.0139271741381806,0.0155005095392298,0.0156915914388449,292
"result.293",0.0133636046198572,0.0143762950497219,0.0145488857152642,293
"result.294",0.0221427067461206,0.0139169180491265,0.0140820599525213,294
"result.295",0.0209053729722845,0.0222632463861245,0.022572225644133,295
"result.296",0.0201586258821838,0.0210996800593861,0.0213876558373087,296
"result.297",0.0188801308331682,0.0203902823414168,0.0206655874172625,297
"result.298",0.017338866606166,0.0191685563798742,0.0194222911179551,298
"result.299",0.0158953908661792,0.0176910923270341,0.0179191914288523,299
"result.300",0.0148441170459187,0.0162850893930155,0.0164892854815903,300
"result.301",0.0145278993927819,0.0152691009300057,0.0154563470776523,301
"result.302",0.0154561553567713,0.0149666526110011,0.0151489082386789,302
"result.303",0.0142582413140786,0.0158729316110069,0.0160702177443355,303
"result.304",0.0132569622963787,0.0147007587570656,0.0148786487100736,304
