"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"result.1",0.00721658627443653,0.01282194681108,0,0.000280268026832171,0.0153740430548587,0,0.000407872839021107,0.0122012707144863,0,0.000249234222002486,0.00782038987443201,0,3.0190179999774e-05
"result.2",-0.00388190526470257,0.0122588363853353,0,0.000807037082501895,0.0154466918446168,0,0.00096642985546597,0.0122546026838521,0,0.000806825397427737,0.0081084423277602,0,0.000599517379623139
"result.3",-0.00846225910349621,0.0122968060917472,0,0.00103795325976217,0.0148895488802105,0,0.00116759039918534,0.0118156596780876,0,0.00101389593907919,0.00918891753276085,0,0.000882558831812854
"result.4",-0.00337589942007925,0.011906075004994,0,0.000764098721253661,0.0153907116130496,0,0.000938330551656442,0.0121906072476057,0,0.000778325333384246,0.00965973703741696,0,0.000651781822874811
"result.5",-0.0130944217631962,0.0122351170142778,0,0.0012664769388737,0.0147893493295782,0,0.00139418855463872,0.0117109091553691,0,0.00124026654592827,0.0101674152920097,0,0.0011630918527603
"result.6",0.00319620090034087,0.0118185278287868,0,0.000431116346422296,0.0168678266213941,0,0.000683581286052664,0.0133123747011241,0,0.000505808690039162,0.0105752385561075,0,0.000368951882788333
"result.7",0.00715595411065476,0.0132537083379347,0,0.000304887711363998,0.0160453089173744,0,0.000444467740335984,0.0126492453211371,0,0.000274664560524119,0.0102688278406688,0,0.000155643686500705
"result.8",0.00700469289532916,0.0126562743047671,0,0.000282579070471898,0.0159832330351082,0,0.000448927006988954,0.0125946301399575,0,0.00027949686223142,0.00777918934242194,0,3.87248223546392e-05
"result.9",0.0109592604387751,0.0126063534731244,0,8.23546517174696e-05,0.0158976395960881,0,0.000246918957865654,0.0125231226194806,0,7.81931090352765e-05,0.0101017361840334,1,0.000814648042004544
"result.10",-0.00365009210526321,0.012548391285371,0,0.000809924169531711,0.016941849586024,0,0.00102959708456436,0.0133278785748323,0,0.000848898534004776,0.00998992033857604,0,0.000682000622191963
"result.11",0.00442474103958286,0.013274220596962,0,0.000442473977868959,0.0161278658568339,0,0.000585156240862555,0.0126877494468642,0,0.000413150420364068,0.0132719624314817,0,0.00044236106959494
"result.12",-0.00815716809517568,0.0126905802567521,0,0.00104238741759639,0.0155357383113979,0,0.00118464532032868,0.0122167212827674,0,0.00101869446889715,0.0111690838006737,0,0.000966312594792471
"result.13",-0.00260043685474436,0.0122838688165459,0,0.000744215283564512,0.0157752486189025,0,0.000918784273682345,0.0124689638155191,0,0.000753470033513176,0.010782441712557,0,0.000669143928365071
"result.14",-0.000750657329451276,0.0124885256667611,0,0.000661959149810618,0.0150069463165449,0,0.000787880182299809,0.0118536192846834,0,0.000630213830706736,0.0110831575772679,0,0.000591690745335957
"result.15",-0.00630133745451846,0.0119288906230608,0,0.000911511403878964,0.0142422142904214,0,0.00102717758724699,0.0112474278682503,0,0.000877438266138441,0.0107427135986384,0,0.000852202552657845
"result.16",0.00254323340128593,0.0113773694831494,0,0.000441706804093173,0.0143050494358925,0,0.000588090801730327,0.0113153856303702,0,0.000438607611454215,0.0111254806400396,0,0.000429112361937684
"result.17",-0.000584137812529728,0.0114357579699416,0,0.000600994789123565,0.0137690312934578,0,0.000717658455299375,0.0108795295500546,0,0.000573183368129216,0.0103497762966711,0,0.000546695705460042
"result.18",-0.00157870999878218,0.0110333056227532,0,0.000630600781076768,0.0131798389772958,0,0.000737927448803902,0.0104188830221627,0,0.000599879651047247,0.00938643131112116,0,0.000548257065495167
"result.19",0.001723747379327,0.0106049950352158,0,0.000444062382794442,0.0127397475910354,0,0.000550800010585419,0.0100638301898118,0,0.000417004140524241,0.00912457070582917,0,0.000370041166325109
"result.20",0.00134344488818691,0.0102809720312607,0,0.000446876357153688,0.0123846125147381,0,0.000552058381327561,0.0097818229734972,0,0.000421918904265515,0.00956374615467581,0,0.000411015063324445
"result.21",0.00102538665378486,0.0100034705165442,0,0.000448904193137965,0.0120511455998623,0,0.000551287947303872,0.00951052966936211,0,0.000424257150778863,0.00911461321866369,0,0.000404461328243942
"result.22",-0.00724677907378551,0.00974994694787057,0,0.000849836301082805,0.0117629771830695,0,0.000950487812842751,0.00926829259088553,0,0.000825753583233553,0.00994343833342981,0,0.000859510870360767
"result.23",0.00085021433858235,0.00955922999899173,0,0.000435450783020469,0.0126491421772028,0,0.000589946391931021,0.00997959392261261,0,0.000456468979201514,0.0113688457548662,0,0.000525931570814192
"result.24",-0.00818689290427044,0.0101868118454789,0,0.000918685237487467,0.0122472210536943,0,0.00102170569789824,0.00965107601675689,0,0.000891898446051368,0.0134788755116304,0,0.00108328842079504
"result.25",0.00295093671323429,0.00991622524646374,0,0.000348264426661473,0.0133764503201273,0,0.000521275680344653,0.0104921490331984,0,0.000377060615998204,0.011384876526968,0,0.000421696990686684
"result.26",-0.0108362683077999,0.0106611726987964,0,0.00107487205032981,0.0130135909978526,0,0.00119249296528263,0.0102076744766245,0,0.00105219713922122,0.0115140833487359,0,0.00111751758282679
"result.27",0.0163643445552505,0.0104364147090408,1,0.00563153335389919,0.0148411355139296,1,0.00144704858925478,0.0116230118213789,1,0.00450426609717793,0.00852381924300261,1,0.00744849904663545
"result.28",0.00182828836799215,0.0117813277113541,0,0.000497651967168097,0.0185407045356015,0,0.000835620808380469,0.014518712501508,0,0.000634521206675792,0.0102024291562017,0,0.000418707039410479
"result.29",-0.00934905117806694,0.0143083670239932,0,0.00118287091010301,0.0172746665104094,0,0.00133118588442382,0.0135298279959431,0,0.00114394395870051,0.0116088790451769,0,0.00104789651116219
"result.30",-2.66106854760358e-05,0.0134548023932908,0,0.000674070653938341,0.0175437041821285,0,0.000878515743380226,0.0137440350451267,0,0.000688532286530135,0.0104716721202536,0,0.000524914140286481
"result.31",-0.013644131858077,0.0136296160517233,0,0.00136368739549001,0.0164052803515616,0,0.00150247061048193,0.0128432435944811,0,0.00132436877262791,0.00911913419928823,0,0.00113816330286826
"result.32",0.00125071513259954,0.0128493508946192,0,0.000579931788100986,0.0183414469643734,0,0.000854536591588692,0.0143823405154458,0,0.000656581269142313,0.00960130621754018,0,0.000417529554247032
"result.33",-0.00880869058412821,0.0141972431453112,0,0.00115029668647197,0.0171063690105374,0,0.00129575297973328,0.013401907495992,0,0.00111052990400601,0.00740000684623254,0,0.000810434871518038
"result.34",-0.00151174182916849,0.0133472022491574,0,0.000742947203916296,0.017226545614599,0,0.000936914372188374,0.0135298995479607,0,0.00075208206885646,0.00692661363674318,0,0.000421917773295584
"result.35",-0.000508113359703256,0.0134534371540767,0,0.000698077525688996,0.0161646760195752,0,0.000833639468963925,0.0126980089238621,0,0.000660306114178268,0.00645230320321133,0,0.00034802082814573
"result.36",-0.0018191468955213,0.0126879404520608,0,0.000725354367379105,0.0152318754751734,0,0.000852551118534738,0.0119512662644155,0,0.000688520657996843,0.00736709033865424,0,0.000459311861708777
"result.37",-0.00386948290641356,0.0120107051899154,0,0.00079400940481645,0.0144756410147635,0,0.000917256196058853,0.0113594133870857,0,0.000761444814674964,0.00836822029770445,0,0.000611885160205901
"result.38",0.00336360715962256,0.0114755136184144,0,0.000405595322939591,0.0140633788115584,0,0.00053498858259679,0.011039055699431,0,0.000383772426990424,0.00807260980737823,0,0.000235450132387784
"result.39",0.00516181976593645,0.0111973441438025,0,0.000301776218893301,0.0136758956041741,0,0.000425703791911883,0.0107410180684816,0,0.00027895991512726,0.00858046896207298,0,0.000170932459806827
"result.40",-0.00920254291589514,0.0109086800159375,0,0.00100556114659163,0.0136670637082183,0,0.00114348033120567,0.0107053391864974,0,0.000995394105119625,0.0106699451892993,0,0.000993624405259723
"result.41",-0.000906854770169103,0.0108910508094837,0,0.000589895278982641,0.0147139996250949,0,0.000781042719763203,0.0115084250061506,0,0.000620763988815983,0.00974100063128702,0,0.000532392770072807
"result.42",-0.012613302924866,0.0116057026656975,0,0.00121095027952818,0.0140133744022178,0,0.00133133386635419,0.0109631422468157,0,0.00117882225858409,0.0161910138389274,0,0.00144021583818967
"result.43",-0.0066073935914808,0.011134804011796,0,0.000887109880163841,0.0161395941357914,0,0.00113734938636361,0.0126540853563686,0,0.000963073947392472,0.0175534831574637,0,0.00120804383744723
"result.44",0.00621410444905,0.0126663385379899,0,0.000322611704446997,0.0159227382965352,0,0.00048543169237426,0.0125014862713964,0,0.000314369091117318,0.0147589689581693,0,0.000427243225455965
"result.45",-0.0121172853894808,0.0125177542369173,0,0.0012317519813199,0.0156951769239455,0,0.00139062311567131,0.0123040542556111,0,0.0012210669822546,0.0120200069322962,0,0.00120686461608885
"result.46",0.0045595176596748,0.0123527040240887,0,0.000389659318220696,0.017186336445168,0,0.00063134093927466,0.0134740904406581,0,0.000445728639049165,0.0123745656474696,0,0.000390752399389742
"result.47",-0.00437728382243395,0.0133947545410606,0,0.000888601918174731,0.0164666233174468,0,0.00104219535699404,0.0128884841368801,0,0.000863288397965703,0.0121582196753209,0,0.000826775174887745
"result.48",0.000565871083268285,0.0128674399533324,0,0.000615078443503206,0.0158285760893639,0,0.000763135250304781,0.0123778734360667,0,0.000590600117639923,0.0115942777555134,0,0.000551420333612254
"result.49",0.00883033349640891,0.012403919452133,0,0.000178679297786206,0.0149701860951979,0,0.000306992629939448,0.011708329993415,0,0.000143899824850305,0.01164489065102,0,0.000140727857730556
"result.50",0.00108756853499212,0.0117969981874566,0,0.000535471482623225,0.0155753263433072,0,0.000724387890415753,0.0121684984405838,0,0.000554046495279583,0.0107899042375337,0,0.000485116785127078
"result.51",-0.00608285249805911,0.0122099994357896,0,0.000914642596692436,0.0147571743114069,0,0.0010420013404733,0.0115406100593866,0,0.000881173127872287,0.0141091606661874,0,0.00100960065821233
"result.52",0.00767906689030669,0.0116385669751864,0,0.000197975004243985,0.0147020702594167,0,0.000351150168455503,0.0114934959184329,0,0.00019072145140631,0.0129652564038096,0,0.000264309475675147
"result.53",-0.00460562628973513,0.0116175655607336,0,0.000811159592523436,0.0149597418770691,0,0.000978268408340212,0.0117692765042498,0,0.000818745139699247,0.0139874692958202,0,0.000929654779277766
"result.54",0.00862594507925861,0.0118442016631164,0,0.000160912829192889,0.0145738499545218,0,0.000297395243763161,0.0114669769512718,0,0.000142051593600659,0.0118934579026231,0,0.000163375641168224
