"","1991-12-13","","","","","","",""
"result.1",0.00762389281069531,0.0145728174543862,0.0145309321671121,0.0189441389040183,0.0206453945818978,0.0205969422051098,0.0278821830056177,1
"result.2",-2.60361804187426e-05,0.0145527581833775,0.014510948687537,0.0188296104399703,0.0206169764969033,0.0205686165224179,0.0276839692383956,2
"result.3",-0.00448384756073494,0.0144107069289348,0.0143694334386808,0.0184879689029254,0.0204157316650324,0.0203680250277714,0.0271107558846035,3
"result.4",0.00193161553895038,0.0143317782257455,0.0142908020128871,0.0184728710672769,0.0203039129157432,0.020256568521468,0.0271134203480977,4
"result.5",-0.00250658616879651,0.0142964821355278,0.0142556387350012,0.0183216342189377,0.0202539087410614,0.0202067261580154,0.026884260278236,5
"result.6",0.0117471593904517,0.0141368353290758,0.0140965916616054,0.0182752905350586,0.0200277361890855,0.0199812840913367,0.0268403454980006,6
"result.7",0.0249547248914368,0.0142424171694344,0.014201777052044,0.0185049764814236,0.0201773145915993,0.020130379647135,0.0270081186978106,7
"result.8",0.00630531516594424,0.0143792111158874,0.0143380562985769,0.0193988267554367,0.0203711113649305,0.0203235493441767,0.0283470927036607,8
"result.9",0.0137038072677456,0.0149349288917833,0.0148916711530021,0.0192987932982157,0.0211583999448877,0.0211082734781556,0.0281040928767388,9
"result.10",0.00399358357950685,0.014853880967074,0.0148109311072275,0.0194241411521545,0.0210435788822494,0.02099382809795,0.0282460820913584,10
"result.11",0.0211303478514022,0.0150985394508965,0.0150546589911116,0.0195563246138726,0.0213901879681018,0.0213393014014187,0.028551057819642,11
"result.12",0.00468616738814198,0.0150614325069043,0.0150176934216617,0.020015632363167,0.0213376183464291,0.0212869043708039,0.0291981593252044,12
"result.14",0.00497248451069332,0.0153434316467198,0.015298616109142,0.0197676992445054,0.0217371281551308,0.0216850996339488,0.0288358130933544,14
"result.15",-0.00329632454554485,0.0151627340743019,0.0151186088435153,0.0196145940752148,0.0214811328615312,0.0214299474383566,0.0283301864989339,15
"result.16",-0.00134073236434951,0.0151077513679994,0.0150638357987631,0.0195667266697157,0.0214032385442309,0.0213523091131478,0.0283033738871848,16
"result.17",0.00167567244475375,0.0150491343733918,0.0150054421248527,0.019473167274081,0.0213201955097233,0.0212695387090847,0.0282156263387313,17
"result.19",-0.00602847720985089,0.0149171201850109,0.014873930130797,0.0193842967464495,0.0211331702472179,0.0210831263778246,0.0281595234055865,19
"result.20",-0.00183258634950612,0.0147980393331935,0.0147553013679911,0.0192318528034447,0.0209644677172989,0.0209149754468783,0.0279376643881357,20
"result.21",0.0146149035482397,0.0147447975853581,0.0147022614720029,0.0191057537906199,0.0208890398258958,0.0208397937820095,0.0276856643513422,21
"result.22",0.0007845532517603,0.0146944776872218,0.0146521321885515,0.0192715433030901,0.0208177513358336,0.020768737779413,0.0279146637857917,22
"result.23",-0.00610266277165294,0.0148173976869614,0.0147745862867836,0.0192755131576646,0.0209918928087731,0.0209423109511064,0.0279682878296459,23
"result.24",0.00155302220669373,0.0147746095422363,0.0147319604261824,0.0192321834577254,0.0209312745972383,0.0208818907126087,0.0280289054997961,24
"result.25",-0.00598646477812448,0.0147211731750403,0.014678726571681,0.0191503045326174,0.0208555709874716,0.0208064341202814,0.0279427496499963,25
"result.26",-0.00897465613641835,0.0146719230123509,0.0146296629015623,0.0190894907122402,0.0207857979977817,0.0207368885766144,0.0278644108220297,26
"result.27",0.0132168224311524,0.0146480314267947,0.0146058617310203,0.0191517686513658,0.0207519506506557,0.0207031514888385,0.0279816016100672,27
"result.28",-0.00761029256117851,0.014634078044871,0.0145919611378034,0.0192463888137982,0.0207321828139655,0.0206834480237106,0.028067634390834,28
"result.29",0.00125239648070519,0.0147261648433172,0.0146836993299857,0.0191925537257368,0.0208626427127214,0.0208134827813282,0.0279524008374896,29
"result.30",-0.00118010537714497,0.0146254264021977,0.0145833422201562,0.0190102000826488,0.020719925981858,0.0206712310959389,0.0275765855755913,30
"result.31",-7.22911035602181e-05,0.0145985817829271,0.0145565991117635,0.0189700197442657,0.0206818950548282,0.0206333239437058,0.0276588964451176,31
"result.32",-0.0111960337642616,0.0145715620629758,0.0145296815197824,0.0188447748165517,0.0206436160616548,0.0205951694688125,0.0275059728003145,32
"result.33",0.00311450690714299,0.0144901983698915,0.0144486250877733,0.0189229055055701,0.0205283476481455,0.020480275625367,0.0276865850659361,33
"result.34",-0.00692346992985993,0.0145205448136281,0.0144788569796432,0.0188258809410975,0.0205713396301022,0.0205231279711526,0.0274601858382555,34
"result.35",0.00183304667384387,0.0144800382612758,0.014438503318722,0.0188574313693912,0.020513953763647,0.0204659284734063,0.0275607121920021,35
"result.36",0.0104934455882386,0.0144668718104057,0.014425386542392,0.0186536260182853,0.0204953007767088,0.0204473360334347,0.027110039716888,36
"result.37",-2.41877997222417e-05,0.014347419414797,0.0143063843220474,0.0187294742595286,0.0203260718785359,0.0202786557432333,0.0272932317873022,37
"result.38",-4.83024428667989e-05,0.0144740020778542,0.0144324899100283,0.0186818895807006,0.0205054022677373,0.0204574047372788,0.0273610896528066,38
"result.39",-0.00661895469083174,0.0143313620833183,0.0142903874367803,0.0185630019114191,0.0203033233643666,0.0202559808785097,0.0271205883728904,39
"result.40",0.00649807841078331,0.0142214353810388,0.0141808741047882,0.018461444445981,0.0201475895709038,0.0201007506603972,0.0268286808662173,40
"result.41",-2.41175546813466e-05,0.0142867126861788,0.0142459060322793,0.0185145106142137,0.0202400683057888,0.0201929304900474,0.0269968132277576,41
"result.42",0.0081118160487792,0.0141971138732444,0.0141566439524539,0.018405402593175,0.0201131331504669,0.0200664055102422,0.0268075341998875,42
"result.44",-0.00292915948558203,0.014165544660834,0.0141251932628634,0.0184360178373638,0.0200684088650789,0.0200218255735436,0.0269566365594971,44
"result.45",-0.0124413233592344,0.0141368566578919,0.0140966129104143,0.018374045372131,0.0200277664057538,0.0199813142105612,0.0267447202143038,45
"result.47",0.0137201334187989,0.014186577444228,0.0141461470882618,0.0184249257679162,0.020098206130676,0.0200515266777685,0.0269805506699308,47
"result.48",-0.00598550498138906,0.0141243467088046,0.0140841498878999,0.0185241537987766,0.0200100434886892,0.019963648437205,0.0269275007982831,48
