"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"result.1",-0.378364983701588,0.961561261705445,0.286881267328293,10.6881275621517,18.2322142719147,-0.501252054496018,0.95015704006754,0.311753832170682,56.9464151934723,151
"result.2",-0.224999069963817,0.976596068966987,0.277757675333202,11.3340249984385,25.6715898522389,-0.424544599335985,0.957964276612484,0.310686583828588,50.1062796204601,152
"result.3",-0.631802298844599,0.936657883042894,0.440519609476783,6.26299016282093,127.179625580141,-0.574090660722865,0.943198485587516,0.407511313505097,58.3431082328636,153
"result.4",-0.364660003848862,0.963097983459956,0.293809956819063,22.6316109623492,130.524520321569,-0.485057325914217,0.951358282925722,0.341071738245966,76.3876006545605,154
"result.5",-0.493729594690917,0.951023651239861,0.321251812391576,10.0884274432919,32.1522307906732,-0.614945779573911,0.939026267231152,0.369466476604768,69.0014128307834,155
"result.6",-0.573959385245117,0.94243073905894,0.364525632450971,2.9880299739778,30.4848466490386,-0.532105471605134,0.9469018422544,0.354717307523135,56.0091794820552,156
"result.7",-0.664738866911947,0.935621423134951,0.40136634187286,5.70785786334833,113.921133721182,-0.532765869439966,0.948911213671046,0.368848023148386,68.0680492758361,157
"result.8",-0.45674243700134,0.95505582331979,0.331643819845839,9.16554999370349,14.3837326213546,-0.481898613442413,0.952634361672919,0.336273116368503,50.0486716192326,158
"result.9",-0.399436090763006,0.959216516227636,0.338435968501398,16.412748585113,141.17515675663,-0.421679974139736,0.958232765444783,0.354880679912309,67.943222833566,159
"result.10",-0.528546608478129,0.947830958622993,0.353856244232898,13.5319665731898,97.3368471770668,-0.533688240069985,0.946932493379041,0.351094880455504,59.8960758383583,160
"result.11",-0.55471199242823,0.945545789013229,0.348619544145027,16.8832760430855,95.4140959833161,-0.640866975936596,0.937509978198802,0.372698729764772,67.7780799687368,161
"result.12",-0.493857037240019,0.951046165231278,0.367937767288587,5.42259371855092,21.6953579848028,-0.635470314942285,0.937452776249894,0.377129173445435,63.9508883095009,162
"result.13",-0.586341999373146,0.942291432304308,0.357870981926067,4.79014210958784,108.334228892916,-0.593096456196566,0.940739261987871,0.360720576222082,68.496944136625,163
"result.14",-0.359757631946639,0.961204974714095,0.345055027024426,9.2191182393194,68.7510771593101,-0.385801159569061,0.959255838019781,0.32623687465519,60.4507803849294,164
"result.15",-0.750555922695631,0.92594922597929,0.379005071720749,9.56738845216279,80.2330914791779,-0.872071270698559,0.913786559049131,0.396939818902263,55.0556365979563,165
"result.16",-0.860167379262192,0.914801282747437,0.372432811380198,4.24244225889974,48.5558831990406,-0.701960630933475,0.930101007167882,0.345451174092404,61.7713139804277,166
"result.17",-0.546527032556177,0.945441989902377,0.339141203289713,15.5197231677744,135.902617411583,-0.602907583019115,0.940120977770016,0.356554226479572,65.8043612854297,167
"result.18",-0.810861241097948,0.918756105845908,0.406968434901398,5.90646151323348,20.006415551786,-0.621235064339735,0.937958400834384,0.35660593159121,52.6096953839474,168
"result.19",-0.490525843883953,0.94905813006984,0.321370216396746,8.14849991593281,39.3519207084319,-0.310618584137062,0.968658103906164,0.288344823656396,41.1614812984832,169
"result.20",-0.691839318640372,0.931813336578953,0.40175899756413,7.78855764559593,126.317564372142,-0.684417117326645,0.932736329635547,0.412961650248499,76.1963781041161,170
"result.21",-0.451031549714729,0.955103693101763,0.296012277280606,22.0005680688386,118.958720200862,-0.415332191098659,0.958499415280397,0.302006370208238,74.5797320611562,171
"result.22",-0.526010128480752,0.947343073813354,0.295064224683152,23.8357747679486,119.095343983554,-0.393335691469702,0.96035539589082,0.304366640945604,75.6643151040486,172
"result.23",-0.590798802299093,0.942716706464076,0.386981338213239,8.72876873750382,24.9938816976717,-0.610605105507043,0.939571862487597,0.409485038989078,67.1071101975563,173
"result.24",-0.356312508541262,0.965413865657512,0.392116594249565,2.75909564233349,55.7156516784353,-0.446622066314193,0.955867678307298,0.350066942473717,62.0157388934805,174
"result.25",-0.355797439907093,0.964989364892104,0.350336602139382,5.04851394779717,121.435108968431,-0.362356520994401,0.963796329996852,0.324633736710132,65.6050230061909,175
"result.26",-0.751180173358413,0.924949233812614,0.439836950973496,12.7019170671804,56.8521271783317,-0.799955539727836,0.920580877348745,0.439040290366575,70.5173549780241,176
"result.27",-0.353583487411874,0.964754313068881,0.325116027580447,11.6064514685537,47.4085362376654,-0.385950849648778,0.961355700586581,0.333527160106645,47.6630046421755,177
"result.28",-0.603634912924504,0.939797153817588,0.324450606647672,6.41078557953465,119.756388133752,-0.420069397389683,0.957191754665024,0.297068480404035,75.1303542403871,178
"result.29",-0.53367873943346,0.94771725687228,0.301272069986848,12.018460809452,35.9266254063652,-0.532400923380482,0.94726773259913,0.32271804667635,44.2757561601215,179
