"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"result.1",0,0,0,-0.0970361155977958,0.990048213939446,0.0547111578556678,2.84028634841992,-0.276942629949529,0.970572791905567,0.155920148555778,24
"result.2",-0.11409256838241,0.988001024159847,0.0741301624232878,-0.141221207283189,0.985309567251378,0.102644022929527,2.37300949723043,-0.277709399045447,0.97049038772077,0.155781338696162,25
"result.4",-0.0989004438703555,0.989548124403264,0.0756186065950709,-0.0968106789507889,0.990098213134191,0.0606661081407142,12.3139472897957,-0.264843093583775,0.971851070867854,0.152276862700041,27
"result.5",-0.136477017503424,0.985637760486644,0.0872705561958966,-0.0963381458060802,0.990074865347472,0.0759402427225433,3.00341846337973,-0.271453328909323,0.971161087380684,0.153701501152329,28
"result.7",-0.155909667648906,0.983536364113672,0.0795306350422631,-0.102813057498855,0.989235448187622,0.0895639555123883,2.473887958524,-0.263280619299242,0.972013637255296,0.151453308513503,30
"result.8",-0.0962133674774727,0.990098868531696,0.062924346933637,-0.162342387702819,0.983112704977705,0.104726945225723,3.67797613355927,-0.278639374032388,0.970396466886265,0.155899855939716,31
"result.10",-0.0943332892198547,0.990099002730146,0.055675651144343,-0.0971395447221646,0.989959633669724,0.0615909048943945,18.6275769816476,-0.27224374418302,0.971076401197682,0.153385389906515,33
"result.11",-0.117024356852221,0.987710110153606,0.0748383484193668,-0.344591617634611,0.964251589950606,0.171900187801155,2.15956762630098,-0.276622008397143,0.970608378950821,0.155109696548781,34
"result.13",0,0,0,-0.507152271230218,0.947506675591481,0.207241089674225,2.11771463190881,-0.261117398085662,0.972246433290251,0.14997863107468,36
"result.14",-0.093907111128255,0.990099000481604,0.0541764291945287,-0.0944037263035392,0.990099001095391,0.0603844124451767,2.36154831831294,-0.27640450666396,0.970627236571092,0.155229206090987,37
"result.15",-0.100682244586892,0.989529547410406,0.0660335946847585,-0.0970535219734416,0.990097721959061,0.061754643391441,3.26298154581241,-0.268414700153719,0.971480201824626,0.153316833352681,38
"result.16",-0.149884811899674,0.984174664778575,0.0880625374526153,-0.194153680550815,0.979655989144878,0.110822355138942,2.43608239246506,-0.266148676358038,0.971710222439935,0.152426980293396,39
"result.17",-0.0943778286117208,0.990098992545225,0.0632020019834571,-0.109473599489617,0.988573103885055,0.0782074612760003,2.51124241119842,-0.272474022397431,0.971046426054509,0.154131300115014,40
"result.18",-0.0980593177937455,0.990018080020164,0.0748051988073392,-0.360528754704047,0.962423323258115,0.169516052500751,2.11880727168929,-0.2788671050999,0.970368793716751,0.155728253263573,41
"result.20",-0.119297239532004,0.987486329378598,0.0797725716007618,-0.108252220656971,0.988634928131537,0.0669319338519341,8.11849531327275,-0.262906833454513,0.972064760252531,0.151047520862727,43
"result.21",-0.0971696240186877,0.990077004179985,0.0761849239282066,-0.0997819815467767,0.989414673274465,0.0793298005607694,2.4622101536872,-0.262110635802804,0.9721410324881,0.151005459719561,44
"result.22",-0.0928451840249123,0.990099004231164,0.0544050606296407,-0.153388121903528,0.98404938350195,0.0894554817052191,2.93505445482758,-0.275593375642478,0.970706095676332,0.155023586534408,45
"result.23",-0.0953787196599687,0.99009898267483,0.0673318606995728,-0.390175225266502,0.959295691550328,0.190177149783928,2.11632184488464,-0.275391607054183,0.970731982787974,0.154686809993102,46
"result.25",-0.1246984809536,0.986784887796546,0.0799136940368693,-0.0964853654542887,0.990081812216594,0.0660584107796029,3.68546478559431,-0.270607729701771,0.971237747266418,0.153314728572205,48
"result.26",-0.117084481008684,0.987603958612321,0.0759355414964249,-0.0961958901781876,0.990098621145863,0.0622254150042463,7.2138521056881,-0.268321162292713,0.971480994670454,0.152744827634755,49
"result.27",-0.112844222070657,0.988138244441535,0.0697537909281251,-0.195450250334761,0.979593742853912,0.102050075652972,2.24698322423071,-0.277041224898247,0.970552719054897,0.155493111011059,50
"result.28",-0.0956120036782077,0.990098983623561,0.0660172739215444,-0.161044646115087,0.983349044162148,0.0959618025780351,2.34388612194,-0.258109172302785,0.972566823664181,0.149951091067745,51
"result.29",-0.0968422766698969,0.990098811808904,0.0596058894907916,-0.0966744490712547,0.990096112021459,0.0658948284132244,5.81273900438476,-0.284337691572651,0.969789108000997,0.157586376410704,52
"result.30",-0.121068232128635,0.987252009006927,0.0789903998738236,-0.0980037312701333,0.989775745333162,0.066308066765618,2.43896446114646,-0.261826683451058,0.972175565067387,0.150811110213725,53
"result.32",0,0,0,-0.0982293006142869,0.990060048287935,0.0618474119223548,10.239944994737,-0.275003128414629,0.97077274081248,0.155449966024653,55
"result.33",-0.113600379899514,0.988080829670477,0.0707042537575829,-0.0956339597379343,0.990098779759784,0.065825198828311,6.68304225894069,-0.279666189821848,0.970285122601731,0.156435760286099,56
"result.35",-0.0951350575971523,0.99008253986985,0.0729940570746486,-0.0946160896866347,0.990098969360291,0.0806640361547153,2.5123649709701,-0.274867414251274,0.970785560693596,0.154975230718768,58
"result.36",-0.114009050452429,0.988027979797863,0.0684864660030865,-0.666473904065977,0.930726346253135,0.268320271903993,2.10001732513353,-0.280969987820031,0.970144951760056,0.157204025418373,59
"result.38",-0.0964801806602251,0.990098963346608,0.0653259683197695,-0.0981444294122713,0.989691152673799,0.0678680690411867,3.29716930135886,-0.267028190971934,0.971630760570854,0.152698669019544,61
"result.40",-0.0957869590830493,0.990098977549101,0.0644309070884416,-0.111890559544005,0.98815079977705,0.0752294302468398,12.6350978157813,-0.279171502848804,0.97033702540315,0.156062618662081,63
"result.41",-0.104884613849562,0.988869782694982,0.0707181103843559,-0.213589560916034,0.977803035864086,0.148326792580005,2.17984021394415,-0.269863552199437,0.97133557452213,0.153257523722375,64
"result.42",-0.0953631301670971,0.990099002494567,0.0596820276881208,-0.0961012976783188,0.990098705593226,0.0623852824286907,8.74655259913446,-0.270789340966431,0.971222217426094,0.153356467574284,65
"result.44",-0.104579831423916,0.988872836939658,0.0754631052180761,-0.0960555391690019,0.99009845710683,0.0592725717948523,8.74225575968748,-0.283583173121589,0.969865801448184,0.157046324478252,67
"result.47",-0.149153479294683,0.984126675366279,0.0906157463786808,-0.125487077718147,0.987001982840891,0.0814125799206617,3.5702916610206,-0.268215642505313,0.971503730529345,0.15285292965922,70
