"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"result.1",-0.110363220221343,0.988376118263457,0.0805601542664964,-0.10526520609001,0.989014195624303,0.0682696901697843,10.4634247072938,-0.27120849415446,0.971173136715619,0.153275790692331,1
"result.2",-0.0952031392430329,0.990098996713966,0.0598956530995007,-0.0944917033121896,0.990098919287288,0.0662731329234527,6.22163408895278,-0.27427663502403,0.970858746546744,0.154491924621979,2
"result.3",-0.117967988362761,0.987548849372851,0.0750152480435424,-0.116359616279998,0.987773266242886,0.0908427397295214,2.27603200993741,-0.264620921031536,0.971873956621762,0.151396246813666,3
"result.4",-0.0958639861776413,0.990097919985498,0.0734123817671997,-0.136525882605167,0.985859582636022,0.0903727302626168,2.46585144292006,-0.279426774511346,0.970301853974245,0.156568674071382,4
"result.6",-0.0940947841458825,0.990098974050273,0.068595104271975,-0.575853177492707,0.940151141600155,0.197299073481963,2.21286329970656,-0.262982714079079,0.972052855551014,0.151234432363211,6
"result.10",-0.123531372232955,0.987035621068824,0.0798768986286102,-0.146028930160525,0.984710546845048,0.122779355206516,2.18282031209718,-0.273886058585321,0.970893451327622,0.153983111575368,10
"result.11",-0.144282933190863,0.984810632083901,0.0868873639237391,-0.112442410413797,0.988097057674506,0.0847809730574037,7.26508950139674,-0.272824434172045,0.971005679358883,0.154290929319342,11
"result.12",-0.0913187845269834,0.984718570225358,0.0508762970248362,-0.0967836150730439,0.990098450630763,0.0627517169275566,5.47354489394287,-0.271073277878151,0.971195120512613,0.153816120672395,12
"result.13",-0.0974951736056001,0.990080805021087,0.0676355932999599,-0.144246106048463,0.98473661695408,0.0963914767119977,3.60122915875192,-0.268644928918361,0.971453399036317,0.15315997247179,13
"result.14",-0.0946929384200819,0.989889133319799,0.0763240211196417,-0.113532628783681,0.988195333684591,0.0816871143404154,2.3172321969827,-0.255786502022076,0.972820384637676,0.149108799019058,14
"result.18",-0.11603506238818,0.987790571068894,0.0716015105132855,-0.188629976445427,0.980222910501009,0.131584925085196,2.15651417707591,-0.278544919518428,0.970396412253928,0.155773234646705,18
"result.20",-0.0952710426296694,0.9900986367625,0.0712708827428683,-0.184788440062981,0.980872681344843,0.0997635754530634,2.14294234182321,-0.271324635927573,0.971168478990559,0.154145251025721,20
"result.21",-0.0942886950181316,0.990098996535736,0.0585512239249305,-0.160704549696846,0.983266292186748,0.0966578597641984,4.62629847087566,-0.276610866063749,0.97062249780737,0.155217816810222,21
"result.23",-8.02676411860073,0.173406120986463,0.665267899849856,-0.0950426138171069,0.990093077606208,0.0718699812340327,3.47663382805206,-0.264384757217652,0.97190016257043,0.151561282229752,23
"result.24",0,0,0,-0.0970361155977958,0.990048213939446,0.0547111578556678,2.84028634841992,-0.276942629949529,0.970572791905567,0.155920148555778,24
