"","V1","V2","V3"
"result.1",0.0146896794367076,0.0144955327709582,1
"result.2",0.014107226122013,0.0144163922015466,2
"result.3",0.014444620503431,0.0140426750154674,3
"result.4",0.0138728351362536,0.0141540330679462,4
"result.5",0.014243336185168,0.0137805321463489,5
"result.6",0.0136706305637857,0.0139254983276729,6
"result.7",0.0136615267092633,0.0135716569552002,7
"result.8",0.0131413861129321,0.0134518270654169,8
"result.9",0.0126997473523889,0.0130268544448953,9
"result.10",0.0125752029115423,0.0126147082925385,10
"result.11",0.0128062539475833,0.0124851577312697,11
"result.12",0.0122754037168025,0.0125540544647649,12
"result.13",0.0121588843427507,0.0122100934952485,13
"result.14",0.0122151090158847,0.0120339303856341,14
"result.15",0.0120312985153988,0.0120658139800796,15
"result.16",0.0116887703627985,0.0119109540601343,16
"result.17",0.0114044643232016,0.0116173732840466,17
"result.18",0.0125481785429158,0.0113936749286765,18
"result.19",0.0119611416604868,0.0121818050871454,19
"result.20",0.01406793836364,0.0119477823369394,20
"result.21",0.0131698770922772,0.0134243990798169,21
"result.22",0.0127828331275898,0.0130744650643848,22
"result.23",0.0128677285262488,0.0127344907041547,23
"result.24",0.0124757606234455,0.0126999532163339,24
"result.25",0.0121716638288698,0.0123944811662184,25
"result.26",0.0120294462312092,0.0121010233157861,26
"result.27",0.0118304803944285,0.0119277968530511,27
"result.28",0.0114823675405062,0.0117355865929696,28
"result.29",0.0112379241603909,0.011430566285064,29
"result.30",0.0109956123849711,0.0111879843593741,30
"result.31",0.010755653606265,0.010941348882632,31
"result.32",0.0106979498346215,0.0107144506842118,32
"result.33",0.0107871208201212,0.0106280551325639,33
"result.34",0.0104956915823286,0.0106593787176976,34
"result.35",0.0102743632516085,0.0104485337614832,35
"result.36",0.0100370868424422,0.0101901165909837,36
"result.37",0.00984131708088463,0.00997648078583069,37
"result.38",0.0113722593883534,0.00991639211579098,38
"result.39",0.0109079928432291,0.0110247001665655,39
"result.40",0.0106692434893923,0.0108332192252263,40
"result.41",0.0104849529810747,0.0106110693390988,41
"result.42",0.0106561933143634,0.0104263040549526,42
"result.43",0.0104208456266034,0.0105581131024266,43
"result.44",0.0111128237985245,0.0103730204629429,44
"result.45",0.0106867466090219,0.0108926055102003,45
"result.46",0.0104706346891952,0.0106576390627069,46
"result.47",0.0104994021333818,0.0104305530821662,47
"result.48",0.0134614016926032,0.0105324370947031,48
"result.49",0.0126041536877275,0.0128919213844298,49
"result.50",0.0143477114330841,0.0125853576470476,50
"result.51",0.01486111917882,0.0139557428404018,51
"result.52",0.0140547929382905,0.0144317625077477,52
"result.53",0.0135153357082703,0.0138564124131833,53
"result.54",0.0132176449805679,0.0134200773253568,54
"result.55",0.0153221966964875,0.0131019383221158,55
"result.56",0.0144111092909654,0.0147876305936805,56
"result.57",0.0139278682890472,0.0141866118851155,57
"result.58",0.013656615616268,0.0137427618309758,58
"result.59",0.0153488277966579,0.0134993839073658,59
"result.60",0.0147001826084817,0.0148438745224055,60
"result.61",0.0142446697574972,0.0144454272342287,61
"result.62",0.0147104086125785,0.0140485569160873,62
"result.63",0.0144630652932294,0.0143670208357563,63
"result.64",0.0191523134095609,0.0142883159368594,64
"result.65",0.0178546699849865,0.0182272141949014,65
"result.66",0.0190219534256683,0.0174742072454919,66
"result.67",0.0180409704773399,0.0184904174064613,67
"result.68",0.0171346890795942,0.0175188229816641,68
"result.69",0.0167120769541432,0.0167105124471973,69
"result.70",0.015818352074222,0.0162554308009604,70
"result.71",0.0154949731670316,0.0154643619335317,71
"result.72",0.0147293120514712,0.0151188318262925,72
"result.73",0.01495028676701,0.0142761336444366,73
"result.74",0.0142871521855942,0.0146010600639883,74
"result.75",0.0136305727384303,0.0139845533505323,75
"result.76",0.0129885402651115,0.0133292522795827,76
"result.77",0.0126687071765513,0.0127256585600506,77
"result.78",0.0126155243603839,0.0129086970231711,78
"result.79",0.0123411493606026,0.0124580050156382,79
"result.80",0.0121312784624857,0.0121163300432485,80
"result.81",0.0125567167118601,0.0120492986477174,81
"result.82",0.012078563297894,0.0123525539645115,82
"result.83",0.0116965782157441,0.0119490207782249,83
"result.84",0.0113719687248133,0.0116162091814047,84
"result.85",0.0113357841956226,0.0113153707231888,85
"result.86",0.0111010462350678,0.0112493059415399,86
"result.87",0.0109493313140483,0.0110666727060291,87
"result.88",0.0107218250047937,0.0109302425443119,88
"result.89",0.0108357386015248,0.010684432809235,89
"result.90",0.0105783922999624,0.0107651734272807,90
"result.91",0.0107441521898581,0.0105870171557214,91
"result.92",0.0110615776939698,0.0107128754415626,92
"result.93",0.0109312798293175,0.0109566206436327,93
"result.94",0.0108865002772025,0.0108945166575225,94
"result.95",0.0106240161867734,0.0108162830389418,95
"result.96",0.011310431235593,0.0106201642855908,96
"result.97",0.0156224690753378,0.0113258210586125,97
"result.98",0.0144734022841274,0.014816353526335,98
"result.99",0.0139622316117019,0.0142411519998618,99
