"","V1","V2","V3","V4","V5"
"result.1",-0.00370019751877552,0.00924867878183733,0.00921341587503122,0.0103068192953473,1
"result.2",-0.00408926025701198,0.00908488291994303,0.00905020038390347,0.0102284338448261,2
"result.3",-0.00828645424433392,0.00903436459741869,0.008999861222172,0.0101653124014177,3
"result.4",-0.0005547894439851,0.00904736228222447,0.00901281280398081,0.0107381168590527,4
"result.5",0.00325775746195051,0.00943197911792737,0.00939606766592505,0.0104663967865916,5
"result.6",-0.00261663810576252,0.00922414325484766,0.00918896723312201,0.0103528347078636,6
"result.7",0.00626111349937958,0.00912732516889747,0.00909249217256303,0.0102096715324313,7
"result.8",-0.00340928746679504,0.00902491286307594,0.00899044301646512,0.0104376278028387,8
"result.9",0.00258636696017741,0.00918296429149024,0.00914793413243586,0.0102550686415003,9
"result.10",-0.00763802838374781,0.00908122340218398,0.00904655384187691,0.0101003203765716,10
"result.11",-0.00212609609694026,0.00900657039817787,0.00897216562645298,0.0105937477659171,11
"result.12",0.000645287880246507,0.00930892376390346,0.00927344759289639,0.0103852800851882,12
"result.13",0.00400472946100781,0.0091346013689062,0.00909974258340895,0.0101478440785726,13
"result.14",-0.00683422669448053,0.00896104810043852,0.00892680487537945,0.0101108220865874,14
"result.15",0.000536055143946045,0.00896322560986818,0.00892897465596576,0.0104349868966486,15
"result.16",-0.00125018838085147,0.00917862580445927,0.00914361101595063,0.0101928506494013,16
"result.17",0.00153411973915375,0.00898103867455546,0.00894672450046841,0.00999122183369195,17
"result.18",0.000922526948842187,0.0088028761577803,0.00876919473440552,0.00978353294828228,18
"result.19",-0.00492488440290253,0.00864843286009176,0.00861530074066508,0.0095991531336774,19
"result.20",-0.0139303238965019,0.00849902993763152,0.00846642990891411,0.00965337042152424,20
"result.21",0.00550579777793264,0.00874519189719791,0.00871171555080963,0.0115967137763469,21
"result.22",-0.00580974765217825,0.0102388873779589,0.0102001322363989,0.0115203632797888,22
"result.23",-0.000453373876247015,0.0101738706431505,0.0101353439725997,0.0114743042780986,23
"result.24",0.000317130886028439,0.0101113174678673,0.0100730107179672,0.0111073232867272,24
"result.25",0.00661552879075583,0.00980213614266034,0.00976491795228895,0.0107979434803545,25
"result.26",-0.000252817714685086,0.00957462023703926,0.00953820476986067,0.0109890799950864,26
"result.27",-0.00458178791311842,0.00966755203176461,0.00963080850628018,0.0106753252559895,27
"result.28",-0.000561499175482356,0.00942625840196598,0.00939036717600317,0.0106283374971609,28
"result.29",0.00100200836297977,0.00935592156805143,0.00932027910084088,0.0103675199546959,29
"result.30",-0.00194773427948983,0.00912274233927945,0.00908792558676197,0.0101365746091255,30
"result.31",0.00454944595830463,0.00893188283156832,0.00889774313942127,0.00995615741337278,31
"result.32",-0.0025018622089853,0.00879706435546979,0.00876340358933447,0.00999137818182972,32
"result.33",0.000545100577149773,0.00880105004768694,0.00876737511485004,0.00984714505118787,33
"result.34",-0.00451109133826838,0.00865979904762781,0.00862662647700319,0.00963650755320495,34
"result.35",-0.00303993997648384,0.00850776822085919,0.00847513705165426,0.00968568605481489,35
"result.36",-0.00258649397628617,0.00851418682324123,0.00848153278172248,0.00959006443556126,36
"result.37",0.00859022297678783,0.00841859492575026,0.0083862816571596,0.00946945855495091,37
"result.38",0.00426009542440517,0.00845063346805119,0.00841820595341147,0.0101347798883411,38
"result.39",0.00526189203639502,0.00888735451110989,0.00885337293870947,0.0100785025357431,39
"result.40",-0.00186883092053693,0.00884287548381479,0.00880905191669257,0.0101483054750705,40
"result.41",0.00469680023645837,0.00885064092678789,0.00881678976967493,0.00994500406459827,41
"result.42",-0.0033289242899502,0.0086959545353622,0.00866265331769256,0.00997616565376255,42
"result.43",-0.000850062242330915,0.00867868187490473,0.00864544211102469,0.00986653872128693,43
"result.44",0.00424210858970944,0.00858249627547281,0.00854959889849027,0.00963951332646959,44
"result.45",0.00769343488194137,0.00842657946133585,0.00839423771764558,0.00965903443362979,45
"result.46",0.00408680244892134,0.0084401682468993,0.00840777804648241,0.010104261999005,46
"result.47",0.00349519796693255,0.00875485310334767,0.0087213424025876,0.010048046792455,47
"result.48",-2.18922001710427e-05,0.00871679479518406,0.00868341944312334,0.00995335900796162,48
"result.49",-0.00780622414670798,0.0086074702381822,0.00857448393463045,0.00972802458063063,49
"result.50",0.000962500059536878,0.00848866116407265,0.00845609808956027,0.0101618993583213,50
"result.51",-0.00755945764399004,0.00882731895728028,0.00879355066680176,0.00994006291237608,51
"result.52",0.0117735684202102,0.00865454000474841,0.00862138615006103,0.0103012603310097,52
"result.53",0.000368515626776595,0.00899301395333651,0.00895865728332268,0.0113894904705486,53
"result.54",0.00548888843880837,0.00978431358871745,0.00974715822770378,0.0110315739977984,54
"result.55",-0.00914151967317113,0.00952533301600766,0.00948909163694367,0.0109750136721086,55
"result.56",0.00442831221834336,0.00950816270901811,0.00947198199370547,0.0114722678571693,56
"result.57",0.00471640076696838,0.00984388064043884,0.00980651532378118,0.0113010639558167,57
"result.58",0.000774492466933645,0.00969718908515205,0.00966034098919266,0.0111889584380888,58
"result.59",0.00463161816882425,0.00957428166018559,0.00953786738866569,0.0108169637765773,59
"result.60",-0.0032254584032185,0.00931945468865791,0.00928394124959908,0.0107449743427442,60
