"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"result.1",-0.611087573491074,0.939584638437036,0.301615086959288,4.54340819778928,4.53512767779217,-0.883599215616019,0.916981004785822,0.371148676972422,5.84648665943073,151
"result.2",-0.48072666663036,0.951944422888951,0.331618683179052,11.1907585644532,4.57536229078538,-0.591403219024947,0.944821716904416,0.354181565558384,5.46035552039742,152
"result.3",-0.397606937117388,0.959309795039847,0.332231919119009,2.71490375628888,3.88792888669647,-0.710040842828634,0.932455739726066,0.383882038768782,4.44547892963923,153
"result.4",-0.503236186381315,0.949025426491407,0.376663234092102,3.0568903911962,4.66789865229113,-0.60676478911727,0.942392262955582,0.342575249835328,4.6495352183743,154
"result.5",-0.391882520517387,0.959792374612731,0.307439795792864,5.04809781613248,5.84720067253811,-0.426549343300321,0.958323124235781,0.296924529395526,5.7808043336494,155
"result.6",-0.459885806485697,0.954218397886041,0.405999521525378,2.48347037179451,4.93053943637034,-0.488991838383427,0.953447906299194,0.343622567317191,5.7441369901056,156
"result.7",-0.527726237693674,0.947363241185742,0.399988006062734,3.18604901552733,4.60624124511155,-0.700328395557072,0.93334424899477,0.422035110672863,6.20212220375755,157
"result.8",-0.665965959559102,0.931875828963183,0.386695461841685,9.91996221823951,5.1285485863962,-0.66857664405025,0.935612816543711,0.376654819084954,5.2037211510035,158
"result.9",-0.87568950259997,0.913773004510094,0.441308675223131,3.5232628265564,4.1747804071106,-0.725635608921211,0.931545486852069,0.428213384858285,5.94894225944158,159
"result.10",-0.512853167668601,0.948652244073798,0.39658975078777,4.06016149240063,5.50017480946636,-0.508101691745229,0.950984324934753,0.397432100987061,6.09559602381467,160
"result.11",-0.556052786403652,0.942557766479878,0.351754246303143,12.9633939380081,5.87916697702776,-0.814118075226329,0.92055890834573,0.434183789095996,7.45238427548816,161
"result.12",-0.699443906155976,0.929701279646465,0.383362185694458,16.4785981397021,5.65552267183807,-0.9574653330707,0.908586011905163,0.424909946484071,5.70671145470092,162
"result.14",-0.625923969456686,0.937724208739056,0.398726214228077,5.6884286468428,6.9032468056869,-0.563909534431783,0.945902323398547,0.395231797229743,7.34587523593189,164
"result.15",-0.588896130554547,0.941363244708959,0.37666653723455,3.29959717206122,4.58611903249136,-0.730433770412436,0.931093952569832,0.371685892352247,4.38848749907476,165
"result.16",-0.31651216364142,0.967419496370978,0.288385225325156,3.02110293403717,4.50842521558518,-0.456106091724568,0.956236864772865,0.312691012184089,5.07740674043078,166
"result.17",-0.578744808150207,0.941881856403509,0.357827813253979,12.1138001869308,6.12208901306265,-0.765723667899221,0.925682511251017,0.425145529679043,6.91467137072659,167
"result.18",-0.273519289166086,0.972104754262989,0.268122508532015,9.55646205215037,4.05948552328439,-0.455372000132909,0.957134581063369,0.329354391594271,5.20141447966236,168
"result.19",-0.467635732084608,0.953755200464124,0.320605292388082,8.44252851041744,5.8000174912432,-0.61718246971835,0.940470964623999,0.378266411687619,8.3029420194696,169
"result.20",-0.195464748541193,0.981064135670702,0.263812703998677,15.7590426503724,4.05293340137232,-0.467016377795413,0.95515124929201,0.368552627810018,4.67854950543017,170
"result.21",-0.442816599710717,0.95508169583075,0.287384929269265,3.44250982860303,4.50663592049571,-0.705937919280356,0.932700759279534,0.316418210122157,4.3616545517032,171
"result.22",-0.511507793819475,0.950541951020648,0.343229309238663,9.13468897027469,5.70123900003673,-0.6682385094045,0.937272010273378,0.39850249423356,6.56914919973471,172
"result.23",-0.490182176140616,0.950042419739312,0.337092352866425,2.55696363403282,5.23699525403075,-0.733740182102016,0.928781472013466,0.374044113934023,13.6542017383192,173
"result.24",-0.302746979360916,0.969610223058245,0.275516766048132,3.38000676227704,4.12326433432268,-0.419644025941609,0.960135826157216,0.306188816254946,5.60702913606824,174
"result.25",-0.413934874926117,0.956260130503298,0.344012275500734,3.10747664193263,5.47017586241782,-0.467548725771162,0.953631758165462,0.347256519877218,5.15789555014602,175
"result.26",-0.586825079905296,0.941597333641258,0.374768730824279,12.262026049033,7.04899088199456,-0.659446869655635,0.936182249055516,0.381519637175392,9.46674261536146,176
