"","1993-11-04","","","1993-11-04","","","","","","",""
"result.1",-0.0120152212457043,0.00802524797195048,0,0.00100202346088274,0.0103327622859017,0,0.0011173991765803,0.00811792825420889,0,0.00100665747499566,1
"result.2",0.00453628022955499,0.00853402830816918,0,0.00019988740393071,0.0110072848960873,0,0.000323550233326616,0.00863315315385671,0,0.000204843646215086,2
"result.3",0.00139160256729198,0.00888798277042468,0,0.000374819010156635,0.0109824032670922,0,0.000479540034990009,0.0086137622334904,0,0.000361107983309921,3
"result.4",0.000260707853102282,0.00885069397150318,0,0.000429499305920045,0.0108512348024761,0,0.000529526347468694,0.00852109908877598,0,0.000413019561783685,4
"result.5",0.00733732861393577,0.00874953712523308,0,7.06104255648655e-05,0.0107116167218601,0,0.000168714405396217,0.00841265218202872,0,5.37661784046475e-05,5
"result.6",-0.00233167768609377,0.00869664409693627,0,0.000551416089151502,0.0108453751535657,0,0.000658852641982974,0.00851956991811084,0,0.000542562380210231,6
"result.7",0.00592654970280027,0.00875811164001306,0,0.00014157809686064,0.0107442950808345,0,0.000240887268901714,0.00843745189931283,0,0.000125545109825628,7
"result.8",-0.00353018205373612,0.00870968783045356,0,0.000611993494209485,0.0107979451959757,0,0.000716406362485591,0.00847654439142048,0,0.000600336322257831,8
"result.9",0.00642672209988771,0.00874123513850833,0,0.000115725651931031,0.0107506724692504,0,0.000216197518468132,0.00844107843054569,0,0.000100717816532899,9
"result.10",-0.00414362038815241,0.00871143703236754,0,0.000642752871025998,0.0108202161870668,0,0.000748191828760963,0.00849676738556777,0,0.00063201938868601,10
"result.11",-0.00256347524452671,0.0087471664365566,0,0.000565532084054166,0.0107680057609071,0,0.000666574050271692,0.00846119361503727,0,0.0005512334429782,11
"result.12",-0.00220247762134562,0.00869764703735854,0,0.000545006232935208,0.0106535837155041,0,0.000642803066842485,0.00837999012953343,0,0.000529123387543953,12
"result.13",-0.00752935751638883,0.00861873776518252,0,0.000807404764078568,0.0105363099684346,0,0.000903283374241173,0.00829530227708254,0,0.00079123298967357,13
"result.14",0.00412970938103641,0.0086032216182943,0,0.000223675611862895,0.0107372370866513,0,0.000330376385280746,0.00843413063560497,0,0.000215221062728428,14
"result.15",0.0028806613516581,0.00868254035837168,0,0.000290093950335679,0.0106973355315963,0,0.00039083370899691,0.00839552412614695,0,0.000275743138724443,15
"result.16",0.00151285502014442,0.00864254634701211,0,0.000356484566343385,0.0106156139531085,0,0.000455137946648206,0.00832942494825354,0,0.000340828496405456,16
"result.17",-0.00250822655722249,0.00856365590593811,0,0.00055359412315803,0.0104623450662683,0,0.000648528581174541,0.00823218741527297,0,0.000537020698624774,17
"result.18",-0.000238142667264185,0.00847777982404097,0,0.000435796124565258,0.0103704710885389,0,0.000530430687790157,0.00815691072529476,0,0.000419752669627948,18
"result.19",0.00021653819026568,0.00839294946161573,0,0.000408820563567503,0.0102393471956778,0,0.000501140450270607,0.00805174623803402,0,0.000391760402388418,19
"result.20",0.00263777450240976,0.00830820626709539,0,0.000283521588234281,0.0101199391971995,0,0.000374108234739488,0.00796645969943953,0,0.000266434259851489,20
"result.21",0.00383627625659511,0.00822454607442324,0,0.000219413490891407,0.010035628451933,0,0.000309967609766895,0.00790271863443198,0,0.000203322118891844,21
"result.22",0.00330708970131166,0.0081387843444034,0,0.000241584732154587,0.00996003839309129,0,0.000332647434588982,0.00783905668669048,0,0.000226598349268941,22
"result.23",0.0007072879321397,0.00810102671218971,0,0.000369686939002501,0.00989743831433352,0,0.000459507519109691,0.0077892465152195,0,0.00035409792915399,23
"result.24",-0.00100745089798338,0.00803577884659745,0,0.000452161487229042,0.00976558919959033,0,0.000538652004878685,0.00769051867496551,0,0.000434898478647444,24
"result.25",-0.00453538450961766,0.00793387763516051,0,0.000623463107238909,0.00962721950205112,0,0.000708130200583439,0.0075892717972729,0,0.000606232815344528,25
