"","1993-11-04","","","1993-11-04","","","","","","",""
"result.1",-0.0120152212457043,0.011456259033686,0,0.000234714802793903,0.0148809751169579,0,0.000268961963626622,0.0114813408478152,0,0.000234965620935195,1
"result.2",0.00453628022955499,0.012182556755981,0,7.64627652642603e-05,0.0158963124225379,0,0.000113600321929829,0.0122100332556436,0,7.67375302608866e-05,2
"result.3",0.00139160256729198,0.012687836346096,0,0.000112962337788041,0.0158536322618543,0,0.000144620296945623,0.0121826083069244,0,0.000107910057396324,3
"result.4",0.000260707853102282,0.0126346055747675,0,0.000123738977216652,0.0156522254750153,0,0.000153915176219131,0.0120515530530244,0,0.000117908451999222,4
"result.5",0.00733732861393577,0.0124902014344954,0,5.15287282055966e-05,0.0154349406802829,0,8.09761206634719e-05,0.0118981745232732,0,4.56084590933745e-05,5
"result.6",-0.00233167768609377,0.0124146952027289,0,0.000147463728888226,0.0156356417452891,0,0.000179673194313829,0.0120493903177709,0,0.000143810680038647,6
"result.7",0.00592654970280027,0.0125024417867863,0,6.57589208398602e-05,0.0154784445908936,0,9.55189488809336e-05,0.0119332492366917,0,6.00669953389147e-05,7
"result.8",-0.00353018205373612,0.0124333154859286,0,0.000159634975396648,0.0155588470162083,0,0.000190890290699444,0.0119885384942983,0,0.000155187205480344,8
"result.9",0.00642672209988771,0.0124783501233807,0,6.05162802349302e-05,0.0154967753997325,0,9.07005329984484e-05,0.011938378309021,0,5.5116562091333e-05,9
"result.10",-0.00414362038815241,0.0124358125190795,0,0.00016579432907232,0.0155951078462163,0,0.000197387282343687,0.0120171402608448,0,0.000161607606489972,10
"result.11",-0.00256347524452671,0.0124868172121424,0,0.000150502924566691,0.0155272577637315,0,0.000180907330082582,0.0119668275983141,0,0.000145303028428408,11
"result.12",-0.00220247762134562,0.0124161269273699,0,0.000146186045487156,0.0153750841112339,0,0.000175775617325795,0.0118519799591252,0,0.000140544575804709,12
"result.13",-0.00752935751638883,0.0123034818022418,0,0.000198328393186307,0.0152142946937129,0,0.000227436522101018,0.0117322043132696,0,0.000192615618296584,13
"result.14",0.00412970938103641,0.0122813320819191,0,8.15162270088266e-05,0.0154667670818324,0,0.00011337057700796,0.0119285519100486,0,7.7988425290122e-05,14
"result.15",0.0028806613516581,0.0123945617336076,0,9.51390038194956e-05,0.0154176567084599,0,0.000125369953568019,0.0118739499869776,0,8.99328863531954e-05,15
"result.16",0.00151285502014442,0.0123374691982079,0,0.000108246141780635,0.0152932501192563,0,0.000137803950991119,0.0117804646582842,0,0.000102676096381398,16
"result.17",-0.00250822655722249,0.0122248509549578,0,0.000147330775121804,0.0150778267709253,0,0.000175860533281478,0.0116429397597644,0,0.000141511663169869,17
"result.18",-0.000238142667264185,0.0121022605200594,0,0.000123404031873236,0.0149407854269977,0,0.000151789280942619,0.0115364745005911,0,0.000117746171678553,18
"result.19",0.00021653819026568,0.0119811628780653,0,0.000117646246877996,0.0147417184588568,0,0.000145251802685912,0.0113877383593594,0,0.000111712001690938,19
"result.20",0.00263777450240976,0.0118601896706068,0,9.222415168197e-05,0.0145422674453036,0,0.000119044929428939,0.0112671159802659,0,8.62934147785611e-05,20
"result.21",0.00383627625659511,0.0117407624776504,0,7.90448622105534e-05,0.0144221567488227,0,0.000105858804922276,0.0111769657756277,0,7.34068951903264e-05,21
"result.22",0.00330708970131166,0.0116183352831669,0,8.31124558185526e-05,0.0143104602773296,0,0.00011003370576018,0.0110869274680488,0,7.77983776673719e-05,22
"result.23",0.0007072879321397,0.0115644352396274,0,0.000108571473074877,0.0142239162004336,0,0.000135166282682939,0.0110164799919887,0,0.00010309192059849,23
"result.24",-0.00100745089798338,0.0114712921427227,0,0.000124787430407061,0.0140525105232042,0,0.000150599614211876,0.010876847323452,0,0.000118842982214354,24
"result.25",-0.00453538450961766,0.0113258254009949,0,0.000158612099106126,0.0138502054273982,0,0.000183855899370159,0.010733651932194,0,0.000152690364418116,25
"result.26",-0.000538729266612137,0.011242150573942,0,0.000117808798405541,0.0138524895223209,0,0.000143912187889331,0.0107373531286928,0,0.00011276082395305,26
"result.27",0.00380801206801262,0.0112116478854105,0,7.4036358173979e-05,0.0136965172543703,0,9.88850518635764e-05,0.0106154469779338,0,6.80743490992116e-05,27
"result.28",-0.00568504475203468,0.0110915997302712,0,0.000167766444823059,0.0136281935749733,0,0.00019313238327008,0.010560018651231,0,0.000162450634032656,28
"result.29",-0.0026381289122881,0.0110969739283391,0,0.000137351028406272,0.0137374022041881,0,0.000163755311164762,0.0106465959018227,0,0.000132847248141108,29
"result.30",0.00324261511768409,0.0111293143410691,0,7.88669922338504e-05,0.0136353386788539,0,0.000103927235611698,0.010563284944166,0,7.32066982648196e-05,30
"result.31",0.00653964598170109,0.0110478187088106,0,4.50817272710946e-05,0.0135616746379108,0,7.02202865620969e-05,0.0104981980199188,0,3.9585520382177e-05,31
"result.32",-0.00113705641493844,0.0110229096473589,0,0.000121599660622973,0.0137294583249134,0,0.000148665147398519,0.0106200175055022,0,0.000117570739204407,32
"result.33",-0.00118137371532701,0.011091733237258,0,0.00012273106952585,0.013571199530956,0,0.00014752573246283,0.0104990138625795,0,0.000116803875779065,33
