"","V1","V2","V3","V4","V5","V6","V7"
"result.1",-1.53162726052189,0.335952082981028,1.36895028475245,-1.58078046999512,0.326305060836978,1.37707311254514,1
"result.2",-1.73811154499152,0.242870347098746,1.30726246401793,-1.63767558645697,0.302398841932636,1.35947103960547,2
"result.3",-1.21719635628888,0.475749338480173,1.40533360639991,-1.23889199971433,0.479982901323997,1.38348121482578,3
"result.4",-1.65092090068856,0.33876706158328,1.41912044470563,-1.4832051004737,0.391949279902888,1.34492421096548,4
"result.5",-1.52895804001361,0.338637298190214,1.35835701704923,-1.53662652703372,0.340382895092185,1.39486755435451,5
"result.6",-1.32133920445728,0.449644184882662,1.27136859781118,-1.25733199896657,0.464181380212809,1.2906072129435,6
"result.7",-1.44984030654284,0.406625247259195,1.32209521189834,-1.36815186570426,0.41851228583226,1.34395142417005,7
"result.8",-1.57363383496607,0.344688729346636,1.38453622130982,-1.48855878431777,0.376484917266183,1.42465683109262,8
"result.9",-1.56145198404616,0.349704818069286,1.39864547049312,-1.65162289261936,0.309737199610152,1.38535927424649,9
"result.10",-1.05530103888859,0.534638580638241,1.15532785093613,-1.18696271186887,0.477112040356067,1.24976367657127,10
"result.11",-1.41500604935628,0.411463483230401,1.36074812377233,-1.4140505588353,0.413947851017069,1.36976415812007,11
"result.12",-1.52610953736035,0.334107366751407,1.3261153857348,-1.41929567913052,0.387742155985527,1.32629023132761,12
"result.13",-1.49391300798885,0.376029198241655,1.42340610400742,-1.54095356207105,0.347685458074461,1.50027862609134,13
"result.14",-1.45799289993963,0.33119353155662,1.21761196466054,-1.31679710136512,0.399948579183425,1.21337843856561,14
"result.15",-1.28868025294743,0.42555023153425,1.30439975521765,-1.36196226876787,0.400940263791142,1.32818530035922,15
"result.16",-1.43933309406103,0.406732707138712,1.31762267129338,-1.40473704523475,0.420019058603622,1.29790483560257,16
"result.17",-1.48756554402785,0.377807234538619,1.38296245502186,-1.47079630718539,0.379677489101361,1.40209168911899,17
"result.18",-1.56196310927743,0.342022302731912,1.31400206179503,-1.56609876615823,0.343523064350232,1.31746717860256,18
"result.19",-1.49945212965347,0.371328449810608,1.54547227199061,-1.40087835915516,0.402514076142485,1.47864701545407,19
"result.20",-1.46604704610729,0.391411000650089,1.39565033274827,-1.44391049231768,0.390495388199747,1.39793925634323,20
"result.21",-1.34801932746224,0.437234502583479,1.21445186506477,-1.39099369385769,0.419656414253261,1.24914299563668,21
"result.22",-1.52602561935408,0.357785921536331,1.28281628290676,-1.45926200852593,0.373057893555154,1.27119560837299,22
"result.23",-1.50526008703425,0.356890715190309,1.24258859895685,-1.39535119978269,0.415300209939558,1.27017276908817,23
"result.24",-1.31937898930227,0.429548395330833,1.27557936037065,-1.38911138431065,0.403309069676197,1.31353822276848,24
"result.25",-1.37482613221359,0.429676761800336,1.33762007245996,-1.47457150149413,0.376611844560989,1.35150140840685,25
"result.26",-1.36815863903084,0.410334315040799,1.29829349146307,-1.22562582804967,0.465921234716872,1.28761408185776,26
"result.27",-1.31618875948289,0.441339883341904,1.21065939156811,-1.40585289420521,0.399284499265683,1.32866032659268,27
"result.28",-1.69681023576426,0.296348277508928,1.25174574217063,-1.5860297634018,0.340094193759209,1.25466156595601,28
"result.29",-1.32449018980513,0.424627770298419,1.41151394413115,-1.3191937637151,0.426539150499889,1.34643743221535,29
"result.30",-1.2845038013569,0.480485321899517,1.3746400195162,-1.30004477933686,0.467978167720618,1.32962595796995,30
"result.31",-1.55737792980222,0.354621277028482,1.32279101243426,-1.4477456621441,0.389339744465262,1.35866469236138,31
"result.32",-1.27726189309464,0.437698449308725,1.33626402946732,-1.43785802868339,0.38260837617805,1.36108154702312,32
"result.33",-1.51533973315843,0.343147191183298,1.41077862321868,-1.52068757652421,0.343871301796401,1.38987196594114,33
"result.34",-1.26697126103223,0.419978375245061,1.23580353281431,-1.31102941153864,0.412019452052235,1.26295520621111,34
"result.35",-1.60859699657169,0.341407762963629,1.43175338939619,-1.50775941688853,0.374992199668725,1.459299398618,35
"result.36",-1.46280490963694,0.379324699802288,1.27718300269093,-1.54619400010517,0.345515935659993,1.30471239804786,36
"result.37",-1.20746243978973,0.475817232425402,1.30704461326353,-1.25892421032213,0.452877383914633,1.40709259575114,37
"result.38",-1.39292141762801,0.397229765047198,1.29529909639996,-1.42958393590044,0.387324464446224,1.31379543083552,38
"result.39",-1.74943780963042,0.224336311108373,1.45312738349459,-1.68401705152274,0.254257475869363,1.47867129659791,39
"result.40",-1.44588826300332,0.368473204220755,1.45345196666584,-1.38915492998596,0.392718489118125,1.34318907507423,40
"result.41",-1.47128866286526,0.37788736968079,1.2999226289527,-1.54840885625138,0.344160858655841,1.33995197144627,41
"result.42",-1.56314950238625,0.336077777879086,1.42096510409164,-1.55098553588591,0.344569390377488,1.40883988322459,42
"result.43",-1.36073847727212,0.407283125206818,1.34625185472714,-1.3588883551636,0.410691528423972,1.302139085927,43
"result.44",-1.3767549354132,0.407437250680389,1.37593661923357,-1.2637008944665,0.458206800336072,1.33324324858842,44
"result.45",-1.51711039495912,0.340236569070849,1.44175552926819,-1.55942655283133,0.323614940992021,1.44319759483166,45
"result.46",-1.40123326864442,0.39957243388023,1.38991588711539,-1.37419905660725,0.408961877115986,1.34237491427295,46
"result.47",-1.3838363281915,0.417724981257631,1.24837696702649,-1.55533241330853,0.348462440832875,1.28665374250267,47
"result.48",-1.43772211282208,0.381111433470535,1.43632799094531,-1.49809459509811,0.354172648600949,1.44035734501187,48
"result.49",-1.72371443368734,0.267067610360534,1.49965764839905,-1.65844502084662,0.284506276509991,1.44522325099626,49
"result.50",-1.3425570491095,0.396912885941692,1.2765999299963,-1.28372573496203,0.427937351088602,1.24545684935018,50
"result.51",-1.31174252085555,0.428399276154822,1.23694570360785,-1.21714814579298,0.458352262465796,1.31944044278508,51
"result.52",-1.52892766932845,0.351571491760711,1.37460427122242,-1.42919593449832,0.396253527064265,1.32183521994646,52
"result.53",-1.6431675155451,0.316972507775672,1.40805729273261,-1.61369370034608,0.326617199556665,1.40361869085022,53
"result.54",-1.35440116743359,0.402449972372609,1.36572660236412,-1.40653526093607,0.385729057156876,1.36003653164409,54
"result.55",-1.52453442712082,0.350324751843208,1.19119232034578,-1.42018087990373,0.388656096574775,1.21430021058778,55
"result.56",-1.29036393440876,0.415400720584833,1.27118094576873,-1.32465839145131,0.404900410534787,1.2614670924384,56
"result.57",-1.33038565685377,0.417896592290589,1.46102486408649,-1.32188868735322,0.433680822066152,1.41409842378309,57
"result.58",-1.24493229780298,0.436273637952494,1.16465187752002,-1.30113271045984,0.420165562835751,1.22385885320781,58
"result.59",-1.31954979711859,0.430410083715608,1.42839003236385,-1.34688180111148,0.416303323811564,1.38925148111475,59
"result.60",-1.60332988668875,0.313252477270736,1.31651129076096,-1.56992745345842,0.33458404362572,1.32129382498209,60
"result.61",-1.58279563657267,0.32653863003313,1.39858004382037,-1.4248145543988,0.374977442333691,1.34813727841942,61
"result.62",-1.42032685870716,0.392295633744984,1.33988970072531,-1.3718755988192,0.410470088046039,1.35639125696027,62
"result.63",-1.23305004284643,0.436574847431392,1.17164018519182,-1.26638058033756,0.424216735004818,1.19583235243431,63
"result.64",-1.3949105458364,0.399791998269015,1.36401943078443,-1.4504323722728,0.374679181585017,1.39330388849255,64
"result.65",-1.19738535079472,0.449167407577956,1.37428558753437,-1.19823189763343,0.462192902720486,1.3095947985847,65
"result.66",-1.394074914058,0.42224196265731,1.43421326646531,-1.38155767272875,0.415297289643545,1.42593759278245,66
"result.67",-1.26681980746418,0.456623547655487,1.22255911180786,-1.24408848922064,0.469138200156279,1.24793995976088,67
"result.68",-1.40149762118897,0.39641773760543,1.44549647163301,-1.43133494176961,0.382639194181665,1.41801057816266,68
