"","V1","V2","V3","V4","V5","V6","V7"
"result.1",-1.04464027812427,0.463877490435629,1.22009322751317,-1.08965875764327,0.450390923492772,1.27134642242858,1
"result.2",-1.0122011058729,0.514232150106178,1.17787453245175,-1.00281078214557,0.505440593204943,1.15213693901744,2
"result.3",-1.10852451276539,0.429322591198359,1.23528074422935,-1.13143850384782,0.414452965588149,1.19716899084943,3
"result.4",-1.15506003940728,0.444515327554831,1.13194314022567,-1.08882286895522,0.480864070456389,1.13264399790785,4
"result.5",-0.90039280448506,0.525718892461673,1.00514349121701,-1.01621254306957,0.481310947701813,1.11426485307547,5
"result.6",-1.01304071767875,0.50096687910126,1.10329614087472,-1.06234417499716,0.480772423592399,1.08695381669734,6
"result.7",-1.457993768198,0.322061103137046,1.21649740081573,-1.45505676574065,0.322364659401017,1.20431585712267,7
"result.8",-1.0475805140641,0.465522175607403,1.06435737960754,-0.989094447647062,0.48955289554112,1.12994958473427,8
"result.9",-1.26072649305472,0.403264016407459,1.20159065230513,-1.14512291323577,0.452234843112405,1.17133427322004,9
"result.10",-1.0039912056508,0.503369508834455,1.07331077391072,-1.10895758309572,0.462370009411066,1.11006485128131,10
"result.11",-0.968011335749938,0.526927228598424,1.05459632991545,-0.91208935192242,0.550897270850593,1.03135935495839,11
"result.12",-0.85217403632274,0.558581405099628,0.957634077055808,-0.926377624971119,0.519962074440526,1.06118014058368,12
"result.13",-1.01796695250703,0.514644873869556,1.11146071848537,-1.14681472831736,0.454311807426143,1.20383133235925,13
"result.14",-0.971023465507391,0.499273299036252,1.06466627398379,-1.01776286345934,0.495408087011022,1.01392890164443,14
"result.15",-1.24957763836123,0.411835261153061,1.24704176486809,-1.20410577015989,0.412259472476629,1.16714512257105,15
"result.16",-1.06812386362474,0.446863540387462,1.14352666535884,-1.08418207886484,0.454358516455235,1.09413043389651,16
"result.17",-1.03354305458265,0.499567165136092,0.933201257646735,-1.10858800350761,0.47716088512745,1.0340270271863,17
"result.18",-0.978857606754827,0.515196722297876,1.14088256472932,-0.935517205900882,0.537837736766442,1.11693397454088,18
"result.19",-1.40907963353573,0.338903271281857,1.25589941836277,-1.22483988858544,0.421921767446799,1.1725813841059,19
"result.20",-1.12037616021361,0.462434611546177,1.26341933549387,-1.1344292185516,0.447868936765611,1.231693746577,20
"result.21",-1.10776044306715,0.476927193221399,1.10125720047325,-1.06378850410373,0.489338667437391,1.09988274815733,21
"result.22",-0.955918828476922,0.522599428070217,1.15007061903714,-0.978016750266341,0.516907474252734,1.14074773743213,22
"result.23",-0.921621358887253,0.561535538672232,1.0569162238032,-1.03116613485508,0.507128782947991,1.10315251189941,23
"result.24",-1.13058681517162,0.466324294140532,1.17476534506474,-1.13177398286385,0.454091740361775,1.17213043733377,24
"result.25",-1.18164123555691,0.444515798435965,1.22751278833756,-1.18111992250362,0.444575148056463,1.16101591894277,25
"result.26",-1.10717437157013,0.450214336254263,1.00929326326451,-1.20270118117064,0.414845450123938,1.05324424851716,26
"result.27",-1.17930509816383,0.410936869470063,1.18243604017994,-1.14941902843833,0.431907451694662,1.25976098964106,27
"result.28",-1.12088639704841,0.440659398660436,1.11757629823869,-1.17000018301825,0.43979170800481,1.11326645772852,28
"result.29",-1.09797267071926,0.45888373272267,1.21835269082113,-1.11233587372191,0.458064906235706,1.1878741309586,29
"result.30",-1.12437289061303,0.462847169111536,1.08161416974724,-1.13256389416863,0.46375715903808,1.06168723816255,30
"result.31",-1.15177661489205,0.409870694835626,1.13459265144764,-1.08221739770666,0.460464660862601,1.09999696675941,31
"result.32",-0.998427321668442,0.50701125773504,1.12133589377206,-0.913421736306691,0.54071535867805,1.09085296514824,32
"result.33",-1.07719545558081,0.468779860553499,1.15990944799543,-0.976990952795718,0.525399647854663,1.15296458490392,33
"result.34",-0.98882889236768,0.540031769887034,0.997317615774071,-1.19432409672076,0.446134766295225,1.16735469558479,34
"result.35",-1.03455655124763,0.488669461807328,1.10185268686262,-1.05288462394897,0.480525463044994,1.12189580739087,35
"result.36",-1.26859442760725,0.400271904364693,1.22737551409004,-1.2918462367787,0.387415412891842,1.18868810142868,36
"result.37",-1.03968869806798,0.475640163267619,0.999832545470898,-0.982178134716578,0.508329644821283,0.967844375779851,37
"result.38",-0.987483473105131,0.51295110633816,1.14320513489805,-1.00361376719698,0.505164711609036,1.13266960796943,38
"result.39",-0.800095256514884,0.606491474936319,0.997523001495511,-0.703284505306673,0.643691572456123,0.959678517013616,39
"result.40",-1.10102706031929,0.44597679601679,1.04261779716957,-0.962733567777679,0.514847821426444,0.993708699598059,40
"result.41",-1.23864428028453,0.413829591382509,1.18438879559616,-1.18481969278182,0.438878185117651,1.16293043064581,41
"result.42",-0.94395915567468,0.53044863272295,1.03364912336722,-1.03146093901443,0.495553228614634,1.10248294276646,42
"result.43",-1.04067282287113,0.515764335260537,1.13747486457059,-1.10978782723669,0.479794310754778,1.20443170020238,43
"result.44",-1.00487647669721,0.490505315481763,1.04870512196865,-0.969159925655803,0.509917315094731,1.07917283112017,44
"result.45",-1.3640089239851,0.378345518206943,1.08369791127612,-1.31516952464801,0.401678786993038,1.06813071360402,45
"result.46",-0.940421862615716,0.526474165736788,1.04256127610528,-1.0104823913453,0.49635028618596,1.05108273480656,46
"result.47",-0.804378190767221,0.606231639727829,1.0316662453497,-0.943521994660459,0.543655741442922,1.10157961482322,47
"result.48",-1.23589390340929,0.415255803879627,1.12590311741867,-1.12109256718502,0.452626346683778,1.12805498554563,48
"result.49",-1.20977211835095,0.391323264453334,1.18921412931398,-1.15762491496039,0.420175534211177,1.18959498407171,49
"result.50",-1.11814364587621,0.454028677946289,1.13966877675698,-1.02953087425034,0.503825584926646,1.12142458031888,50
"result.51",-1.07518628613048,0.473822891509806,1.15314061028428,-1.12395302374508,0.468583792242171,1.13382267226605,51
"result.52",-1.17251225049315,0.418758541391148,1.14126854610271,-1.0945809636763,0.458519735800268,1.08948791573452,52
"result.53",-1.25547439405997,0.387301107487688,1.13383005213882,-1.20749791524987,0.417669961702631,1.13222640401723,53
"result.54",-1.00267646369072,0.503545612210776,1.02310599220744,-0.94071833210693,0.527678112870535,1.00671025529363,54
"result.55",-0.954078095016617,0.489195764856529,1.04921816793702,-1.01775123000823,0.45880418351793,1.11607563268174,55
"result.56",-1.0124755336279,0.511337051367094,1.04302169744075,-0.960769596738171,0.538117090391569,1.06686157646491,56
