"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"result.1",0.00721658627443653,0.0184528775335124,0,0.000112362912590759,0.0235948971682905,0,0.000163783108938539,0.0172564900135514,0,0.000100399037391149,0.0114832860963006,0,4.26669982186403e-05
"result.2",-0.00388190526470257,0.017642469576181,0,0.000215243748408836,0.0237027956389846,0,0.000275847009036872,0.0173319184355823,0,0.000212138237002849,0.0119062558951626,0,0.000157881611598652
"result.3",-0.00846225910349621,0.0176971141908311,0,0.000261593732943273,0.0228538891547633,0,0.000313161482582595,0.0167111129659929,0,0.000251733720694891,0.0134928015915179,0,0.000219550606950141
"result.4",-0.00337589942007925,0.0171347882820854,0,0.000205106877021646,0.0235636924414777,0,0.00026939591861557,0.0172414084688467,0,0.00020617307888926,0.0141841424528408,0,0.000175600418729201
"result.5",-0.0130944217631962,0.017608333523718,0,0.000307027552869143,0.0226396434507108,0,0.00035734065213907,0.0165629623027132,0,0.000296573840659094,0.0149296058806314,0,0.000280240276438277
"result.6",0.00319620090034087,0.0170087935837202,0,0.000138125926833793,0.0257149606988082,0,0.000225187597984674,0.0188279455855246,0,0.000156317446851838,0.0155284444671437,0,0.000123322435668029
"result.7",0.00715595411065476,0.0190742529530255,0,0.000119182988423707,0.024442525915722,0,0.000172865718050673,0.0178900690486282,0,0.000107341149379735,0.0150785178055557,0,7.92256369490094e-05
"result.8",0.00700469289532916,0.0182144477135537,0,0.000112097548182246,0.0243462671132062,0,0.000173415742178771,0.0178128257556412,0,0.00010808132860312,0.0114227881538724,0,4.41809525854328e-05
"result.9",0.0109592604387751,0.0181426034760008,0,7.18334303722578e-05,0.02422056045185,0,0.00013261300013075,0.0177116913048221,0,6.75243086604702e-05,0.0148331641431199,0,3.87390370434481e-05
"result.10",-0.00365009210526321,0.0180591864124224,0,0.000217092785176857,0.0257929949551463,0,0.000294430870604096,0.0188498730099772,0,0.000224999651152404,0.0146689762491619,0,0.000183190683544251
"result.11",0.00442474103958286,0.0191037734470214,0,0.000146790324074386,0.0245793524449333,0,0.000201546114053505,0.0179445261684347,0,0.000135197851288518,0.0194882536685768,0,0.000150635126289939
"result.12",-0.00815716809517568,0.0182638195866431,0,0.000264209876818188,0.0236987917979898,0,0.000318559598931655,0.0172783420471212,0,0.000254355101422969,0.0164004335814596,0,0.000245576016766353
"result.13",-0.00260043685474436,0.0176784953368738,0,0.000202789321916182,0.024087595330259,0,0.000266880321850034,0.0176350934748438,0,0.000202355303295882,0.015832696961418,0,0.000184331338161624
"result.14",-0.000750657329451276,0.0179730300007108,0,0.000187236873301621,0.0229141428520963,0,0.000236648001815476,0.0167647999620007,0,0.00017515457291452,0.0162742614311711,0,0.000170249187606223
