"","V1","V2","V3","V4","V5","V6","V7","V8"
"result.1",-0.969494845785009,0.514122362407849,1.0315681343155,12.8315508110314,-1.04586254313099,0.48820296136052,1.05124558432818,1
"result.2",-0.722075518074952,0.63796872563462,0.83097617208376,26.0506916114967,-0.821013421596095,0.589142989632228,0.907724387154539,2
"result.3",-0.91935932612327,0.532240785270005,0.947390374212554,28.3962067740625,-0.935608652763131,0.510195712267848,0.947910114440801,3
"result.4",-0.889667682872855,0.580599403060301,0.966271990979925,63.867028914049,-0.938109849795284,0.552348523934898,0.960841479447185,4
"result.5",-1.03034468277624,0.491043183541946,0.983341705207821,25.11946594139,-1.06033838441491,0.473586620157879,0.992480284913589,5
"result.6",-0.964081729738878,0.508999541685404,0.976335434004756,25.8253205045711,-1.03971295869302,0.479696779999812,1.01960635962301,6
"result.7",-0.995086633449937,0.479636969592649,1.1011804298567,55.2440541796885,-0.998485369264849,0.502740629279898,1.11246083809998,7
"result.8",-0.914172922215366,0.528683200683336,0.985759950476293,19.8359965656778,-0.851919516720915,0.55771357353668,0.9966448725442,8
"result.9",-1.01317481444454,0.505645398275073,0.907989007998959,25.7190612469488,-1.04283053284912,0.493904709183916,0.988234392054372,9
"result.10",-0.879606013976028,0.547973700817417,1.01056000713314,50.5218398583646,-0.983646936807213,0.499006581036388,1.042864354593,10
"result.11",-1.02159776903597,0.491507958354641,0.967371355221392,20.3633164213034,-1.02728590663043,0.487245503127706,0.993841764711997,11
"result.12",-0.717874793443714,0.614425321415622,0.806303600015779,14.1757292562719,-0.743329806281356,0.605649623855333,0.840496553825203,12
"result.13",-1.16509441043497,0.425209422782499,0.964523834040159,7.57858768490562,-1.18228902816906,0.429063338522615,1.00307680238625,13
"result.14",-1.01308963192715,0.487133182574662,0.936076442280282,15.5496810194849,-1.03915907396391,0.484395466174018,0.980497154376021,14
"result.15",-0.958856453192989,0.516697975140541,0.954505139151142,35.4537406765847,-0.993248454572294,0.494735905655375,1.00628184104575,15
"result.16",-0.92268397994519,0.525551950155899,1.01057952626512,21.7204732349864,-1.00525182094036,0.489426672451938,1.00953493710881,16
"result.17",-1.10554625258808,0.451680666840391,0.972175594169725,21.947085182949,-1.06079136199544,0.463917767468657,1.00933360439828,17
"result.18",-0.871512031146339,0.562303148952269,0.958488153978672,47.965834033743,-0.817962430066895,0.594886853193018,0.946186291378892,18
"result.19",-1.07956247477051,0.479294613890645,0.962534379418359,60.7665722065529,-1.26880226712432,0.38834516143208,1.03086074291069,19
"result.20",-0.729494618314273,0.622628728217944,0.840198218901146,24.5193027802398,-0.752996539852671,0.626414377324993,0.834699436845814,20
"result.21",-1.18249727104527,0.413787372144524,1.05529944340437,28.5124674411271,-1.07487676523098,0.450223964912443,1.04358889139434,21
"result.22",-0.687271041661739,0.658796045223552,0.798410785429938,39.8771318972218,-0.722491890219225,0.643894141531289,0.827725377549496,22
"result.23",-1.0043934892715,0.499916345360537,0.978548895811917,36.1130155125927,-1.05909193043541,0.488697437346757,1.04055556811901,23
"result.24",-1.0077688359791,0.492709090283557,1.01992320757858,23.575638069136,-0.98814264704786,0.501326692895345,1.03255593233818,24
"result.25",-1.07689552217342,0.469695158780235,1.05449163400746,68.7038816057029,-1.08522286655332,0.461100066472275,1.04230877627477,25
"result.26",-0.851091250672541,0.526485241431353,0.94876738084947,24.819336582506,-0.93867682322827,0.500153549321784,0.984980763898608,26
"result.27",-0.704185857133414,0.655592718277058,0.869649495150895,31.5277315238603,-0.715792324037563,0.638459158768272,0.884057329146641,27
"result.28",-0.904940359043128,0.548561039779115,0.891892198483845,38.611335636868,-0.923276233915615,0.54509591014016,0.905631088636948,28
"result.29",-0.926553220812446,0.535340919822256,0.917754367253526,25.3776941331251,-0.999549270048781,0.502078000868475,0.982677482650892,29
"result.30",-1.00191586756482,0.483227974235456,0.976076084511086,11.729835278026,-1.02490164475515,0.484039875329643,0.989515467910447,30
"result.31",-1.03686187770534,0.455572769257993,0.987627878954648,29.1573316546636,-1.02261490826182,0.480455157529765,1.01219348379599,31
"result.32",-0.879137525810979,0.547796519362224,0.911616681298783,27.1420015421334,-0.950002499902936,0.518990779238848,0.945073679246755,32
"result.33",-1.22073077142888,0.43047514159998,0.988244122189972,41.1233215885687,-1.09043541336427,0.496775878700637,0.971923696388951,33
"result.34",-0.855185973385078,0.574513894865,0.96678349919968,25.8335781257041,-0.983113647180875,0.515740144179746,0.995094859833295,34
"result.35",-0.914134424602556,0.53964309390303,0.948985966874261,16.1470987322379,-0.841009254357786,0.57916581927457,0.942561323088813,35
"result.36",-1.03575991176385,0.49877571835856,1.00309718436969,20.0286731537754,-1.03588974483616,0.505556821011902,0.999883202630665,36
"result.37",-0.989534991765925,0.485530987410411,0.955453444619684,7.69672895318967,-0.996550663712827,0.488849190048987,0.924569809324721,37
"result.38",-1.10871873587311,0.434120558067719,0.986729326055996,47.3265120347066,-1.06093455292717,0.437707079563725,1.03677626302898,38
"result.39",-1.0304462498106,0.477348763373058,1.02613453155781,39.6489107549039,-0.985361259904113,0.504492910846298,1.01061808097132,39
"result.40",-1.01065256968355,0.464506960195261,0.990609308493621,9.38879435464124,-0.920310428773067,0.507477341302268,0.947839195901263,40
"result.41",-0.907539516802352,0.554516203201719,0.912700829979963,60.3738093320856,-0.994749629270125,0.503161993305775,0.92870955304856,41
"result.42",-0.991472237775045,0.509511769150703,0.953875639635712,18.8290859021431,-0.935577386171567,0.53039937228352,0.971270614933305,42
"result.43",-1.03243792870869,0.49136645245455,1.03873061344174,19.5315296028441,-1.00812061353895,0.512297656398011,1.03259115200811,43
"result.44",-1.0229870091175,0.483552488808544,0.957147768078055,33.1647745649917,-0.936130716747005,0.526603017576554,0.928627764567031,44
"result.45",-1.05886730978855,0.474884126449102,0.973039161295329,22.2711600453046,-1.11506188539399,0.45525122478585,1.02041007775749,45
"result.46",-0.898410758434538,0.536971115724524,0.938295290833558,3.85125517111586,-0.970218357499064,0.507818513052635,0.911476122239479,46
"result.47",-0.959703870689734,0.529999711052292,0.986030253621064,10.3087405045313,-0.971924334286308,0.512794873774342,1.03068906511658,47
"result.48",-0.855570422149688,0.568533979130178,0.891377139393981,40.0865181185025,-0.84490509513744,0.565530538527585,0.883344852479858,48
"result.49",-0.859244235875636,0.539631880711407,0.88291045462824,39.7925055719216,-0.899005429243472,0.528485639731262,0.914003065538722,49
"result.50",-1.0910257298763,0.47082826332436,1.03318956417218,46.2938686671726,-1.04833935950547,0.491342195761943,1.06141563187126,50
"result.51",-1.27381929778071,0.394039970682309,1.07439481457922,26.0536928242254,-1.20263972496717,0.433727872113541,1.11448964183063,51
"result.52",-1.47908836877137,0.231293097745165,1.12493623339441,32.2580951160181,-1.31893334592916,0.327443657530073,1.15603087691027,52
"result.53",-1.10875392787021,0.452397783005083,0.947892778621412,35.1648884361487,-1.02753067212758,0.488305171236426,0.960515746008262,53
"result.54",-0.795123456453974,0.592309299081053,0.898675347242319,10.8628540353727,-0.850466171596038,0.573750338563147,0.910653122925288,54
"result.55",-0.951549332067585,0.510829992554354,0.970097397086434,4.5869968309057,-1.02719973975451,0.475905478379589,0.967489618839732,55
"result.56",-1.11525517767102,0.423599406280975,1.15793040260102,34.4387478469756,-1.02725085577894,0.479386381719052,1.12298524381182,56
"result.57",-0.91963365240251,0.53610182443115,0.99597622307017,11.0208556800561,-1.03139732133617,0.482987827742595,1.04310355724909,57
"result.58",-1.13965894581325,0.441722520051328,1.0152646332548,24.7845236516856,-1.13223475137573,0.448773586883448,1.05408079230281,58
"result.59",-0.868308597999837,0.585770310724653,0.88272722534546,48.70897059921,-0.88395547158141,0.580667328800582,0.923380944112291,59
"result.60",-0.958300896590558,0.513352350709231,0.922241832308293,53.1791529196741,-0.935163628379655,0.536393694900423,0.970837376462544,60
"result.61",-0.987183834699253,0.484369432580209,1.04717732686451,15.3879667442362,-1.08827770521249,0.446658910578021,1.07412753848132,61
"result.62",-1.09091197970571,0.442956326710692,1.0775647055503,33.5939375656786,-1.05367585900683,0.466833178202029,1.03746278270412,62
"result.63",-1.03164896574631,0.499138682778462,1.02182661856085,63.6339264325223,-1.06732037885935,0.478501519114197,1.05376361267016,63
"result.64",-0.835650540850759,0.556667174436656,0.848312356523196,50.8172417049788,-0.935833939761608,0.514151314110526,0.914349681643265,64
"result.65",-1.10114233849597,0.443632874383654,1.08572240947635,25.5560290838787,-1.10483138598947,0.446861406265149,1.06937620843123,65
"result.66",-1.05651187439763,0.481415685081006,1.03609442602066,29.007504063721,-1.18867099229932,0.430213664700228,1.07139872398536,66
"result.67",-1.0272355867891,0.504544568534203,0.972267892928553,30.4173629345551,-1.08011450275462,0.474062551696356,1.00628367444015,67
"result.68",-0.840188206283745,0.556774192191024,0.839196094577209,16.6588970900938,-0.887692427858766,0.54308692836847,0.926686246811886,68
"result.69",-0.923273555760875,0.565994742287351,0.882691544830861,30.2194504251584,-0.969561848690741,0.542209413037257,0.933462546009936,69
"result.70",-0.931157161234905,0.554142798796816,0.977228517564117,32.0127963043382,-0.891391875877068,0.566194213664383,0.965732702216959,70
"result.71",-1.12612518249025,0.404147054302458,1.04461552753736,67.995222650298,-1.09814017287179,0.438584069618912,1.06912051879123,71
"result.72",-1.16788018415825,0.427462636576335,0.997321224339461,23.36063683908,-1.20701719348631,0.422071543195766,1.04630259260376,72
"result.73",-0.97631566599483,0.534349466188932,1.07008803727168,30.4206294840127,-1.02211902990922,0.506186502506958,1.11140836437093,73
"result.74",-0.794317703449263,0.584279358121025,0.899169394269687,10.6487226246577,-0.89461176176915,0.554317592856866,0.964498871957644,74
"result.75",-1.11046927745728,0.463462771658504,1.02337743264415,17.6463001880729,-1.0086185954819,0.5158347448341,1.02318582265655,75
"result.76",-1.06847861203901,0.471273906471751,1.00863656917914,36.7982174129499,-1.05363476889502,0.476201470667382,1.02973896989069,76
"result.77",-0.858166661957774,0.564742986972205,0.907793522236559,15.1839958689894,-0.97062988047331,0.520164153540613,0.979793241397643,77
"result.78",-0.750583624839216,0.632824720522047,0.879340421344037,20.653233856582,-0.853957558492891,0.586461359536881,0.934502010792386,78
"result.79",-1.07579589114538,0.466727616502758,0.981902277525123,9.48122373120817,-0.99783478235321,0.503251463571695,0.959965196753804,79
"result.80",-1.01230889681818,0.47885825980371,1.0106458638369,44.7420820964462,-0.966913610110895,0.498972541055358,1.02589183706055,80
"result.81",-0.880353010849026,0.570114147058886,0.962002649231311,32.0214382386274,-0.917648432022491,0.546739050507133,1.00751235212011,81
"result.82",-0.981300340548298,0.533559146889968,0.957882968720272,30.3254921681998,-1.11307221538157,0.463451446402031,0.994152138521557,82
"result.83",-1.01016858794447,0.524076428567806,0.952611716501047,35.0185284155718,-1.03014301890027,0.49589721477537,0.968011117021933,83
"result.84",-1.076327234786,0.455271532950607,0.971247126560339,31.3093336460205,-1.16738139105592,0.410200070425092,1.00598251403422,84
