"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"result.2",-0.128248806566724,0.986379504273989,0.0886427791168974,-0.242276796480836,0.974610225625124,0.124231893903404,3.47799878063381,-0.283582628625233,0.969867442534911,0.156881871039898,2
"result.3",-0.168187326479071,0.9823270853537,0.084123601351224,-0.116778541893065,0.987818682607557,0.0710979752210784,8.68890020673111,-0.267487778978977,0.971577818738109,0.152703906428592,3
"result.4",-0.145835557629351,0.984827983065073,0.0858097168490747,-0.0958749853200762,0.990095784371531,0.061785065509909,17.4737962851268,-0.271580572482332,0.971142085714915,0.154441669148192,4
"result.6",-0.0989110159291199,0.989865701676359,0.0679925249422154,-1.30898751791412,0.864523330413331,0.348153101408824,2.11522472204746,-0.267621635222016,0.971562405583519,0.152949535777585,6
"result.10",-0.0941344556715126,0.990098985289702,0.0698918337686258,-0.178242388040304,0.981579301904582,0.121064819000071,2.21643021287394,-0.276879474635146,0.970569832857402,0.155677246779926,10
"result.11",-0.0998591011874012,0.989264630866214,0.0972364282968693,-0.0971892994855337,0.989925847775631,0.0659678503781568,10.6368804831479,-0.276522622617312,0.970614643843116,0.154992570498012,11
"result.12",-0.0983299370082641,0.989814329766654,0.0734513080447566,-0.115637477647241,0.987825234652955,0.0759249452641912,8.00475740945829,-0.281091608611342,0.97012471053271,0.155744310643261,12
"result.13",-0.14073468141288,0.985201962781725,0.0834666611519284,-0.0985320903109244,0.989693845623875,0.0772207587815933,4.62366698513913,-0.269867528226103,0.971319274663626,0.153230102781061,13
"result.14",-0.102728290607613,0.989201254317243,0.0705097099710643,-0.169148650684933,0.982380907810662,0.114594987293969,2.10000135851041,-0.286275743941013,0.969578510920273,0.158566212048627,14
"result.15",-0.103601390012646,0.989009660034229,0.067821893626201,-1.41338775444389,0.853397224772947,0.516784304449558,2.10000000254513,-0.263942776806728,0.971956482413491,0.151657327962264,15
"result.17",-0.103650606159096,0.988953044535075,0.0749224114887084,-0.230140074470909,0.976026856446031,0.131711711145608,2.14510107799141,-0.265796388525883,0.971753631497787,0.152359547057052,17
"result.18",-6.74821962740165,0.303715842710962,0.604067841560497,-0.34557977487252,0.963912442427672,0.163241447745649,2.23926683649048,-0.264146978596861,0.971925998235116,0.151825659298734,18
"result.19",-2.41810591978006,0.747978912159826,0.392487461563782,-0.455112781866696,0.952382694662855,0.189672693108023,2.24197503705164,-0.257981402389738,0.972577704072195,0.150447628577929,19
"result.20",-0.0934024191139409,0.990098918334403,0.0655608096604353,-0.335851890614253,0.96523098950663,0.162625330757185,2.20473966686486,-0.276260569399136,0.970646278418947,0.155090507273923,20
"result.21",-0.0975622450725913,0.989721345215279,0.0770217432909452,-0.100363424138795,0.989367944094326,0.0780138019237946,4.01624334516991,-0.269285374664389,0.971383451568364,0.153108729026818,21
"result.23",-7.61240811369877,0.216709167625406,0.649085612060362,-0.102507151615379,0.989257490026106,0.076455851595562,2.80235190168807,-0.260526542086615,0.972309161558117,0.150492860078875,23
