"","V1","V2","V3","V4","V5","V6","V7","V8"
"result.1",-0.00370019751877552,0.012082820159911,0.0120414276505088,0.0154703883897936,0.017834146021265,0.017803537863962,0.0245263841796328,1
"result.2",-0.00408926025701198,0.0118688311146897,0.0118281139833059,0.0153694046447792,0.0175182999001535,0.0174881485213447,0.0243309434069664,2
"result.3",-0.00828645424433392,0.0118028320871346,0.011762323468453,0.0152883372280593,0.0174208858627836,0.0173908756766039,0.0242382473985515,3
"result.4",-0.0005547894439851,0.0118198127490885,0.0117792504733174,0.0160525995180301,0.0174459491841574,0.0174159026568574,0.0254018076632944,4
"result.5",0.00325775746195051,0.0123222905803502,0.012280143492184,0.0156363242982991,0.0181876024485987,0.0181564849271822,0.0247968495312748,5
"result.6",-0.00261663810576252,0.0120507660290272,0.0120094746206334,0.0154642444567895,0.0177868343801819,0.0177562945475032,0.0245257761791916,6
"result.7",0.00626111349937958,0.0119242792574354,0.0118833870242909,0.0152430156065272,0.0176001409158673,0.0175698710302257,0.024193920881459,7
"result.8",-0.00340928746679504,0.0117904839875749,0.0117500143917439,0.0155885408287934,0.0174026601665034,0.0173726764132383,0.024702430458725,8
"result.9",0.00258636696017741,0.0119969682898997,0.0119558466155567,0.0154406410194341,0.0177074293470341,0.0176770042634402,0.0244815482615033,9
"result.10",-0.00763802838374781,0.0118640501836964,0.0118233481534915,0.0151889580454919,0.0175112432842113,0.0174811021283361,0.0241408821235357,10
"result.11",-0.00212609609694026,0.0117665207048461,0.0117261268485791,0.0158292866232495,0.0173672905526345,0.0173373581111562,0.025107145168989,11
"result.12",0.000645287880246507,0.0121615264596002,0.0121198858029672,0.0155208311768257,0.0179503158907934,0.0179195401129064,0.024652557877296,12
"result.13",0.00400472946100781,0.0119337851574883,0.0118928629123687,0.0151614269225217,0.0176141715483951,0.01758388135665,0.0241325578651815,13
"result.14",-0.00683422669448053,0.0117070486710631,0.0116668428425513,0.0151180924773117,0.0172795103059187,0.0172497052948373,0.0240747732247536,14
"result.15",0.000536055143946045,0.0117098934508917,0.0116696786264114,0.0155860107223749,0.0172837091782228,0.0172538980688799,0.0247981476570825,15
"result.16",-0.00125018838085147,0.0119913003280416,0.0119501965401767,0.0152439747116139,0.0176990634806131,0.0176686504922756,0.0242714658289736,16
"result.17",0.00153411973915375,0.011733165105376,0.0116928766966211,0.0149603906075314,0.0173180579543057,0.0172881969687566,0.0238377275466896,17
"result.18",0.000922526948842187,0.0115004069244335,0.0114608550596031,0.0146538052171762,0.0169745087388478,0.0169451474467408,0.0234210622285099,18
"result.19",-0.00492488440290253,0.0112986364191769,0.0112597240766306,0.0144001694642176,0.01667669708511,0.0166477704932007,0.0230259327969431,19
"result.20",-0.0139303238965019,0.011103450848772,0.0110651580900125,0.0144795115539645,0.0163886047426089,0.0163601000432934,0.0232259540674411,20
"result.21",0.00550579777793264,0.0114250460471581,0.011385732929007,0.0173894634603756,0.0168632766860739,0.016834077585635,0.0277349369130341,21
"result.22",-0.00580974765217825,0.0133764657356821,0.0133310116482406,0.017259717862978,0.0197435565556177,0.0197102185499247,0.0275076712465035,22
"result.23",-0.000453373876247015,0.0132915254395911,0.0132463369519442,0.0171934875691741,0.0196181853572241,0.0195850249926863,0.0273892745226824,23
"result.24",0.000317130886028439,0.0132098036299126,0.0131648708175547,0.0166180423454235,0.0194975646190372,0.0194645753707405,0.0264928891193575,24
