"","1993-11-04","","","1993-11-04","","","","","","",""
"result.19",0.00021653819026568,0.0238610904973982,0,2.36445523071299e-06,0.0148809751169579,0,1.46644369266906e-06,0.0182050101633986,0,1.79884719731309e-06,19
"result.20",0.00263777450240976,0.0236201662498772,0,2.09823917474651e-06,0.0148809751169579,0,1.22432006145468e-06,0.0180121771733846,0,1.53744026709731e-06,20
"result.21",0.00383627625659511,0.0233823209682456,0,1.95460447116483e-06,0.0148809751169579,0,1.10446988603616e-06,0.017868058531045,0,1.40317822744483e-06,21
"result.22",0.00330708970131166,0.0231385010321716,0,1.98314113308578e-06,0.0148809751169579,0,1.1573885415645e-06,0.0177241187729611,0,1.44170290716478e-06,22
"result.23",0.0007072879321397,0.0230311563754029,0,2.23238684432607e-06,0.0148809751169579,0,1.41736871848166e-06,0.0176114979015299,0,1.69042099693884e-06,23
"result.24",-0.00100745089798338,0.0228456571974718,0,2.38531080954525e-06,0.0148809751169579,0,1.58884260149395e-06,0.0173882741085663,0,1.83957250065477e-06,24
"result.25",-0.00453538450961766,0.0225559528403849,0,2.70913373499996e-06,0.0148809751169579,0,1.94163596265734e-06,0.017159354768225,0,2.16947392778403e-06,25
"result.26",-0.000538729266612137,0.0223893101997064,0,2.2928039466316e-06,0.0148809751169579,0,1.54197043835683e-06,0.0171652716867344,0,1.77040009533446e-06,26
"result.27",0.00380801206801262,0.0223285625561758,0,1.85205504881611e-06,0.0148809751169579,0,1.10729630489441e-06,0.0169703863948955,0,1.31623743268814e-06,27
"result.28",-0.00568504475203468,0.0220894805970246,0,2.77745253490563e-06,0.0148809751169579,0,2.05660198689903e-06,0.0168817758895324,0,2.25668206415646e-06,28
"result.29",-0.0026381289122881,0.0221001835836816,0,2.4738312495967e-06,0.0148809751169579,0,1.75191040292441e-06,0.0170201826281844,0,1.96583115404703e-06,29
"result.30",0.00324261511768409,0.0221645911476926,0,1.89219760300065e-06,0.0148809751169579,0,1.16383599992725e-06,0.0168869975493742,0,1.36443824316886e-06,30
"result.31",0.00653964598170109,0.0220022884833995,0,1.54626425016967e-06,0.0148809751169579,0,8.34132913525589e-07,0.0167829463251509,0,1.02433003434487e-06,31
"result.32",-0.00113705641493844,0.0219526808304735,0,2.30897372454094e-06,0.0148809751169579,0,1.60180315318946e-06,0.0169776930696899,0,1.81147494846264e-06,32
"result.33",-0.00118137371532701,0.0220897464829406,0,2.3271120198265e-06,0.0148809751169579,0,1.60623488322831e-06,0.0167842505721806,0,1.79656242875057e-06,33
