"","V1","V2","V3"
"result.160",0.0179387167511517,0.0210968271421521,160
"result.161",0.0173598087390077,0.0200911181287395,161
"result.162",0.0167103267608657,0.0193631693847536,162
"result.163",0.0174973032022852,0.0187250595841491,163
"result.164",0.0193800560590084,0.0189151476094125,164
"result.166",0.017133569618361,0.0188670042317014,166
"result.167",0.0158689731751567,0.0186370615318268,167
"result.168",0.015464700812276,0.0181129322734321,168
"result.169",0.0156648813664202,0.0177585501796997,169
"result.170",0.014829427843534,0.0176074687871548,170
"result.171",0.0145465109842437,0.0172153372284853,171
"result.173",0.0148512445776578,0.0170748599738957,173
"result.174",0.0142961430777706,0.0169530989874787,174
"result.175",0.014112494835137,0.0166982071859465,175
"result.176",0.0172006738230513,0.0165648258241404,176
"result.177",0.0164929640120634,0.0177810623383934,177
"result.178",0.0151124683163905,0.0179739268966514,178
"result.179",0.0200072318906363,0.0175597399147378,179
"result.180",0.0170301374081909,0.0194398796356623,180
"result.181",0.0162619739185148,0.0189371091678012,181
"result.182",0.0173159737981343,0.0184254168907856,182
"result.183",0.0158330777980213,0.0186046525188814,183
"result.184",0.0154697561903478,0.0180958146339165,184
"result.185",0.0165835999521557,0.0177221283887476,185
"result.186",0.0151208447233441,0.017989432872362,186
"result.187",0.015992090053002,0.0175336145445684,187
"result.188",0.0152271445839541,0.0176583479122101,188
"result.189",0.0161100381589532,0.017419112839498,189
"result.190",0.0187331770787073,0.0176940783532942,190
"result.191",0.0164504496110111,0.0189005398856423,191
"result.192",0.0267866015027067,0.0185945987674998,192
"result.193",0.0233240117375026,0.0233542482125202,193
"result.194",0.0202844619388409,0.0233285280694346,194
"result.195",0.0185294309650862,0.0220030815272096,195
"result.196",0.0173584408670941,0.0206420363715765,196
"result.197",0.0167605140863447,0.0196139335913372,197
"result.198",0.0160084743272102,0.0188903925587383,198
"result.199",0.0154921633383746,0.0182773071846398,199
"result.200",0.0182203826450807,0.0178785391239913,200
"result.201",0.0160710465955679,0.0188209528341829,201
"result.202",0.0162841750167648,0.0183040413674078,202
"result.203",0.017237968272429,0.0181744054891695,203
"result.204",0.033353737417793,0.0186512467251774,204
"result.205",0.0271965498381171,0.0271201678671602,205
"result.206",0.0259281988084481,0.0266421709094473,206
"result.207",0.0235136555917298,0.0257925691053558,207
"result.208",0.0215503075283964,0.0243229095768029,208
"result.210",0.0180357312484683,0.0214608074388636,210
"result.211",0.0176932951197547,0.0200039874505435,211
"result.212",0.0162456036126677,0.0193577055188783,212
"result.213",0.0197684837244376,0.0186842678418415,213
"result.214",0.017206384830161,0.0199632821644755,214
"result.215",0.0161117239221755,0.019164823245255,215
"result.216",0.0166904405850324,0.0184165219137284,216
"result.217",0.0180887664101817,0.0184336271072212,217
"result.218",0.0162117845762327,0.0190858662285578,218
"result.219",0.0218414807386908,0.0184456539938154,219
"result.220",0.0176719095587726,0.021012868032436,220
"result.221",0.0172000289351558,0.0197028524698126,221
"result.222",0.0164577297856902,0.0190881763152291,222
"result.223",0.0160883851136999,0.0185419178032973,223
"result.224",0.0158201327999182,0.018175128921861,224
"result.226",0.0182534342417033,0.0176671992263593,226
"result.227",0.0168092853627407,0.0189247158170147,227
"result.228",0.015713496804481,0.0186081674613447,228
"result.229",0.0159739784819103,0.0180373495184156,229
"result.230",0.0157285114649294,0.0179458598626709,230
"result.231",0.0178341944058848,0.0178195003065511,231
"result.232",0.0250934298095459,0.0188758957095772,232
"result.234",0.0223192104945324,0.0219151782426152,234
"result.235",0.0203031880640929,0.0222793661619036,235
"result.236",0.0193373294021032,0.0213514534122723,236
"result.237",0.0175958720617318,0.0205656797645801,237
"result.239",0.0190745087284368,0.0227649205921878,239
"result.240",0.0180026142128987,0.021009639941731,240
"result.241",0.0183975334606929,0.0199042578121791,241
"result.242",0.0270727789225602,0.019859617726091,242
"result.243",0.0205840675151777,0.023901640214838,243
"result.244",0.0222902118711957,0.0222849965141805,244
"result.245",0.0318999580428934,0.0226314037921256,245
"result.246",0.0272948359590019,0.0276415605492062,246
"result.247",0.0227323148472195,0.026814607186374,247
