"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"result.1",0.00131701903108007,0.00077781116588227,0.00048528707867802,0.00149197497665199,1.7495594557192e-06,0.0014324269326336,1.15407901553527e-05,0.00491524489859446,3.59822586751439e-05,1
"result.2",-0.00051275631803975,0.00104293637928521,0.000155569269732496,0.00200053052511606,2.51328684315581e-05,0.00213726973008246,0.000265002604812221,0.00732551410384291,7.83827042188267e-05,2
"result.3",0.000120646876113276,0.00151757793843643,0.000139693106232316,0.00291097429371945,2.79032741760618e-05,0.00174743272145043,0.000162678584533715,0.00599040361571534,5.86975673960207e-05,3
"result.4",-0.00190410230132729,0.00125307801835817,0.000315718031968546,0.00240361816488388,4.30772046621117e-05,0.00133878475112095,0.000324288705244824,0.00458861079545672,6.49271309678402e-05,4
"result.5",0.000377624651251891,0.000979321029426217,6.01696378174326e-05,0.00187850539321488,1.50088074196299e-05,0.00284824184283709,0.00024706171915852,0.00995185227901913,9.57422762776724e-05,5
"result.6",-0.000897789004686293,0.00198849024938141,0.000288627925406771,0.00381426472582547,4.71205373051176e-05,0.00216450829765744,0.000306229730234373,0.00755096082875967,8.44874983344597e-05,6
"result.7",0.000429991038569359,0.0015297840675359,0.000109979302896654,0.00293438773901045,2.50439670044109e-05,0.00202750891665461,0.000159751787808525,0.00712488409813998,6.69489305957063e-05,7
"result.8",-0.00201980168401282,0.00144806376240325,0.000346786544641607,0.00277763420333343,4.79743588734626e-05,0.00163473418262856,0.000365453586664138,0.00573355647699693,7.75335816100975e-05,8
"result.9",-0.00201198210292833,0.00118158900567522,0.000319357110860355,0.00226648999973378,4.27847210266211e-05,0.00307282279518143,0.000508480489810976,0.0107546357111962,0.000127666178141245,9
"result.10",-0.000786859148354393,0.0021475777558706,0.000293443690422499,0.00411942179888314,4.90628094723754e-05,0.00358864970690635,0.000437550885526075,0.0125331591957808,0.000133200183441352,10
"result.11",0.00104326289602071,0.00248639353944924,0.000144313064342853,0.00476932847669076,3.72606558067005e-05,0.00282860196182401,0.00017853390658033,0.00986876489626082,8.82550200024012e-05,11
"result.12",-0.000355824788483719,0.00198114209600675,0.000233696688449047,0.00380016970964192,4.15599449812564e-05,0.00252358838001188,0.00028794131684956,0.0088359422205585,9.19176700904223e-05,12
"result.13",-0.000425075807954103,0.00178188106249166,0.000220695687044577,0.00341795293409319,3.8430287420473e-05,0.00192392872699162,0.000234900453494572,0.00672351046310361,7.14858627105772e-05,13
"result.14",-0.000682890468908223,0.00137629377990578,0.0002059184248814,0.00263996708994085,3.32285755884908e-05,0.00156222507091807,0.00022451155398263,0.00546826398332803,6.15115445223626e-05,14
"result.15",0.000868048785728048,0.00113142388432408,2.6337509859603e-05,0.00217026470873094,1.30221592300289e-05,0.0015323668515038,6.64318065775748e-05,0.00537130564880833,4.50325686308029e-05,15
"result.16",0.000561573826971087,0.00111287841104257,5.51304584071486e-05,0.00213469131603716,1.57311748906608e-05,0.0016911695046051,0.000112959567763401,0.00593049437777629,5.36892055080521e-05,16
"result.17",0.000416201132647886,0.0012195498594636,8.03348726815712e-05,0.00233930541613603,1.92310428348814e-05,0.00150892663853099,0.000109272550588311,0.00529270873252434,4.87650759987646e-05,17
"result.18",-0.0017561258369425,0.00109397898732055,0.000285010482426305,0.00209843898577589,3.85456482271838e-05,0.00129882612977214,0.000305495196671463,0.00458072526308584,6.33685110002834e-05,18
"result.19",0.00342668669851574,0.000962010630225052,0.00221820846146162,0.00184530108399628,0.00156557175837427,0.00263580951103781,0.000711789468730137,0.00927813310155093,5.85144640303519e-05,19
"result.20",-0.00370135491039991,0.00186877839185939,0.00055701333022593,0.00358463688855437,7.28599179895429e-05,0.00511955687808551,0.000882091178848542,0.0179864448730389,0.000216877997834389,20
"result.21",-0.00507534656883614,0.00350424610891054,0.000857959267774667,0.00672174396026293,0.000117970905290991,0.00633525864715752,0.00114106052159937,0.0221625730374929,0.000272379196063291,21
"result.22",-0.00211294471705094,0.00427731268859333,0.000639025740564426,0.00820461800828554,0.000103175627253365,0.00847289975529038,0.00105858444723413,0.0293437168544908,0.000314566615715417,22
"result.23",-0.000998126731908232,0.0055897062364707,0.000658783296837893,0.0107220135135506,0.000117201402454589,0.00675372742354166,0.000775185415544989,0.0233853832868178,0.000243835100187261,23
"result.24",0.0015048949804674,0.00450077345670508,0.000299587847623767,0.00863325401778781,7.12835903732041e-05,0.00503403994940806,0.000352914496894065,0.0173957091272823,0.00015890814146815,24
"result.25",-0.000392755312144198,0.00339432985378352,0.000378708516592771,0.00651090576537428,6.90366107751848e-05,0.00414168818234581,0.000453444349449001,0.0144314027276037,0.000148241580397479,25
"result.26",0.000133646308484865,0.00284229430904048,0.000270864800055562,0.00545200708263138,5.31836077414652e-05,0.00301449637308551,0.000288085006460064,0.0104924205547348,0.000103587742462499,26
"result.27",0.000209294911201809,0.00209652001519345,0.000188722510399164,0.00402148431124516,3.81218940004336e-05,0.00218230212664418,0.000197300721544237,0.00757838196626201,7.36908705506021e-05,27
"result.28",0.00170830542374877,0.00153817166295056,0.000153120384718387,0.00295047658294578,1.24217115919702e-05,0.00162966358164128,7.07776578967414e-05,0.00564023311059029,3.93192768684153e-05,28
"result.29",-0.000447423847212513,0.00117914499558225,0.000162656884279476,0.00226180196994363,2.70922581715615e-05,0.00272554705429728,0.000317297090150979,0.00942821058912276,9.87563443633528e-05,29
