"","99%","99%",""
"result.60",0.0248771866834085,0.0214570926638759,60
"result.61",0.0252218307542588,0.0196598041139985,61
"result.62",0.0243949263946176,0.020591694954392,62
"result.63",0.0246136594845767,0.0192832867129417,63
"result.64",0.024224223319467,0.0198301749949402,64
"result.65",0.0254107166438629,0.0201087228740669,65
"result.66",0.0239833516446472,0.0190839915176531,66
"result.67",0.0240186061874577,0.0199286147643006,67
"result.68",0.0240671232385382,0.0189771935739642,68
"result.69",0.02394226141925,0.0188625848824514,69
"result.70",0.0237326788229479,0.0216579427718861,70
"result.71",0.0238693644172089,0.0191255688862686,71
"result.72",0.0234709599086849,0.0215272025607942,72
"result.73",0.0257088635516996,0.0198822184617423,73
"result.76",0.0233924454118466,0.0235952507115302,76
"result.77",0.024824067053664,0.0191558615330802,77
"result.78",0.0234626131980328,0.0181396957622766,78
"result.79",0.0253279941362548,0.0184629632396672,79
"result.80",0.0298029319742496,0.0198335810772691,80
"result.81",0.0260259076802127,0.0202080801175653,81
"result.82",0.028738997009509,0.0182099967307982,82
"result.83",0.0262542349529929,0.0224026055382165,83
"result.84",0.0249685996690071,0.01793759190936,84
"result.85",0.0297013090892467,0.0218936566495006,85
"result.86",0.0269278633613617,0.0214235208957301,86
"result.87",0.025200650190212,0.0242132507228731,87
"result.88",0.0286899663456657,0.021016413677398,88
"result.89",0.0250832069467135,0.0218416467244615,89
"result.90",0.0252100986577753,0.0214855129067451,90
"result.91",0.025554855445849,0.0218673192042277,91
"result.92",0.0256628490686283,0.021736508931056,92
"result.93",0.0248607131482215,0.019662446130068,93
"result.94",0.0248274697546465,0.0220343984650602,94
"result.95",0.0253331552777493,0.0183833374333969,95
"result.96",0.0256239140975721,0.0196000817742089,96
"result.97",0.0251671645368872,0.0202103377157689,97
"result.98",0.0265729600619719,0.020020378824428,98
"result.99",0.0243433041443805,0.0222385171504159,99
"result.100",0.0243281952512957,0.01862029830052,100
"result.101",0.0241686391430103,0.0197887500355072,101
"result.102",0.0239840169929766,0.0217731371549307,102
"result.103",0.0246693096834389,0.0217742243882145,103
"result.105",0.0238801437211197,0.0195741787638011,105
"result.106",0.0249600516896005,0.0210968464634641,106
"result.107",0.0247546140703629,0.0189165512321532,107
"result.108",0.0246248411741326,0.0191865919350227,108
"result.109",0.0252458945400766,0.0180484047876368,109
"result.111",0.0245019423700792,0.0182160444060237,111
"result.112",0.0237601592497565,0.0202165128528967,112
"result.113",0.0245244010412213,0.0177235246412672,113
"result.114",0.0236015393528625,0.0186111760469946,114
"result.115",0.0258347608696023,0.0215347819905741,115
"result.116",0.0238007612906797,0.0186121625025958,116
"result.117",0.0241858615908179,0.0210982954234495,117
"result.118",0.0253094391264957,0.0176328016722052,118
"result.119",0.0237108180895492,0.0205718008182301,119
"result.120",0.0236919842632361,0.0185736866750581,120
"result.121",0.0234644273043113,0.0184842187457835,121
"result.122",0.0233604562818467,0.0194550813033149,122
"result.123",0.024230799237469,0.0192271744675519,123
"result.124",0.0240294747284169,0.0191591533738866,124
"result.126",0.0233790220163024,0.0188908013612036,126
"result.127",0.0229067933740793,0.0192267787785388,127
"result.128",0.0233421092118971,0.0197185402892365,128
"result.129",0.027294362574725,0.0201166046542473,129
"result.130",0.0235962841143074,0.0218219897409264,130
"result.131",0.0243431437485768,0.0199793486521517,131
"result.132",0.0232284487836628,0.017900371274037,132
"result.133",0.0233297032418143,0.0176932649340332,133
"result.134",0.0231962151984707,0.0185339524691504,134
"result.135",0.0230701444162845,0.01753417664652,135
"result.136",0.0228988208167407,0.0203834428888569,136
"result.137",0.0264115998748852,0.0170824555546799,137
"result.138",0.0230444767952954,0.0196649468148955,138
"result.139",0.0254614369982771,0.019996923422361,139
"result.140",0.0232076231687561,0.0191582709444096,140
"result.141",0.0235550343481547,0.0179622718753299,141
"result.142",0.0258799887818261,0.0205742625091933,142
"result.143",0.0231015794181915,0.0188520531641983,143
"result.144",0.0244999399556946,0.0195485142340309,144
"result.145",0.0229998101637476,0.0184468943491297,145
"result.146",0.0228503159178211,0.0208339476024938,146
"result.147",0.0240291931105456,0.0192465591228908,147
"result.148",0.0230397495333746,0.017668717091306,148
"result.149",0.0229814193693241,0.0175353878587287,149
"result.151",0.0230617776698651,0.0195195480712368,151
"result.152",0.0231707269492898,0.0213497163448965,152
"result.153",0.0234439874098156,0.0207104248857816,153
"result.154",0.0226169684769081,0.0205103070032786,154
"result.155",0.0222749949505241,0.0168198118845867,155
"result.156",0.0225578555831402,0.0192810778685163,156
"result.157",0.0265269221114217,0.0205172942784765,157
"result.158",0.0247762161616043,0.0184664879593754,158
"result.160",0.0225770410005626,0.0186680277746763,160
"result.161",0.022950160272868,0.0199980059259178,161
"result.162",0.0227286587060195,0.0174716672855628,162
"result.163",0.0229983731878368,0.0197140033742071,163
"result.164",0.02265712724425,0.0171590354559116,164
"result.165",0.0227323963983561,0.0202430976555716,165
"result.166",0.0224411710130053,0.0160220600591626,166
"result.167",0.0220448535727734,0.0172869395367818,167
"result.168",0.0221142029427429,0.0173081694289473,168
"result.169",0.0221291039496233,0.0168086535209582,169
"result.170",0.0224256594120499,0.0170865234501845,170
"result.171",0.0220387375881968,0.0186009957870043,171
"result.172",0.0218193409702344,0.0183877693078017,172
"result.174",0.0215547910874442,0.0175964395226867,174
"result.175",0.0229928479571839,0.0185299350259225,175
"result.176",0.0238245398188932,0.0195564905583052,176
"result.177",0.0223763743397372,0.0196929769146205,177
"result.178",0.0223073862740273,0.0165941427531002,178
"result.179",0.0215393118539837,0.0184032179778265,179
"result.180",0.0215698590522902,0.0180402204422384,180
"result.181",0.0213159764812121,0.0179440987409603,181
"result.182",0.0217611840529112,0.0179747070573152,182
"result.183",0.0217343976545961,0.017611586511349,183
"result.184",0.0213652022925479,0.018092299223587,184
"result.185",0.0214346798353721,0.0175276652733807,185
"result.186",0.0221107673462578,0.0191564121343768,186
"result.187",0.0214809343830311,0.0170759218034574,187
"result.188",0.0228608722110528,0.0171859773287355,188
"result.189",0.0211306726288045,0.0192281179329917,189
"result.190",0.0248505990449415,0.0183383122051064,190
"result.191",0.0250603478648903,0.0191000687691164,191
"result.192",0.0223356771024493,0.0171593845995772,192
"result.193",0.0221711999556634,0.0190973694960743,193
"result.194",0.0231411207304761,0.0186032219566386,194
"result.195",0.0219250638735689,0.0205124904518291,195
"result.196",0.0247532911290721,0.0170903807798117,196
"result.197",0.0220693371119536,0.0168941485300693,197
"result.198",0.0219282430145616,0.0178581699609098,198
"result.199",0.0239449887528854,0.0192664646690397,199
"result.200",0.0225636225843411,0.0193650269526257,200
"result.201",0.0217537535273077,0.0182054896232806,201
"result.202",0.0215788382106295,0.0164147689975035,202
"result.203",0.0217215844567589,0.0187579262298945,203
"result.204",0.0258848727499577,0.0179767270370086,204
"result.205",0.0231046169216148,0.0173472417750721,205
"result.206",0.0220726136722504,0.0177804844157593,206
"result.207",0.0230480332105315,0.0174861238230945,207
"result.208",0.0236423443139389,0.0172875235467225,208
"result.209",0.0253415913718937,0.0192223943554261,209
"result.210",0.0254152732469746,0.0216081677738043,210
"result.211",0.0233873717941309,0.0203074132111621,211
"result.212",0.0224175475297762,0.0205074583271667,212
"result.213",0.0223121393232436,0.0177587825175789,213
"result.214",0.0230810331512433,0.0183460019882276,214
"result.215",0.023685651522102,0.018163819646784,215
"result.216",0.0226346642172137,0.0186693667474655,216
"result.217",0.0220841576793617,0.0168968373267579,217
"result.218",0.0220021308664672,0.0173488679022109,218
"result.219",0.0220756929285809,0.0191840354509027,219
"result.220",0.0238023297342011,0.0165933585369664,220
"result.221",0.0218194967002258,0.0178728823766621,221
"result.222",0.0221256470748578,0.0165935614847977,222
"result.223",0.0218144357014437,0.0165923836386065,223
"result.224",0.0223335605343368,0.0175450955997162,224
"result.225",0.0236803707938469,0.0182044699812538,225
"result.226",0.0226599981874223,0.0159325787284209,226
"result.227",0.0226847950740002,0.0176791725424183,227
"result.228",0.021918877960162,0.0185941062504016,228
"result.229",0.021909523166715,0.0166315812003183,229
"result.230",0.0217797921098674,0.0169621578618797,230
"result.231",0.0215012960768144,0.0173279699310589,231
"result.232",0.0229466397747199,0.0169326200788253,232
"result.233",0.0213601838067341,0.0171845959999033,233
"result.234",0.0212572491407192,0.0187326703065675,234
"result.235",0.0214809283762543,0.0164859209575223,235
"result.236",0.0215200352233677,0.0172136874084367,236
"result.237",0.0224788245601816,0.017327518031079,237
"result.238",0.0210460649087575,0.0180805490810475,238
"result.239",0.0220512031638202,0.0171146758426404,239
"result.240",0.0213737936624765,0.0163362368467681,240
"result.241",0.0218407497538305,0.0180645349322017,241
"result.242",0.0210405157065555,0.0170437519328049,242
"result.243",0.0210576446055088,0.0165062423745726,243
"result.244",0.0210332730511925,0.0177741774325303,244
"result.245",0.0207212173158478,0.0166792334056946,245
"result.246",0.0207494175241052,0.0180792590297607,246
"result.247",0.0200456202109656,0.0185182765873827,247
"result.248",0.0205968996124521,0.0160771186809085,248
"result.249",0.0213672605745799,0.0173542136582512,249
"result.250",0.0203111149852389,0.0162994948732135,250
"result.251",0.0196373683342257,0.0141077379397036,251
"result.252",0.0195586794058172,0.0183774035509364,252
"result.253",0.0196517507712145,0.0160176830436483,253
"result.254",0.0195062188985274,0.0183778686088458,254
"result.255",0.0197642395584671,0.0175685710646091,255
"result.256",0.0194239969008869,0.0162385157168926,256
"result.257",0.0213935974174168,0.0151428766619712,257
"result.258",0.0238920614624358,0.0171312963960423,258
"result.259",0.0198010110613244,0.0162705710437538,259
"result.260",0.0200283882223657,0.0174457444500022,260
"result.261",0.0200399627053417,0.016270199714635,261
"result.262",0.0197675462823829,0.0148562695029588,262
"result.263",0.0195145683077459,0.0145842877578665,263
"result.264",0.0194031648138064,0.0163508603877704,264
"result.265",0.0191549752036224,0.015312451693822,265
"result.266",0.0201947910824552,0.0151330214126937,266
"result.267",0.0188699967377097,0.0166774785788644,267
"result.268",0.0184326240228086,0.0135887638891676,268
"result.269",0.0182240359404773,0.0144454294326232,269
"result.270",0.0203263105473891,0.0150113992687571,270
"result.271",0.0187244463792084,0.0156736007812206,271
"result.272",0.0186735521940126,0.0139621565732895,272
"result.273",0.0181486151890856,0.0128079525473382,273
"result.274",0.0185981849214676,0.0135917178224484,274
"result.275",0.0191700364718145,0.0134735111301644,275
"result.276",0.0182318141696176,0.0136113919852253,276
"result.277",0.017790844928276,0.0143876336575339,277
"result.278",0.0181336402715471,0.0157863486539901,278
"result.279",0.0181578706556314,0.0153519236179729,279
"result.280",0.0183649312560661,0.014770466816885,280
"result.281",0.0176648393030287,0.0149644344788563,281
"result.282",0.01962806372999,0.0136600946737317,282
"result.283",0.0176553327875042,0.0149227687706142,283
"result.284",0.0180238260967054,0.0147476430413344,284
"result.285",0.0174888398772727,0.015102686393547,285
"result.286",0.0173210858097359,0.0145971499830535,286
"result.287",0.0192230923833924,0.0126609917818906,287
"result.288",0.0173556760278194,0.0128903353383258,288
"result.289",0.0203412274312225,0.0149967709055581,289
"result.290",0.018439162186286,0.0138408973933473,290
"result.291",0.0177435343450657,0.0158110554085592,291
"result.292",0.0177744318903678,0.0151885178873372,292
"result.293",0.0183117771576661,0.0132507309982204,293
"result.294",0.0175709277136657,0.0134928208906332,294
"result.295",0.0176647069326907,0.0128894437868466,295
"result.296",0.0186570702958245,0.0131998574762513,296
"result.297",0.0303932787201671,0.0169879741687734,297
"result.298",0.0201374295132607,0.0161821569872272,298
"result.299",0.0201155949226083,0.016855566445028,299
"result.300",0.0203344739482715,0.0151714648623483,300
"result.301",0.0192481053589358,0.0170469386101155,301
"result.302",0.0189649340080076,0.0152571830418835,302
"result.303",0.0235294661726834,0.0162386849838995,303
"result.304",0.0197403161079562,0.0145846298121381,304
"result.305",0.0193944104050247,0.0156150183910115,305
"result.306",0.0193806220319501,0.0152814879117675,306
"result.307",0.0237407070573177,0.0162549945591451,307
"result.308",0.0204458416371735,0.0162415052921473,308
"result.309",0.0205565545443067,0.0169184001564822,309
"result.310",0.0202304261041774,0.0159556592156774,310
"result.311",0.0276900124039128,0.0183664576658294,311
"result.312",0.0210601596689878,0.0168977081120982,312
"result.313",0.0211089205412996,0.0163111832317027,313
"result.314",0.0216137206964381,0.0174858508285556,314
"result.315",0.0226500643319397,0.0178099783942244,315
"result.316",0.0213380252253125,0.0171399373616774,316
"result.317",0.020972298922077,0.0185770118470329,317
"result.318",0.0214247540586417,0.0159381970589664,318
"result.319",0.0218691357092835,0.0168976312903076,319
"result.320",0.0205812547234186,0.0175853772990524,320
"result.321",0.0202627061295901,0.0165175582717284,321
"result.322",0.0197635282938674,0.014239907216443,322
"result.323",0.0195572722834483,0.0150585339396931,323
"result.324",0.0208732101112862,0.0169825566494205,324
"result.325",0.0205371015579229,0.0158704340495739,325
"result.326",0.0207305554072868,0.0146356600628007,326
"result.327",0.0196397079062254,0.0153275804742268,327
"result.328",0.0194634143613427,0.0152207056999409,328
"result.329",0.0194295187651436,0.0171008365657088,329
"result.330",0.0280209914409083,0.0165240622179055,330
"result.331",0.021010079089709,0.018079480595404,331
"result.332",0.020647851488679,0.015605276018435,332
"result.333",0.0206411680619539,0.015938129017234,333
"result.334",0.0201899385520513,0.0154599361032978,334
"result.335",0.0250847853623874,0.0158675758135311,335
"result.336",0.020866327721503,0.0156979927737672,336
"result.337",0.0205932890681296,0.0168021990620252,337
"result.338",0.0202843783169207,0.0170877418337141,338
"result.339",0.0198683813455556,0.0162704008547406,339
"result.340",0.0198581477007476,0.0155344448242906,340
"result.341",0.0202350194275519,0.0154975803617358,341
"result.342",0.0198691425597372,0.0166526405350039,342
"result.343",0.0216206307404743,0.0158749193312767,343
"result.344",0.0203668374452798,0.0166560448247125,344
"result.345",0.0211528996957212,0.015119014063803,345
"result.346",0.022340819501592,0.0168716340495377,346
"result.347",0.0199277817404606,0.0156969847900006,347
"result.348",0.019670696566236,0.0151825467706624,348
"result.349",0.0197004454137074,0.0154750412621981,349
"result.350",0.0200449357236932,0.0193498514691723,350
"result.351",0.0197078599170085,0.0168003491223531,351
"result.352",0.019456047730604,0.0169691835892201,352
"result.353",0.0193894231349602,0.0165476508118575,353
"result.354",0.0192728018753949,0.0135435580487451,354
"result.355",0.0191763148333972,0.0146814761923087,355
"result.356",0.0193724674488517,0.0137632424877777,356
"result.357",0.0189744061051403,0.0147127607041598,357
"result.358",0.0225076395318602,0.0142600575138163,358
"result.359",0.0190326537333702,0.0151436525720031,359
"result.360",0.019041972774271,0.0154487137728606,360
"result.361",0.0189765458493257,0.015963137375795,361
"result.362",0.0247836651867063,0.0136334417707808,362
"result.363",0.0203732555796862,0.0159829249230029,363
"result.364",0.0220263174256757,0.0179896264878294,364
"result.365",0.0202923892375123,0.0159895333191914,365
"result.366",0.0196853955184056,0.0166541390126342,366
"result.367",0.0219206333300842,0.0159496767690193,367
"result.368",0.0197782963836448,0.0151489392900695,368
"result.369",0.0201436106717741,0.0154612734326932,369
"result.370",0.0210930378543469,0.0180155754864155,370
"result.371",0.0195470287025006,0.0151401112696228,371
"result.372",0.0196294140537232,0.0153235646384513,372
"result.373",0.0200400804179955,0.0163367381533491,373
"result.374",0.0199881809787455,0.0157657152367472,374
"result.375",0.0203959827883551,0.0159641323178887,375
"result.376",0.0194250001428851,0.0149809784602753,376
"result.377",0.0191536203458653,0.0152807579240517,377
"result.378",0.0194750467668385,0.01421587937773,378
"result.379",0.0190973749051663,0.016988102064949,379
"result.380",0.0191836532745096,0.0154050759703643,380
"result.381",0.0190386063663737,0.0163693868678131,381
"result.382",0.0188733429992981,0.0156211679128675,382
"result.383",0.0214994766573023,0.0153125187330311,383
"result.384",0.0195704471761146,0.0161599263133219,384
"result.385",0.0188276986908529,0.0146828272050817,385
"result.386",0.0197392416263802,0.0156206818724962,386
"result.387",0.0201642912804356,0.0156187932571395,387
"result.388",0.0188363878437543,0.0145971292409242,388
"result.389",0.0208953933726965,0.0153150370686545,389
"result.390",0.0189431475226899,0.0147923255243744,390
"result.391",0.0187007112449516,0.0156882533353134,391
"result.392",0.0188533294825891,0.0130559110103569,392
"result.393",0.0196971032019714,0.0139515131675017,393
"result.394",0.0210106945046676,0.0154581144125485,394
"result.395",0.018862424127435,0.0161036830569669,395
"result.396",0.0226894308018186,0.0147567567960129,396
"result.397",0.0190162604988017,0.0159577213369591,397
"result.398",0.0189728313525349,0.0161663245522633,398
"result.399",0.018838957885616,0.0159649212680953,399
"result.400",0.0192185585496252,0.0143838257300607,400
"result.401",0.0187248552969502,0.0144776620678207,401
"result.402",0.0200618770873204,0.0135489374427396,402
"result.403",0.0186911503108727,0.0154573674464567,403
"result.404",0.0187205438570589,0.0148760422692031,404
"result.405",0.0184410799526481,0.0149190383472201,405
"result.406",0.0192329580132689,0.0133518350665751,406
"result.407",0.0191810221049505,0.013997132869629,407
"result.408",0.0188255044566148,0.0149306768414242,408
"result.409",0.0182664118220186,0.0141189633229296,409
"result.410",0.018158997478765,0.0175611158762872,410
"result.411",0.0191991961943474,0.0135904178197388,411
"result.412",0.0186161678118281,0.0133736667774079,412
"result.414",0.0179707998404178,0.0130155386862359,414
"result.415",0.0178124372370229,0.0131813145601895,415
"result.416",0.0177471274396089,0.0143489434065702,416
"result.417",0.0175904980526383,0.0144328476117581,417
"result.418",0.0180714655242722,0.0149054520347143,418
"result.419",0.017639931936512,0.0144143515164066,419
"result.420",0.0175410945024964,0.0127196491617047,420
"result.421",0.0175564872979925,0.0132470844494921,421
"result.422",0.0173316560213676,0.0160317204849559,422
"result.423",0.01772521499688,0.0143370322722558,423
"result.424",0.0170714036940132,0.0126965168706699,424
"result.425",0.0181582436979131,0.0138975452460937,425
"result.426",0.0168801514746811,0.0133163756483637,426
"result.427",0.0168392632211827,0.0138810776001979,427
"result.428",0.016871597783432,0.0146387534335203,428
"result.429",0.0193500901835505,0.0133576784084359,429
"result.430",0.0169019901841367,0.0146884204780247,430
"result.431",0.0168021789530883,0.0144218516763053,431
"result.432",0.0166384203615187,0.0135905774425694,432
"result.433",0.0167485240531288,0.0134626598986746,433
"result.434",0.0168122703261284,0.0137480684922604,434
"result.435",0.0164090596847793,0.0121954841457296,435
