"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"result.1",0.000738376119276858,0.0143684600771152,0.000681504197891919,0.0212441107860641,0.000205057346667873,0.0131349677970406,0.000619829583888186,0.0199739678678731,0.000192355917485962,1
"result.2",-0.00365190829244342,0.0142013893964261,0.000892664884443478,0.0209970928015011,0.000246490010939445,0.0127243705875622,0.000818813944000282,0.0195136598804073,0.000231655681728508,2
"result.3",-0.00448926309415907,0.0137444308883445,0.000911684699125181,0.0203214687528472,0.000248107318470063,0.0124294786017298,0.000845937084794442,0.0188466065941196,0.000233358696882787,3
"result.4",-0.00550835617711759,0.0134368607537922,0.000947260846545493,0.01986671897604,0.000253750751531576,0.0122020096849654,0.000885518293104149,0.0184815475878489,0.000239899037649665,4
"result.5",-0.0200601770344856,0.0132139001652192,0.00166370385998524,0.0195370664301819,0.000395972434646676,0.0119961948272057,0.00160281859308457,0.018544756043256,0.000386049330777416,5
"result.6",-0.00106461828474785,0.0132572027194655,0.000716091050210668,0.0196010902890222,0.000206657085737701,0.0146239690397421,0.000784429366224496,0.0223795182549056,0.000234441365396534,6
"result.7",0.0066470863131872,0.0157650267001159,0.000455897019346437,0.0233089678340761,0.000166618815208889,0.0141094190459417,0.000373116636637725,0.0216224009056702,0.00014975314592483,7
"result.8",0.0151598204739554,0.0152369614530912,3.85704895678749e-06,0.0225282107766063,7.36839030265086e-05,0.0139206654618147,0.00117719726153367,0.0212783039155333,6.1184834415779e-05,8
"result.9",0.00698574728242047,0.0150572989189399,0.000403577581825973,0.0222625754364927,0.000152768281540722,0.0150174632465823,0.000401585798208093,0.0228707707462375,0.00015885023463817,9
"result.10",0.00312405128246391,0.0160812799186019,0.000647861431806898,0.0237765557574861,0.000206525044750222,0.0147790468631031,0.000582749779031959,0.0224730970618537,0.000193490457793898,10
"result.11",0.0216879300137748,0.015842676266594,0.00555299105982178,0.0234237745693591,1.73584455558428e-05,0.0143791365564422,0.00694335378446594,0.0217548802868031,6.69502730283184e-07,11
"result.12",0.00559669768302808,0.0154118371518095,0.000490756973439071,0.022786768666414,0.00017190070983386,0.0167879590329236,0.000559563067494778,0.0253648773062096,0.000197681796231816,12
"result.13",-0.0104185597560264,0.017792947600249,0.00141057536781377,0.026307297233096,0.000367258569891224,0.0164322494420163,0.00134254045990213,0.0246087526498082,0.000350273124058347,13
"result.14",-0.0131008805412861,0.0172811500058074,0.00151910152735468,0.0255505922878072,0.000386514728290933,0.0162616331477299,0.0014681256844508,0.0246032605572562,0.000377041410985423,14
