"","omega","","",""
"result.127",0.0186033184708196,0.0178902801168093,0.0178823813404065,127
"result.128",0.0209889051833454,0.0177189972735405,0.0177111741205991,128
"result.129",0.0192698326691181,0.0209654019392858,0.0209561454591878,129
"result.130",0.0204554113442054,0.02082789602985,0.0208187002602713,130
"result.131",0.0195950036548109,0.0231824063958541,0.0231721710813062,131
"result.132",0.0183374181355389,0.0216877488887448,0.0216781734836715,132
"result.133",0.0166180654294543,0.0218610523627589,0.0218514004420953,133
"result.134",0.0152660986933141,0.0215654508135898,0.0215559294046059,134
"result.135",0.0147705892718405,0.0166204688246481,0.0166131306853927,135
"result.136",0.0147589418327487,0.0168157945564857,0.0168083701785449,136
"result.137",0.0187907186641838,0.0144809402311452,0.0144745467198035,137
"result.138",0.01885226544199,0.0176062564127974,0.0175984830363163,138
"result.139",0.0176506605625664,0.0168545909422377,0.0168471494352147,139
"result.140",0.0168894378965367,0.0164343147065793,0.0164270587566264,140
"result.141",0.0167622911036353,0.016508658858065,0.0165013700842636,141
"result.142",0.0196660664120141,0.017214350558497,0.0172067502132265,142
"result.143",0.0195875609839795,0.0203820009412752,0.0203730020398112,143
"result.144",0.0191055613112437,0.020844093342923,0.0208348904220443,144
"result.145",0.0181568064829097,0.0200594255078457,0.0200505690273687,145
"result.146",0.0215214955705448,0.0189076291165478,0.0188992811681814,146
"result.147",0.0195033985189863,0.0213038577712936,0.0212944518588145,147
"result.148",0.0176902263025462,0.020928049842162,0.0209188098534767,148
"result.149",0.0160391301610687,0.0205137962500359,0.0205047391593425,149
"result.150",0.0153312737983044,0.0196482588231177,0.0196395838777264,150
"result.151",0.014923312683668,0.0166434485419771,0.0166361002568962,151
"result.152",0.0160260579881849,0.01544874544782,0.0154419246387008,152
"result.153",0.0151906119699923,0.0160018740107617,0.0159948089886441,153
"result.154",0.0163716534215058,0.0158027972225554,0.0157958200952564,154
"result.155",0.0161619025998707,0.0129742660766041,0.0129685377802318,155
"result.156",0.0152526584371861,0.0141908684517134,0.0141846030105981,156
"result.157",0.0139149958266213,0.0146426311783969,0.0146361662785282,157
"result.158",0.012741373528533,0.0146570551931902,0.0146505839249542,158
"result.159",0.0126644637963811,0.0139145633680684,0.013908419918998,159
"result.160",0.0119809312073749,0.0138019462221095,0.0137958524948871,160
"result.161",0.0117213301235659,0.0120993627662429,0.0120940207503324,161
"result.162",0.0114708032299155,0.0119725913032127,0.0119673052584446,162
"result.163",0.0114591755618059,0.00971531574408147,0.00971102631395837,163
"result.164",0.0109751517245347,0.00883383242827307,0.00882993218373684,164
"result.165",0.0102171319893317,0.00841416696965069,0.00841045201254786,165
"result.166",0.00963149337930337,0.0083944395696065,0.00839073332237916,166
"result.167",0.00959116471657844,0.008456572166331,0.00845283848681078,167
"result.168",0.0101077695888532,0.00736822175843344,0.00736496859885705,168
"result.169",0.0103258222238494,0.00814227450083393,0.0081386795875531,169
"result.170",0.0101437620234959,0.00845000271036866,0.00844627193134073,170
"result.171",0.0102612079531886,0.00824500180328158,0.00824136153465105,171
"result.172",0.0100161066264564,0.00807012355283376,0.00806656049507382,172
"result.173",0.00964854496386374,0.00780763119596628,0.00780418403177663,173
"result.174",0.0091513196854858,0.0082013511485215,0.00819773015218317,174
"result.175",0.00898915772441438,0.00818775652950166,0.00818414153534519,175
"result.176",0.00855102718469748,0.00795048631592721,0.00794697607945949,176
"result.177",0.00971978668106036,0.00707062430698358,0.00706750254031618,177
"result.178",0.00924620840140443,0.00761643725390826,0.00761307450417092,178
"result.179",0.0112020775805726,0.00723869584407311,0.00723549987177563,179
"result.180",0.0106121656459308,0.00814803363291361,0.00814443617691296,180
"result.181",0.0100836138572401,0.00807135196688336,0.00806778836676614,181
"result.182",0.0138704586924056,0.00737179866379023,0.00736854392496156,182
"result.183",0.0131210647575051,0.00944802388941213,0.00944385247188251,183
"result.184",0.0131457671891106,0.00992269851388272,0.00991831752173056,184
"result.185",0.0158333948235047,0.00972142760307548,0.00971713547448161,185
"result.186",0.0143800665727549,0.0146549037722892,0.014648433453921,186
"result.187",0.0156161364455388,0.0147281514806181,0.0147216488224942,187
"result.188",0.0167709861111441,0.0151644303253065,0.0151577350447596,188
"result.189",0.0243721679011477,0.017363669227997,0.0173560029567241,189
"result.190",0.0268933813034605,0.022928024427479,0.0229179014256644,190
"result.191",0.0243086621637319,0.0220740233490133,0.0220642773990747,191
"result.192",0.0223569140602365,0.0220432154004797,0.022033483052617,192
"result.193",0.0241656769436393,0.0198776026289593,0.0198688264254869,193
"result.194",0.0216800479490069,0.0204257975124662,0.0204167792742922,194
"result.195",0.0203605641055739,0.0207492542672938,0.0207400932190254,195
"result.196",0.0187118010526917,0.0155489637708186,0.0155420987140857,196
"result.197",0.0238023987792317,0.0184547896541218,0.0184466416398905,197
"result.198",0.0213842708365306,0.0175582604967914,0.0175505083111105,198
"result.199",0.0207059405663075,0.0162136112573918,0.0162064527507013,199
"result.200",0.0186753117788158,0.0191667930887505,0.0191583307163441,200
"result.201",0.0174024234116457,0.0192830656570138,0.0192745519488611,201
"result.202",0.0157920794665161,0.017483545376173,0.0174758261781207,202
"result.203",0.0179516229688148,0.0174527852259061,0.0174450796088266,203
"result.204",0.0164223571316334,0.0188357759616551,0.0188274597373308,204
"result.205",0.0246833729922957,0.018581997500327,0.0185737933222967,205
"result.206",0.0261585665808928,0.0199289305173593,0.0199201316520075,206
"result.207",0.0236221038201417,0.0239444818442607,0.0239339100641232,207
"result.208",0.0213176570225873,0.023341309379397,0.0233310039072379,208
"result.209",0.0220463620771929,0.0233689466576052,0.023358628983253,209
"result.210",0.0198978643601183,0.0247345846043814,0.0247236639842683,210
"result.211",0.0241560686113489,0.0247360395377356,0.0247251182752493,211
"result.212",0.0221269652814454,0.0268771446146516,0.0268652780282181,212
"result.213",0.0201379405439373,0.027007691926606,0.0269957677019406,213
"result.214",0.0184297247593936,0.0199110631848853,0.0199022722081637,214
"result.215",0.0176500274596285,0.0177830729581316,0.0177752215150022,215
"result.216",0.017235361572446,0.0185502624199856,0.0185420722533749,216
"result.217",0.0178066834114333,0.0192743809905593,0.0192658711167795,217
"result.218",0.026136424427557,0.0177966666639762,0.0177888092190628,218
"result.219",0.031327317298722,0.0254652551090615,0.0254540118890318,219
"result.220",0.0335185084852407,0.0277815478167511,0.0277692819252948,220
"result.221",0.0302720955692453,0.0312735666313486,0.0312597589710819,221
"result.222",0.0333338420087307,0.0313076116685593,0.0312937889770026,222
"result.223",0.0316551818315671,0.0336564037191565,0.0336415440073168,223
"result.224",0.0284187761678681,0.0325104630459023,0.0324961092808209,224
"result.225",0.0263988203191154,0.0312220119181532,0.0312082270199241,225
"result.226",0.0247601974124831,0.0312118424045806,0.0311980619963137,226
"result.227",0.0254578709276335,0.0234872814918461,0.0234769115712297,227
"result.228",0.0228391314353754,0.026043746967396,0.0260322483361577,228
"result.229",0.02146751764135,0.0230517074436207,0.0230415298342521,229
"result.230",0.0219883653891653,0.0240398486450815,0.0240292347593325,230
"result.231",0.020935924045972,0.0198132091474506,0.0198044613744841,231
"result.232",0.0204299978492022,0.0179388840266412,0.0179309637910237,232
"result.233",0.0185370989534678,0.019578051162604,0.0195694072147674,233
"result.234",0.0222850170532198,0.018525002856272,0.0185168238420701,234
"result.235",0.0200870799760337,0.0210020641714337,0.0209927915045043,235
"result.236",0.0195981829485817,0.0189685142136042,0.0189601393837435,236
"result.237",0.0176975503800986,0.019608690283242,0.0196000328078512,237
"result.238",0.0179260742281905,0.0192183644252211,0.0192098792834443,238
"result.239",0.0167499076098232,0.0166455216995232,0.0166381724991211,239
"result.240",0.0198938001491429,0.0172953435930978,0.0172877074884283,240
"result.241",0.017996047666531,0.0167220764052232,0.0167146934049853,241
"result.242",0.0165807736639464,0.016256043307628,0.0162488660666682,242
"result.243",0.0151532273282356,0.0134499758134794,0.0134440374854776,243
"result.244",0.0153743172175759,0.0131159285157523,0.0131101376736993,244
"result.245",0.014310955059274,0.0129557342307365,0.0129500141164058,245
"result.246",0.0151651714909963,0.0124904720602146,0.0124849573647978,246
"result.247",0.0147597185625623,0.012396517538626,0.0123910443252626,247
"result.248",0.0145540192381763,0.0098540581886013,0.0098497075019921,248
"result.249",0.0133817253080665,0.00999001360430185,0.00998560289172445,249
"result.250",0.0135862558118352,0.0104221110931704,0.010417509604288,250
"result.251",0.0145559408094957,0.0124398607220755,0.0124343683721762,251
"result.252",0.0142795051926019,0.0134080976743078,0.0134021778360065,252
"result.253",0.0142688199218046,0.0138174147020678,0.0138113141453218,253
"result.254",0.0132108700099682,0.0145131671983236,0.0145067594583779,254
"result.255",0.0164116892659678,0.0127718774789898,0.0127662385396476,255
"result.256",0.015154741729115,0.0135139102868678,0.0135079437310068,256
"result.257",0.0139010285947844,0.0140786525344438,0.0140724366380098,257
"result.258",0.0140593698217236,0.0140915964128752,0.0140853748015743,258
"result.259",0.0132103226273681,0.0149605494617688,0.01495394419711,259
"result.260",0.0186838562244149,0.013486619976284,0.0134806654694373,260
"result.261",0.0180180402560697,0.0169647167215956,0.0169572265927016,261
"result.262",0.0163158009787988,0.0179397193928637,0.0179317987884318,262
"result.263",0.0148276117832835,0.0177951724886256,0.0177873157034085,263
"result.264",0.0148373600454893,0.0151975936230215,0.0151908837004768,264
"result.265",0.0150277732790296,0.015856491800271,0.0158494909661684,265
"result.266",0.0169709169667582,0.0168506188210884,0.0168431790677985,266
"result.267",0.0154935282519185,0.0177396329184845,0.0177318006546656,267
"result.268",0.0142158687590375,0.017552542167202,0.0175447925062215,268
"result.269",0.0199749471752474,0.0134907751036266,0.0134848187622438,269
"result.270",0.0228308512101368,0.0176474390542651,0.0176396474951659,270
"result.271",0.0236703939697697,0.0213992437925654,0.0213897957660052,271
"result.272",0.0217450900666325,0.0235477411634619,0.023537344549176,272
"result.273",0.0200242619843703,0.023296949904541,0.0232866640176255,273
"result.274",0.0195464144330324,0.0230055507839282,0.0229953935532805,274
"result.275",0.0179437856284928,0.0222299397923607,0.0222201250034075,275
"result.276",0.021072229930928,0.0224931492186542,0.0224832182195271,276
"result.277",0.0192263867991531,0.0248700705264113,0.0248590900876096,277
"result.278",0.0173888498036352,0.0198690728333801,0.0198603003959263,278
"result.279",0.0157372583392924,0.0178705487819357,0.0178626587171706,279
"result.280",0.0144281462646501,0.0129226689990034,0.0129169634833843,280
"result.281",0.0132020253075329,0.0135100774973509,0.0135041126337185,281
"result.282",0.0154700432767426,0.0124464690115857,0.0124409737440416,282
"result.283",0.0142252425861877,0.0130666643577158,0.0130608952663849,283
"result.284",0.0133376100114178,0.0137707223646757,0.0137646424231619,284
"result.285",0.0122735410023414,0.00992243527220893,0.00991805439627313,285
"result.286",0.0114645878373872,0.00960285256994808,0.00959861279367402,286
"result.287",0.0124405423233065,0.00957262132229886,0.00956839489348482,287
"result.288",0.0114872297295643,0.0109998641090741,0.0109950075352074,288
"result.289",0.0137833604208639,0.0109276813443202,0.010922856640029,289
"result.290",0.0130557626471993,0.0131045839481416,0.0130987981148465,290
"result.291",0.0128614898876906,0.0107940249195551,0.0107892592261933,291
"result.292",0.0118492887800918,0.0113593909174554,0.0113543756081285,292
"result.293",0.0113485133961672,0.0110652082318623,0.0110603228077579,293
"result.294",0.0189386209798686,0.0113132969542491,0.0113083019959603,294
"result.295",0.0179080372784569,0.0172233183262236,0.0172157140215816,295
"result.296",0.0172870505333349,0.0156909097583977,0.0156839820307866,296
"result.297",0.0161992424462159,0.0172060727649139,0.0171984760743911,297
"result.298",0.0148730826224108,0.0168335570188773,0.016826124798591,298
"result.299",0.0136151417864685,0.0167153393169812,0.0167079592912458,299
"result.300",0.0127014210976537,0.0160201883575368,0.0160131152494145,300
"result.301",0.0124204766745902,0.0159722566754184,0.0159652047297172,301
"result.302",0.0132402510099714,0.0162705741945715,0.0162633905380503,302
"result.303",0.0121952844573552,0.0110092028329447,0.0110043421359123,303
"result.304",0.0113316738177059,0.00998750749271693,0.00998309788661089,304
"result.305",0.0116957284300978,0.0084964523025306,0.00849270101543453,305
"result.306",0.0112418221337246,0.00895884024028959,0.00895488480329476,306
"result.307",0.0117201244736463,0.00914173062060541,0.00913769443528878,307
"result.308",0.0119195543306281,0.0103079660849446,0.010303414992471,308
"result.309",0.0117226327620483,0.0108879595580973,0.0108831523914503,309
"result.310",0.0108874267460076,0.0108437414496692,0.0108389538058518,310
"result.311",0.0102696107334318,0.00852145828039141,0.0085176959528539,311
"result.312",0.00966546957992934,0.00874004617893576,0.00873618734218695,312
"result.313",0.00911913233709671,0.00893049431251569,0.00892655139059428,313
"result.314",0.00865084220236228,0.00808868869675194,0.00808511744224205,314
"result.315",0.00823347427234171,0.0077525673390042,0.00774914448617636,315
"result.316",0.00806961542868652,0.00570461540205969,0.00570209674493327,316
"result.317",0.0101537044553352,0.00428928394720884,0.00428739017613822,317
"result.318",0.00961658523764872,0.00614855451583907,0.00614583985419159,318
